	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.7987730221E-02	8.4764110274E-01	1.4115546049E00	1.0217406622E00	1.0584487728E00	?	1.1041445809E00	1.1041445809E00	1.1291504535E00	1.9819810486E00	2.0062055238E00	1.9886078905E00	1.9905330575E00	?	1.9929523257E00	1.9929523257E00	1.9941948906E00	1.5244740148E00	1.5697231591E00	1.3836244785E00	?	1.4248600379E00	1.8911447453E00	1.9039807803E00	1.8549187864E00	?	1.8683842843E00	1.8780167299E00	1.7100751465E00	1.2488806383E01	4.3726760122E-01	2.0306813419E00	1.2489952563E01	2.0310494375E00	2.0270067555E00	2.0295715998E00	2.0256608062E00	1.7940853572E00	
Target (LIBOR)	5.7987730221E-02	0.0000000000E00	8.9469771159E-01	1.4409056085E00	1.0643458318E00	1.0999609298E00	?	1.1442350387E00	1.1442350387E00	1.1684401129E00	1.9845939251E00	2.0074960228E00	1.9908605909E00	1.9926809646E00	?	1.9949683974E00	1.9949683974E00	1.9961431570E00	1.5491071851E00	1.5924467308E00	1.4137457670E00	?	1.4534129231E00	1.8985574826E00	1.9107298642E00	1.8641862377E00	?	1.8769696987E00	1.8860485700E00	1.7262427875E00	1.2488806383E01	4.8819675643E-01	2.0306193313E00	1.2489952563E01	2.0309669439E00	2.0271487930E00	2.0295712317E00	2.0258775136E00	1.8062736608E00	
Caplet Vola Analytic Single-Curve	8.4764110274E-01	8.9469771159E-01	0.0000000000E00	8.1923089578E-01	2.3064330391E-01	2.7797619242E-01	?	3.3937347939E-01	3.3937347939E-01	3.7542943916E-01	1.9607165597E00	2.0181725150E00	1.9763513087E00	1.9808245104E00	?	1.9864449802E00	1.9864449802E00	1.9893647443E00	1.0423652957E00	1.1169855025E00	8.2695450099E-01	?	8.8711663604E-01	1.7544179030E00	1.7823329923E00	1.6751510134E00	?	1.7037039926E00	1.7419359652E00	1.3701743407E00	1.2488806383E01	5.3655136977E-01	2.0781950352E00	1.2489952563E01	2.0790943292E00	2.0690252403E00	2.0754638092E00	2.0657122678E00	1.5720010415E00	
Caplet Vola Monte-Carlo Single-Curve	1.4115546049E00	1.4409056085E00	8.1923089578E-01	0.0000000000E00	6.1459142461E-01	5.7480779985E-01	?	5.2658274881E-01	5.2658274881E-01	4.9878695537E-01	1.8025033750E00	1.9265355884E00	1.8357729672E00	1.8453867214E00	?	1.8575224482E00	1.8575224482E00	1.8638145973E00	4.0235056940E-01	4.5295798457E-01	4.4101749843E-01	?	4.2794373923E-01	1.3978232680E00	1.4490785990E00	1.2558943058E00	?	1.3052620132E00	1.3880401147E00	8.4347346802E-01	1.2488806383E01	1.1679295957E00	2.0604749959E00	1.2489952563E01	2.0625143373E00	2.0396979472E00	2.0542853607E00	2.0322487352E00	1.1158020346E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.0217406622E00	1.0643458318E00	2.3064330391E-01	6.1459142461E-01	0.0000000000E00	5.2732838764E-02	?	1.1971527519E-01	1.1971527519E-01	1.5788516152E-01	1.9259436302E00	1.9966412021E00	1.9451233442E00	1.9506276028E00	?	1.9575514511E00	1.9575514511E00	1.9611422214E00	8.6466474109E-01	9.4442674036E-01	6.4898466582E-01	?	7.0809948588E-01	1.6767892095E00	1.7100971323E00	1.5828143296E00	?	1.6164902005E00	1.6620539173E00	1.2386837650E00	1.2488806383E01	7.1418330392E-01	2.0709013564E00	1.2489952563E01	2.0720128066E00	2.0595119370E00	2.0675122261E00	2.0554138985E00	1.4641283463E00	
Caplet Vola Analytic Multi-Curve Ju	1.0584487728E00	1.0999609298E00	2.7797619242E-01	5.7480779985E-01	5.2732838764E-02	0.0000000000E00	?	6.7106092923E-02	6.7106092923E-02	1.0553297793E-01	1.9301766895E00	2.0042039729E00	1.9502439822E00	1.9559877655E00	?	1.9632139866E00	1.9632139866E00	1.9669642225E00	8.3224496958E-01	9.1231762107E-01	6.1588146110E-01	?	6.7361185836E-01	1.6709887568E00	1.7054671264E00	1.5734627452E00	?	1.6082135307E00	1.6574977986E00	1.2197015916E00	1.2488806383E01	7.5888657544E-01	2.0823060460E00	1.2489952563E01	2.0834703944E00	2.0702760149E00	2.0787472641E00	2.0659751649E00	1.4544219754E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.1041445809E00	1.1442350387E00	3.3937347939E-01	5.2658274881E-01	1.1971527519E-01	6.7106092923E-02	?	0.0000000000E00	0.0000000000E00	3.9994733222E-02	1.9382993303E00	2.0168088721E00	1.9595597888E00	1.9656224380E00	?	1.9732508770E00	1.9732508770E00	1.9772150735E00	7.9367125264E-01	8.7356531746E-01	5.7844165067E-01	?	6.3345734597E-01	1.6658833211E00	1.7018723825E00	1.5637112662E00	?	1.5998286622E00	1.6545946419E00	1.1972997807E00	1.2488806383E01	8.1519219152E-01	2.1001508950E00	1.2489952563E01	2.1013875016E00	2.0872429594E00	2.0963601458E00	2.0826642577E00	1.4451853279E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.1041445809E00	1.1442350387E00	3.3937347939E-01	5.2658274881E-01	1.1971527519E-01	6.7106092923E-02	?	0.0000000000E00	0.0000000000E00	3.9994733222E-02	1.9382993303E00	2.0168088721E00	1.9595597888E00	1.9656224380E00	?	1.9732508770E00	1.9732508770E00	1.9772150735E00	7.9367125264E-01	8.7356531746E-01	5.7844165067E-01	?	6.3345734597E-01	1.6658833211E00	1.7018723825E00	1.5637112662E00	?	1.5998286622E00	1.6545946419E00	1.1972997807E00	1.2488806383E01	8.1519219152E-01	2.1001508950E00	1.2489952563E01	2.1013875016E00	2.0872429594E00	2.0963601458E00	2.0826642577E00	1.4451853279E00	
Caplet Vola Monte-Carlo Multi-Curve	1.1291504535E00	1.1684401129E00	3.7542943916E-01	4.9878695537E-01	1.5788516152E-01	1.0553297793E-01	?	3.9994733222E-02	3.9994733222E-02	0.0000000000E00	1.9406185694E00	2.0217107273E00	1.9625618469E00	1.9688113754E00	?	1.9766773928E00	1.9766773928E00	1.9807578222E00	7.6950942474E-01	8.4916087036E-01	5.5555979522E-01	?	6.0870827474E-01	1.6606342764E00	1.6974927228E00	1.5558837868E00	?	1.5927733847E00	1.6492924753E00	1.1848610420E00	1.2488806383E01	8.4511645990E-01	2.1080137284E00	1.2489952563E01	2.1092782017E00	2.0945859677E00	2.1040910007E00	2.0898676341E00	1.4362934504E00	
