	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	1.3228278194E-01	1.2985053787E00	1.8263362001E00	1.4156307460E00	1.4164022135E00	?	1.4232836413E00	1.4232836413E00	1.4161108499E00	2.2415411158E00	2.2455283152E00	2.2420809793E00	2.2420870296E00	?	2.2421410193E00	2.2421410193E00	2.2420847445E00	1.7994217108E00	?	1.3886206076E00	?	?	2.2389489375E00	?	2.2294827737E00	?	?	2.2388072929E00	2.2288072929E00	?	1.2463010272E00	2.2538889411E00	?	2.2538371683E00	2.2509216692E00	2.2538525969E00	2.2510328788E00	2.2438072929E00	
Target (LIBOR)	1.3228278194E-01	0.0000000000E00	1.4307881607E00	1.9586189820E00	1.5479135279E00	1.5486849954E00	?	1.5555664233E00	1.5555664233E00	1.5483936318E00	2.3738238978E00	2.3778110971E00	2.3743637612E00	2.3743698115E00	?	2.3744238012E00	2.3744238012E00	2.3743675264E00	1.9317044928E00	?	1.5209033895E00	?	?	2.3712317194E00	?	2.3617655557E00	?	?	2.3710900748E00	2.3610900748E00	?	1.3785838092E00	2.3861717230E00	?	2.3861199503E00	2.3832044511E00	2.3861353789E00	2.3833156608E00	2.3760900748E00	
Caplet Vola Analytic Single-Curve	1.2985053787E00	1.4307881607E00	0.0000000000E00	5.6927582471E-01	1.1712536728E-01	1.1789683477E-01	?	1.2651597436E-01	1.2651597436E-01	1.4784645500E-01	9.4970545535E-01	9.5651067624E-01	9.5039894324E-01	9.5044702307E-01	?	9.5068592926E-01	9.5068592926E-01	9.5063909084E-01	6.6190311167E-01	?	4.7680991492E-01	?	?	9.4044355877E-01	?	9.3097739502E-01	?	?	9.5204152051E-01	9.3030191419E-01	?	3.3870805970E-01	9.6716568620E-01	?	9.6727739254E-01	9.6486630147E-01	9.6705820699E-01	9.6455421582E-01	9.4980960423E-01	
Caplet Vola Monte-Carlo Single-Curve	1.8263362001E00	1.9586189820E00	5.6927582471E-01	0.0000000000E00	4.9129218341E-01	4.8206763084E-01	?	4.4626763891E-01	4.4626763891E-01	4.8842043455E-01	4.1520491578E-01	4.1919211512E-01	4.1574477921E-01	4.1575082951E-01	?	4.1580481918E-01	4.1580481918E-01	4.1574854441E-01	1.0291840428E-01	?	4.7873742334E-01	?	?	4.1261273742E-01	?	4.0314657367E-01	?	?	4.1247109284E-01	4.0247109284E-01	?	7.3273532264E-01	4.2755274098E-01	?	4.2750096825E-01	4.2458546910E-01	4.2751639685E-01	4.2469667878E-01	4.1747109284E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.4156307460E00	1.5479135279E00	1.1712536728E-01	4.9129218341E-01	0.0000000000E00	1.1053337541E-02	?	6.1396572318E-02	6.1396572318E-02	1.1588053929E-01	8.4862195161E-01	8.5649333339E-01	8.4930274458E-01	8.4937883082E-01	?	8.4971372804E-01	8.4971372804E-01	8.4953988227E-01	5.9300757569E-01	?	4.0791437894E-01	?	?	8.2331819149E-01	?	8.1385202774E-01	?	?	8.5262530534E-01	8.1317654692E-01	?	3.6538259199E-01	8.6799882475E-01	?	8.6792808844E-01	8.6549458496E-01	8.6755737056E-01	8.6518780534E-01	8.4366880902E-01	
Caplet Vola Analytic Multi-Curve Ju	1.4164022135E00	1.5486849954E00	1.1789683477E-01	4.8206763084E-01	1.1053337541E-02	0.0000000000E00	?	5.4753748393E-02	5.4753748393E-02	1.2285571784E-01	8.4304315583E-01	8.5091453761E-01	8.4372394881E-01	8.4380003504E-01	?	8.4413493226E-01	8.4413493226E-01	8.4396108650E-01	5.8259201658E-01	?	3.9749881984E-01	?	?	8.2254672399E-01	?	8.1308056024E-01	?	?	8.4704650956E-01	8.1240507942E-01	?	3.7202541592E-01	8.6242002897E-01	?	8.6234929267E-01	8.5979480936E-01	8.6197857478E-01	8.5960900956E-01	8.3977961216E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.4232836413E00	1.5555664233E00	1.2651597436E-01	4.4626763891E-01	6.1396572318E-02	5.4753748393E-02	?	0.0000000000E00	0.0000000000E00	1.7723536506E-01	8.2348927357E-01	8.2999470188E-01	8.2415144519E-01	8.2417456574E-01	?	8.2431647115E-01	8.2431647115E-01	8.2432864961E-01	5.4189438329E-01	?	3.5680118654E-01	?	?	8.1566529615E-01	?	8.0619913239E-01	?	?	8.2552554615E-01	8.0552365157E-01	?	4.2677916431E-01	8.4064971184E-01	?	8.4076141818E-01	8.3835032711E-01	8.4054223263E-01	8.3803824146E-01	8.2369580780E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.4232836413E00	1.5555664233E00	1.2651597436E-01	4.4626763891E-01	6.1396572318E-02	5.4753748393E-02	?	0.0000000000E00	0.0000000000E00	1.7723536506E-01	8.2348927357E-01	8.2999470188E-01	8.2415144519E-01	8.2417456574E-01	?	8.2431647115E-01	8.2431647115E-01	8.2432864961E-01	5.4189438329E-01	?	3.5680118654E-01	?	?	8.1566529615E-01	?	8.0619913239E-01	?	?	8.2552554615E-01	8.0552365157E-01	?	4.2677916431E-01	8.4064971184E-01	?	8.4076141818E-01	8.3835032711E-01	8.4054223263E-01	8.3803824146E-01	8.2369580780E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.4161108499E00	1.5483936318E00	1.4784645500E-01	4.8842043455E-01	1.1588053929E-01	1.2285571784E-01	?	1.7723536506E-01	1.7723536506E-01	0.0000000000E00	8.3127824499E-01	8.3914962677E-01	8.3195903796E-01	8.3203512420E-01	?	8.3237002141E-01	8.3237002141E-01	8.3219617565E-01	5.3204391238E-01	?	3.4090718394E-01	?	?	8.2283808759E-01	?	8.1337192384E-01	?	?	8.3528159872E-01	8.1269644301E-01	?	4.2256204975E-01	8.5065511813E-01	?	8.5058438182E-01	8.4802989851E-01	8.5021366393E-01	8.4784409872E-01	8.2769644301E-01	
