Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
224.88	238.11	50.03	22.61	43.57	43.57	?	43.46	43.46	43.73	0.39	0.18	0.36	0.36	?	0.35	0.35	0.36	23.96	23.26	45.86	46.05	44.49	0.53	0.51	1.05	1.06	1.02	1.00	2.00	99.75	100.25	-0.50	99.75	-0.50	-0.21	-0.50	-0.22	0.50	
204.12	216.13	50.99	23.11	44.52	44.50	?	44.29	44.29	44.21	0.56	0.25	0.51	0.51	?	0.51	0.51	0.51	22.13	21.45	42.09	42.51	40.86	1.48	1.43	2.92	2.95	2.83	1.00	6.00	99.50	100.50	-0.50	99.50	-0.51	-0.24	-0.51	-0.24	1.00	
190.21	201.39	51.21	23.04	44.83	44.80	?	44.47	44.47	44.71	0.68	0.31	0.63	0.63	?	0.62	0.62	0.63	18.94	18.34	35.63	36.24	34.61	2.14	2.08	4.17	4.24	4.06	1.00	10.00	99.26	100.76	-0.50	99.26	-0.50	-0.25	-0.50	-0.25	1.50	
180.88	191.52	50.89	22.62	44.66	44.61	?	44.19	44.19	44.79	0.78	0.35	0.72	0.72	?	0.71	0.71	0.72	15.90	15.37	29.67	30.43	28.82	2.56	2.47	4.93	5.06	4.79	1.00	14.00	99.03	101.01	-0.49	99.03	-0.49	-0.25	-0.49	-0.26	2.00	
174.62	184.90	50.20	22.29	44.14	44.08	7.65	43.58	43.58	43.83	0.86	0.39	0.80	0.79	0.14	0.79	0.79	0.79	13.35	12.90	24.81	25.79	24.11	2.80	2.70	5.36	5.57	5.21	1.00	18.00	98.83	101.26	-0.48	98.83	-0.49	-0.26	-0.48	-0.25	2.50	
170.43	180.46	49.24	21.90	43.38	43.30	11.34	42.74	42.74	43.28	0.93	0.42	0.86	0.86	0.23	0.85	0.85	0.86	11.37	10.98	21.07	?	20.49	2.95	2.85	5.62	?	5.47	1.00	22.00	98.65	101.51	-0.46	98.65	-0.46	-0.24	-0.46	-0.24	3.00	
167.62	177.48	48.12	21.38	42.45	42.36	12.90	41.76	41.76	41.89	0.99	0.45	0.91	0.91	0.28	0.89	0.89	0.90	9.84	9.50	18.17	?	17.69	3.05	2.95	5.79	?	5.64	1.00	26.00	98.51	101.74	-0.44	98.52	-0.44	-0.24	-0.43	-0.23	3.50	
165.74	175.49	46.90	20.98	41.42	41.33	13.65	40.69	40.69	40.69	1.03	0.48	0.95	0.95	0.32	0.94	0.94	0.94	8.63	8.34	15.91	?	15.50	3.13	3.02	5.91	?	5.76	1.00	30.00	98.42	101.96	-0.40	98.43	-0.41	-0.22	-0.40	-0.20	4.00	
164.48	174.15	45.64	20.38	40.34	40.25	14.02	39.59	39.59	39.64	1.07	0.49	0.99	0.99	0.35	0.97	0.97	0.98	7.68	7.42	14.13	?	13.78	3.19	3.08	6.00	?	5.85	1.00	34.00	98.39	102.16	-0.36	98.40	-0.36	-0.17	-0.35	-0.15	4.50	
193.94	205.35	44.38	19.96	39.25	39.15	14.16	38.48	38.48	38.41	1.11	0.52	1.03	1.02	0.38	1.01	1.01	1.01	22.43	21.04	42.08	42.82	40.97	0.95	0.89	1.81	1.84	1.76	3.50	2.00	98.42	102.34	-0.32	98.44	-0.32	-0.13	-0.30	-0.10	5.00	
