Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0031795159009732747	0.0	0.0	0.0	0.0	0.0	0.006282994013007641	0.0	0.0	0.0	0.0	0.0	0.0	0.010147207732753447	0.0	0.0	0.01960750652105183	0.0	0.0	0.0	0.0	0.009099323230608991	0.0	0.009141914595929545	0.018205717479733766	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005052252846216123	0.0	0.0	0.0	0.0	0.0	0.00976523045554621	0.0	0.0	0.0	0.0	0.0	0.0	0.027098743392837726	0.0	0.0	0.05238547912226149	0.0	0.0	0.004549988340077672	0.0	0.013551086182952848	0.004572229800510088	0.013513324761286017	0.026730187881431652	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006661294546417952	0.0	0.0	0.0	0.0	0.0	0.01279297749517883	0.0	0.0	0.0	0.0	0.0	0.0	0.03734407763288613	0.0	0.0	0.07200142640148026	0.0	0.0	0.010539653253954654	0.0	0.017151323585519098	0.010556133015203415	0.01711645700313178	0.03366941572734306	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007961811393991046	0.0	0.0	0.0	0.0	0.0	0.015563778750817334	0.0	0.0	0.0	0.0	0.0	0.0	0.043039680690739615	0.0	0.0	0.0826922260181296	0.0	0.0	0.018188155166183998	0.0	0.020017063018972863	0.01819310718941575	0.0201592667041085	0.0396860972060338	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009105781855531752	0.0	0.0	0.0	0.0	0.0	0.017702189941789584	0.0	0.0	0.0	0.0	0.0	0.0	0.04610801720134157	0.0	0.0	0.08835893795726671	0.0	0.0	0.027288540040046962	0.0	0.022502519326217024	0.027376195216551196	0.022569987009194135	0.04429195452769514	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010069790446008508	0.0	0.0	0.0	0.0	0.0	0.01982043018479605	0.0	0.0	0.0	0.0	0.0	0.0	0.0479780233410301	0.0	0.0	0.09177547391489177	0.0	0.0	0.037834269329107544	0.0	0.024588031427060564	0.03797578089083427	0.024892007495566353	0.04868445210647762	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010897205654085633	0.0	0.0	0.0	0.0	0.0	0.021260825459315912	0.0	0.0	0.0	0.0	0.0	0.0	0.0492293586555626	0.0	0.0	0.09400008489735623	0.0	0.0	0.04980371878529315	0.0	0.026349786776826176	0.05036858613059327	0.026526818129943966	0.051725175656689056	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011725497327553978	0.0	0.0	0.0	0.0	0.0	0.02249079800210537	0.0	0.0	0.0	0.0	0.0	0.0	0.050087352885429294	0.0	0.0	0.095499437877917	0.0	0.0	0.06346570044759346	0.0	0.028082682125678896	0.06480321509798134	0.02804678646558926	0.05432573382072845	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012157855791951775	0.0	0.0	0.0	0.0	0.0	0.023652546590537185	0.0	0.0	0.0	0.0	0.0	0.0	0.050749515127408946	0.0	0.0	0.09669753522820704	0.0	0.0	0.07938219860932401	0.0	0.029131709432235114	0.08136607962182017	0.029381734564289063	0.05678406247508185	0.0	0.0	0.0	
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012739185947437453	0.0	0.0	0.0	0.0	0.0	0.024218566965850636	0.0	0.0	0.0	0.0	0.0	0.0	0.02096283632531897	0.0	0.0	0.04083381532294585	0.0	0.0	0.09738458993876367	0.0	0.030407252016334034	0.10083797856950506	0.03043622792935927	0.058185087831408334	0.0	0.0	0.0	
