	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.7142857143E-02	5.5736219760E-01	5.5743127135E-01	8.2521987687E-01	?	2.0000000000E00	6.1659674684E-01	6.1659674684E-01	6.0737528433E-01	1.9998831108E00	1.9998829471E00	1.9983725109E00	?	1.9985647710E00	1.9994590298E00	1.9994590298E00	1.9994558960E00	8.5613782523E-01	8.5519530290E-01	7.8607126330E-01	7.9898929016E-01	7.7795930600E-01	1.9994374986E00	1.9994356426E00	1.9962200587E00	1.9962974703E00	1.9961912986E00	1.6786412714E00	1.3795891253E00	3.1219495582E-01	3.2947076358E-01	2.0026538297E00	3.1219493940E-01	2.0026536348E00	2.0002882400E00	2.0026546972E00	2.0002927504E00	1.5142792931E00	
Target (LIBOR)	5.7142857143E-02	0.0000000000E00	6.0965082158E-01	6.0971875279E-01	8.6158316650E-01	?	2.0000000000E00	6.6785677095E-01	6.6785677095E-01	6.5880185626E-01	1.9998896045E00	1.9998894498E00	1.9984628923E00	?	1.9986444790E00	1.9994890798E00	1.9994890798E00	1.9994861201E00	9.0224572956E-01	9.0132658488E-01	8.3385032362E-01	8.4647042157E-01	8.2592309800E-01	1.9994687445E00	1.9994669916E00	1.9964298680E00	1.9965029866E00	1.9964027029E00	1.6951338201E00	1.4089635427E00	2.5619470862E-01	2.7361574054E-01	2.0025063024E00	2.5619469206E-01	2.0025061183E00	2.0002722255E00	2.0025071216E00	2.0002764854E00	1.5381480678E00	
Caplet Vola Analytic Single-Curve	5.5736219760E-01	6.0965082158E-01	0.0000000000E00	7.8290305390E-03	4.5104696572E-01	?	2.0000000000E00	6.4802151081E-02	6.4802151081E-02	5.4637137242E-02	1.9997927954E00	1.9997925051E00	1.9971158590E00	?	1.9974564767E00	1.9990411230E00	1.9990411230E00	1.9990355689E00	3.7237250455E-01	3.7167601523E-01	2.7141568797E-01	2.8617265499E-01	2.6244190630E-01	1.9990029628E00	1.9989996733E00	1.9933041921E00	1.9934412215E00	1.9932532838E00	1.4636250719E00	1.0179007426E00	8.3330711347E-01	8.4790671922E-01	2.0047068536E00	8.3330709956E-01	2.0047065077E00	2.0005109911E00	2.0047083929E00	2.0005189877E00	1.2128234630E00	
Caplet Vola Monte-Carlo Single-Curve	5.5743127135E-01	6.0971875279E-01	7.8290305390E-03	0.0000000000E00	4.4956929478E-01	?	2.0000000000E00	6.4727338891E-02	6.4727338891E-02	5.4562302335E-02	1.9997927799E00	1.9997924896E00	1.9971156431E00	?	1.9974562863E00	1.9990410512E00	1.9990410512E00	1.9990354967E00	3.7196747041E-01	3.7106617324E-01	2.7081209026E-01	2.8556565789E-01	2.6187088376E-01	1.9990028881E00	1.9989995984E00	1.9933036915E00	1.9934407311E00	1.9932527794E00	1.4635902880E00	1.0178452498E00	8.3336900219E-01	8.4796814838E-01	2.0047072065E00	8.3336898828E-01	2.0047068606E00	2.0005110293E00	2.0047087460E00	2.0005190266E00	1.2127761112E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	8.2521987687E-01	8.6158316650E-01	4.5104696572E-01	4.4956929478E-01	0.0000000000E00	?	2.0000000000E00	4.2047855487E-01	4.2047855487E-01	4.1378244432E-01	1.9997316973E00	1.9997313215E00	1.9962661543E00	?	1.9967070396E00	1.9987584494E00	1.9987584494E00	1.9987512585E00	4.8022181733E-01	4.7675602216E-01	4.3824775622E-01	4.4623054328E-01	4.2798941073E-01	1.9987090434E00	1.9987047845E00	1.9913339566E00	1.9915112209E00	1.9912681013E00	1.3318740040E00	9.2434087194E-01	1.0529726076E00	1.0655568733E00	2.0060969639E00	1.0529725956E00	2.0060965157E00	2.0006617011E00	2.0060989585E00	2.0006720567E00	1.0366026455E00	
Caplet Vola Analytic Multi-Curve Ju	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Ho	2.0000000000E00	2.0000000000E00	2.0000000000E00	2.0000000000E00	2.0000000000E00	?	0.0000000000E00	2.0000000000E00	2.0000000000E00	2.0000000000E00	2.0000000000E00	2.0000000000E00	2.0000000000E00	?	2.0000000000E00	2.0000000000E00	2.0000000000E00	2.0000000000E00	2.0000000000E00	2.0000000000E00	2.0000000000E00	2.0000000000E00	2.0000000000E00	2.0000000000E00	2.0000000000E00	2.0000000000E00	2.0000000000E00	2.0000000000E00	2.0000000000E00	2.0000000000E00	2.0000000000E00	2.0000000000E00	2.0000000000E00	2.0000000000E00	2.0000000000E00	2.0000000000E00	2.0000000000E00	2.0000000000E00	2.0000000000E00	
Caplet Vola Analytic Multi-Curve Drift-Freeze	6.1659674684E-01	6.6785677095E-01	6.4802151081E-02	6.4727338891E-02	4.2047855487E-01	?	2.0000000000E00	0.0000000000E00	0.0000000000E00	1.4787821637E-02	1.9997789192E00	1.9997786095E00	1.9969228505E00	?	1.9972862471E00	1.9989769214E00	1.9989769214E00	1.9989709955E00	3.5550850126E-01	3.5459409171E-01	2.3923310703E-01	2.5271612741E-01	2.3265032314E-01	1.9989362069E00	1.9989326972E00	1.9928565605E00	1.9930027346E00	1.9928022550E00	1.4327966988E00	9.6907923078E-01	8.8614626921E-01	9.0034129179E-01	2.0050224774E00	8.8614625569E-01	2.0050221082E00	2.0005452179E00	2.0050241200E00	2.0005537502E00	1.1710301722E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	6.1659674684E-01	6.6785677095E-01	6.4802151081E-02	6.4727338891E-02	4.2047855487E-01	?	2.0000000000E00	0.0000000000E00	0.0000000000E00	1.4787821637E-02	1.9997789192E00	1.9997786095E00	1.9969228505E00	?	1.9972862471E00	1.9989769214E00	1.9989769214E00	1.9989709955E00	3.5550850126E-01	3.5459409171E-01	2.3923310703E-01	2.5271612741E-01	2.3265032314E-01	1.9989362069E00	1.9989326972E00	1.9928565605E00	1.9930027346E00	1.9928022550E00	1.4327966988E00	9.6907923078E-01	8.8614626921E-01	9.0034129179E-01	2.0050224774E00	8.8614625569E-01	2.0050221082E00	2.0005452179E00	2.0050241200E00	2.0005537502E00	1.1710301722E00	
Caplet Vola Monte-Carlo Multi-Curve	6.0737528433E-01	6.5880185626E-01	5.4637137242E-02	5.4562302335E-02	4.1378244432E-01	?	2.0000000000E00	1.4787821637E-02	1.4787821637E-02	0.0000000000E00	1.9997811570E00	1.9997808504E00	1.9969539753E00	?	1.9973136987E00	1.9989872749E00	1.9989872749E00	1.9989814090E00	3.5485504459E-01	3.5413517948E-01	2.4184148992E-01	2.5526677248E-01	2.3528401833E-01	1.9989469723E00	1.9989434982E00	1.9929287423E00	1.9930734419E00	1.9928749846E00	1.4377311581E00	9.7684546508E-01	8.7795107898E-01	8.9221045436E-01	2.0049715740E00	8.7795106539E-01	2.0049712086E00	2.0005396981E00	2.0049732000E00	2.0005481441E00	1.1776963982E00	
