	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.7987730221E-02	1.0883628162E00	1.5299863700E00	1.1674832545E00	1.1709428032E00	?	1.1874928434E00	1.1874928434E00	1.1769770200E00	1.9917622070E00	2.0105408560E00	1.9944111775E00	1.9945952837E00	?	1.9954444706E00	1.9954444706E00	1.9948603307E00	1.6062899800E00	1.6297785663E00	1.3349845252E00	?	1.3494067323E00	1.9058737673E00	1.9128753367E00	1.8173508090E00	?	1.8223051004E00	1.8780167299E00	1.7100751465E00	1.2243517243E01	4.3726760122E-01	2.0296542571E00	1.2452538191E01	2.0300455334E00	2.0257915043E00	2.0295715998E00	2.0256608062E00	1.7940853572E00	
Target (LIBOR)	5.7987730221E-02	0.0000000000E00	1.1290056351E00	1.5544791284E00	1.2056181194E00	1.2089652768E00	?	1.2249721137E00	1.2249721137E00	1.2148004647E00	1.9938428740E00	2.0115929834E00	1.9963473573E00	1.9965214196E00	?	1.9973242592E00	1.9973242592E00	1.9967719862E00	1.6274314979E00	1.6498783802E00	1.3671388069E00	?	1.3810229576E00	1.9125193069E00	1.9191569812E00	1.8284745577E00	?	1.8331846193E00	1.8860485700E00	1.7262427875E00	1.2243517243E01	4.8819675643E-01	2.0296492974E00	1.2452538191E01	2.0300188286E00	2.0260009433E00	2.0295712317E00	2.0258775136E00	1.8062736608E00	
Caplet Vola Analytic Single-Curve	1.0883628162E00	1.1290056351E00	0.0000000000E00	7.4970615512E-01	1.1634080798E-01	1.2118109146E-01	?	1.4538285127E-01	1.4538285127E-01	1.3089687139E-01	1.9194925982E00	1.9795327506E00	1.9278621187E00	1.9284407989E00	?	1.9311183182E00	1.9311183182E00	1.9292861330E00	9.3000608888E-01	9.7761238883E-01	4.5814426743E-01	?	4.7937022621E-01	1.6607317363E00	1.6805941552E00	1.4215368385E00	?	1.4342708966E00	1.6002175214E00	1.1589201572E00	1.2243517243E01	7.7750850430E-01	2.0426182594E00	1.2452538191E01	2.0439023230E00	2.0297460994E00	2.0423289590E00	2.0292980220E00	1.3873271360E00	
Caplet Vola Monte-Carlo Single-Curve	1.5299863700E00	1.5544791284E00	7.4970615512E-01	0.0000000000E00	6.4655499865E-01	6.4232199342E-01	?	6.2131219684E-01	6.2131219684E-01	6.3374824314E-01	1.7703380364E00	1.8925279381E00	1.7871392367E00	1.7883079126E00	?	1.7937137296E00	1.7937137296E00	1.7899951330E00	3.1157124902E-01	3.4294741161E-01	4.9822146803E-01	?	4.7870567581E-01	1.2965818292E00	1.3301587236E00	9.3030909033E-01	?	9.4778115689E-01	1.2148671154E00	6.8865954526E-01	1.2243517243E01	1.3125967060E00	2.0244916493E00	1.2452538191E01	2.0272406867E00	1.9972185736E00	2.0238941062E00	1.9963085970E00	9.1674521145E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.1674832545E00	1.2056181194E00	1.1634080798E-01	6.4655499865E-01	0.0000000000E00	5.5187177786E-03	?	3.1460488113E-02	3.1460488113E-02	1.9153128844E-02	1.9020168104E00	1.9688540795E00	1.9113197652E00	1.9119637110E00	?	1.9149429576E00	1.9149429576E00	1.9129035925E00	8.3827495160E-01	8.8753995668E-01	3.7556410401E-01	?	3.9438538078E-01	1.6170956068E00	1.6387907229E00	1.3584345056E00	?	1.3720757918E00	1.5522634363E00	1.0835083112E00	1.2243517243E01	8.6785515110E-01	2.0392445881E00	1.2452538191E01	2.0406827071E00	2.0248753611E00	2.0389213107E00	2.0243753072E00	1.3237461099E00	
Caplet Vola Analytic Multi-Curve Ju	1.1709428032E00	1.2089652768E00	1.2118109146E-01	6.4232199342E-01	5.5187177786E-03	0.0000000000E00	?	2.5966190072E-02	2.5966190072E-02	1.5481872974E-02	1.9021463332E00	1.9693056620E00	1.9114929063E00	1.9121397005E00	?	1.9151323595E00	1.9151323595E00	1.9130841548E00	8.3465421403E-01	8.8395179573E-01	3.7249939777E-01	?	3.9119522706E-01	1.6160533453E00	1.6378243771E00	1.3565585267E00	?	1.3702374669E00	1.5512779871E00	1.0808350509E00	1.2243517243E01	8.7224498702E-01	2.0400771248E00	1.2452538191E01	2.0415225455E00	2.0256258920E00	2.0397519828E00	2.0251227474E00	1.3222324786E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.1874928434E00	1.2249721137E00	1.4538285127E-01	6.2131219684E-01	3.1460488113E-02	2.5966190072E-02	?	0.0000000000E00	0.0000000000E00	2.0870309174E-02	1.9017991819E00	1.9705322088E00	1.9113595192E00	1.9120204748E00	?	1.9150795165E00	1.9150795165E00	1.9129869489E00	8.1639112902E-01	8.6585802673E-01	3.5761412045E-01	?	3.7560991955E-01	1.6099664970E00	1.6321133835E00	1.3464205940E00	?	1.3602807207E00	1.5451570255E00	1.0673821984E00	1.2243517243E01	8.9290244361E-01	2.0431329396E00	1.2452538191E01	2.0446138183E00	2.0282892011E00	2.0427990479E00	2.0277720960E00	1.3134293834E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.1874928434E00	1.2249721137E00	1.4538285127E-01	6.2131219684E-01	3.1460488113E-02	2.5966190072E-02	?	0.0000000000E00	0.0000000000E00	2.0870309174E-02	1.9017991819E00	1.9705322088E00	1.9113595192E00	1.9120204748E00	?	1.9150795165E00	1.9150795165E00	1.9129869489E00	8.1639112902E-01	8.6585802673E-01	3.5761412045E-01	?	3.7560991955E-01	1.6099664970E00	1.6321133835E00	1.3464205940E00	?	1.3602807207E00	1.5451570255E00	1.0673821984E00	1.2243517243E01	8.9290244361E-01	2.0431329396E00	1.2452538191E01	2.0446138183E00	2.0282892011E00	2.0427990479E00	2.0277720960E00	1.3134293834E00	
Caplet Vola Monte-Carlo Multi-Curve	1.1769770200E00	1.2148004647E00	1.3089687139E-01	6.3374824314E-01	1.9153128844E-02	1.5481872974E-02	?	2.0870309174E-02	2.0870309174E-02	0.0000000000E00	1.9003840140E00	1.9680936813E00	1.9098078137E00	1.9104600019E00	?	1.9134773105E00	1.9134773105E00	1.9114020917E00	8.2645646132E-01	8.7591270736E-01	3.6511808677E-01	?	3.8361790530E-01	1.6122737219E00	1.6341952109E00	1.3513864793E00	?	1.3651301186E00	1.5464526323E00	1.0759023673E00	1.2243517243E01	8.7916488511E-01	2.0394455902E00	1.2452538191E01	2.0408968073E00	2.0248516425E00	2.0391197230E00	2.0243651674E00	1.3163327172E00	
