Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
88.65	93.86	65.03	65.05	128.25	?	126.45	63.70	63.70	64.02	0.00	0.00	0.05	?	0.05	0.01	0.01	0.01	66.32	67.01	65.06	65.06	64.52	0.00	0.00	0.03	0.03	0.03	1.00	2.00	99.94	100.06	-0.13	99.94	-0.13	-0.04	-0.13	-0.04	0.50	
91.21	96.58	65.98	66.65	101.87	?	99.69	64.67	64.67	64.16	0.00	0.00	0.06	?	0.06	0.01	0.01	0.01	61.82	62.46	60.65	60.63	60.37	0.00	0.00	0.07	0.07	0.07	1.00	6.00	99.87	100.13	-0.14	99.87	-0.14	-0.05	-0.14	-0.05	1.00	
92.88	98.34	66.21	66.79	6.63	?	87.74	64.92	64.92	64.78	0.00	0.00	0.06	?	0.06	0.02	0.02	0.02	54.22	54.66	53.47	53.39	53.35	0.00	0.00	0.10	0.10	0.10	1.00	10.00	99.80	100.20	-0.15	99.80	-0.15	-0.05	-0.15	-0.05	1.50	
93.78	99.30	65.89	65.71	20.33	?	13.59	64.63	64.63	65.29	0.00	0.00	0.07	?	0.07	0.02	0.02	0.02	47.10	47.35	47.89	47.74	47.79	0.01	0.01	0.12	0.12	0.12	1.00	14.00	99.73	100.28	-0.15	99.73	-0.15	-0.05	-0.15	-0.05	2.00	
94.06	99.59	65.19	64.95	28.20	?	21.35	63.95	63.95	63.98	0.00	0.00	0.07	?	0.07	0.02	0.02	0.02	41.11	41.24	44.70	44.50	44.64	0.01	0.01	0.13	0.13	0.13	1.00	18.00	99.65	100.35	-0.15	99.65	-0.15	-0.05	-0.15	-0.05	2.50	
93.81	99.33	64.22	63.95	13.62	?	26.01	63.00	63.00	63.38	0.00	0.00	0.08	?	0.07	0.02	0.02	0.02	36.42	36.52	42.78	42.55	42.77	0.01	0.01	0.13	0.13	0.13	1.00	22.00	99.57	100.43	-0.15	99.57	-0.15	-0.06	-0.15	-0.06	3.00	
93.15	98.63	63.08	62.56	23.85	?	7.41	61.87	61.87	61.45	0.00	0.00	0.08	?	0.07	0.02	0.02	0.02	28.27	28.39	40.49	40.22	40.59	0.01	0.01	0.13	0.13	0.13	1.00	26.00	99.50	100.51	-0.15	99.50	-0.15	-0.06	-0.15	-0.06	3.50	
92.15	97.57	61.84	61.77	33.50	?	2.66	60.64	60.64	59.67	0.00	0.00	0.08	?	0.07	0.02	0.02	0.02	23.22	23.32	37.93	37.63	38.15	0.01	0.01	0.13	0.13	0.13	1.00	30.00	99.42	100.58	-0.15	99.42	-0.15	-0.06	-0.15	-0.05	4.00	
90.88	96.23	60.54	59.05	36.79	?	23.64	59.33	59.33	58.62	0.00	0.00	0.08	?	0.07	0.02	0.02	0.02	20.47	20.55	35.69	35.37	36.00	0.01	0.01	0.13	0.13	0.13	1.00	34.00	99.35	100.66	-0.15	99.35	-0.15	-0.05	-0.15	-0.05	4.50	
89.40	94.66	59.22	57.62	38.55	?	28.03	58.01	58.01	56.85	0.00	0.00	0.08	?	0.07	0.02	0.02	0.02	62.09	61.51	60.92	60.91	60.37	0.00	0.00	0.04	0.04	0.04	3.50	2.00	99.27	100.73	-0.14	99.27	-0.14	-0.05	-0.14	-0.05	5.00	
