	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.7142857143E-02	1.0003425256E00	1.0057386664E00	1.0499034877E00	1.0542305397E00	?	1.0681259556E00	1.0680270932E00	1.0667644372E00	1.9961494485E00	1.9961772244E00	1.9954434310E00	1.9954663726E00	?	1.9955387107E00	1.9955380789E00	1.9955452298E00	1.1530438275E00	1.1588598717E00	1.2139381913E00	?	1.2161849088E00	1.9721212396E00	1.9724566818E00	1.9683188287E00	?	1.9686190499E00	1.8391023904E00	1.6762308204E00	1.4027407030E00	3.8541160459E-01	1.9992637376E00	1.1706092084E00	1.9993068724E00	1.9954934119E00	1.9992360103E00	1.9954428016E00	1.7512604745E00	
Target (LIBOR)	5.7142857143E-02	0.0000000000E00	1.0425861926E00	1.0478266693E00	1.0906875356E00	1.0948839667E00	?	1.1083564654E00	1.1082606306E00	1.1070366187E00	1.9963631735E00	1.9963894092E00	1.9956963014E00	1.9957179712E00	?	1.9957862990E00	1.9957857023E00	1.9957924567E00	1.1905754606E00	1.1961994778E00	1.2494137475E00	?	1.2515826806E00	1.9736598606E00	1.9739769111E00	1.9700657222E00	?	1.9703495130E00	1.8477008051E00	1.6928367471E00	1.4013533736E00	4.4013115239E-01	1.9993046340E00	1.1572573612E00	1.9993453732E00	1.9957435115E00	1.9992784465E00	1.9956957068E00	1.7642649395E00	
Caplet Vola Analytic Single-Curve	1.0003425256E00	1.0425861926E00	0.0000000000E00	1.1733926881E-02	6.7207298762E-02	7.3182401333E-02	?	9.2489497872E-02	9.2351486037E-02	9.0589637910E-02	1.9884652907E00	1.9885483375E00	1.9863551560E00	1.9864237002E00	?	1.9866398398E00	1.9866379520E00	1.9866593191E00	2.4437357672E-01	2.4978018763E-01	3.1163836449E-01	?	3.1300381354E-01	1.9174766221E00	1.9184560602E00	1.9063968103E00	?	1.9072701129E00	1.5530665509E00	1.1637220066E00	1.6672790993E00	6.8052382543E-01	1.9977910175E00	1.5548098895E00	1.9979203885E00	1.9865044892E00	1.9977078599E00	1.9863532755E00	1.3360699207E00	
Caplet Vola Monte-Carlo Single-Curve	1.0057386664E00	1.0478266693E00	1.1733926881E-02	0.0000000000E00	6.0005094105E-02	6.5981631206E-02	?	8.5294243222E-02	8.5156187190E-02	8.3393780892E-02	1.9883820731E00	1.9884657173E00	1.9862567672E00	1.9863258039E00	?	1.9865434969E00	1.9865415955E00	1.9865631162E00	2.3844527662E-01	2.4385036894E-01	3.0357949419E-01	?	3.0519830433E-01	1.9168919256E00	1.9178781578E00	1.9057354998E00	?	1.9066148249E00	1.5501963842E00	1.1589433657E00	1.6694717248E00	6.8689078960E-01	1.9977750432E00	1.5576542857E00	1.9979053492E00	1.9864071735E00	1.9976912845E00	1.9862548731E00	1.3320681876E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.0499034877E00	1.0906875356E00	6.7207298762E-02	6.0005094105E-02	0.0000000000E00	5.9824585894E-03	?	2.5321548603E-02	2.5183263477E-02	2.4280610367E-02	1.9876655917E00	1.9877543784E00	1.9854096970E00	1.9854829733E00	?	1.9857140360E00	1.9857120178E00	1.9857348603E00	2.1746282378E-01	2.2054465609E-01	2.5784172141E-01	?	2.5967058261E-01	1.9118640502E00	1.9129086208E00	1.9000499055E00	?	1.9009809228E00	1.5256706387E00	1.1183820440E00	1.6872216979E00	7.3927818635E-01	1.9976374862E00	1.5807229461E00	1.9977758439E00	1.9855693401E00	1.9975485524E00	1.9854076866E00	1.2980006766E00	
Caplet Vola Analytic Multi-Curve Ju	1.0542305397E00	1.0948839667E00	7.3182401333E-02	6.5981631206E-02	5.9824585894E-03	0.0000000000E00	?	1.9339822437E-02	1.9201528102E-02	1.9524307800E-02	1.9875918098E00	1.9876811260E00	1.9853224705E00	1.9853961833E00	?	1.9856286224E00	1.9856265922E00	1.9856495708E00	2.1532046037E-01	2.1868174701E-01	2.5416836397E-01	?	2.5625192693E-01	1.9113469197E00	1.9123974820E00	1.8994652380E00	?	1.9004015622E00	1.5231637585E00	1.1142633788E00	1.6889422231E00	7.4443753875E-01	1.9976233186E00	1.5829630388E00	1.9977625056E00	1.9854830645E00	1.9975338518E00	1.9853204481E00	1.2945313031E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.0681259556E00	1.1083564654E00	9.2489497872E-02	8.5294243222E-02	2.5321548603E-02	1.9339822437E-02	?	0.0000000000E00	1.3872104506E-04	1.3056630060E-02	1.9873502608E00	1.9874413102E00	1.9850369102E00	1.9851120518E00	?	1.9853489966E00	1.9853469270E00	1.9853703511E00	2.0984913560E-01	2.1326913501E-01	2.4491191229E-01	?	2.4601051862E-01	1.9096547467E00	1.9107249040E00	1.8975522127E00	?	1.8985058900E00	1.5149809057E00	1.1008543142E00	1.6944452721E00	7.6103813952E-01	1.9975769333E00	1.5901326916E00	1.9977188352E00	1.9852006171E00	1.9974857215E00	1.9850348486E00	1.2832231763E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.0680270932E00	1.1082606306E00	9.2351486037E-02	8.5156187190E-02	2.5183263477E-02	1.9201528102E-02	?	1.3872104506E-04	0.0000000000E00	1.3080520609E-02	1.9873520047E00	1.9874430416E00	1.9850389718E00	1.9851141031E00	?	1.9853510154E00	1.9853489461E00	1.9853723669E00	2.0988896346E-01	2.1330887403E-01	2.4498508994E-01	?	2.4608862088E-01	1.9096669591E00	1.9107369750E00	1.8975660181E00	?	1.8985195703E00	1.5150398502E00	1.1009507148E00	1.6944062376E00	7.6091985539E-01	1.9975772682E00	1.5900818098E00	1.9977191505E00	1.9852026562E00	1.9974860690E00	1.9850369105E00	1.2833045436E00	
Caplet Vola Monte-Carlo Multi-Curve	1.0667644372E00	1.1070366187E00	9.0589637910E-02	8.3393780892E-02	2.4280610367E-02	1.9524307800E-02	?	1.3056630060E-02	1.3080520609E-02	0.0000000000E00	1.9873742451E00	1.9874651224E00	1.9850652643E00	1.9851402640E00	?	1.9853767615E00	1.9853746958E00	1.9853980756E00	2.1241053861E-01	2.1583755415E-01	2.4577062268E-01	?	2.4711659727E-01	1.9098227127E00	1.9108909258E00	1.8977420907E00	?	1.8986940465E00	1.5157917566E00	1.1021806582E00	1.6939075463E00	7.5940936888E-01	1.9975815393E00	1.5894317936E00	1.9977231716E00	1.9852286621E00	1.9974905007E00	1.9850632066E00	1.2843425921E00	
