	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	9.0023865436E-02	1.0211791752E00	1.2989824503E00	1.0730598961E00	1.0759299360E00	?	1.0854998203E00	1.0855310098E00	1.0804257577E00	1.5150997664E00	1.5228390394E00	1.5160542696E00	1.5161451588E00	?	1.5164513578E00	1.5164518535E00	1.5162270426E00	1.3354425928E00	1.3459890419E00	1.1792147926E00	?	1.1851026254E00	1.4786882745E00	1.4812748564E00	1.4386082075E00	?	1.4399343218E00	1.4754760927E00	1.4030554619E00	8.7876824808E93	5.5289974248E-01	1.5307593219E00	9.1200397333E89	1.5309330174E00	1.5288437207E00	1.5306988578E00	1.5291997655E00	1.4425414327E00	
Target (LIBOR)	9.0023865436E-02	0.0000000000E00	1.1111443674E00	1.3890006669E00	1.1630421891E00	1.1659126231E00	?	1.1754837347E00	1.1755149883E00	1.1704111252E00	1.6051229157E00	1.6128626826E00	1.6060774980E00	1.6061684000E00	?	1.6064746407E00	1.6064751362E00	1.6062502597E00	1.4254288101E00	1.4359845482E00	1.2690887310E00	?	1.2749767972E00	1.5686900507E00	1.5712787644E00	1.5285640267E00	?	1.5298914008E00	1.5654441479E00	1.4928898567E00	8.7876824808E93	6.3895124280E-01	1.6207829374E00	9.1200397333E89	1.6209566253E00	1.6188672879E00	1.6207224754E00	1.6192234173E00	1.5324607691E00	
Caplet Vola Analytic Single-Curve	1.0211791752E00	1.1111443674E00	0.0000000000E00	2.7990268059E-01	5.2603201390E-02	5.5322348739E-02	?	6.4702728583E-02	6.4736665740E-02	6.0840050873E-02	4.9622487065E-01	5.0390840463E-01	4.9717000340E-01	4.9725898922E-01	?	4.9755922100E-01	4.9755976838E-01	4.9734487131E-01	3.2277337824E-01	3.3219363163E-01	1.8720314470E-01	?	1.9240675414E-01	4.5998024012E-01	4.6247842107E-01	4.2113708887E-01	?	4.2247700676E-01	4.6030702059E-01	3.8615471556E-01	8.7876824808E93	5.2721677389E-01	5.1186940351E-01	9.1200397333E89	5.1203873769E-01	5.0995467063E-01	5.1180483208E-01	5.1029566459E-01	4.2981694050E-01	
Caplet Vola Monte-Carlo Single-Curve	1.2989824503E00	1.3890006669E00	2.7990268059E-01	0.0000000000E00	2.2754055606E-01	2.2470429477E-01	?	2.1527504180E-01	2.1523865509E-01	2.1994640663E-01	2.1661088738E-01	2.2437255804E-01	2.1756655024E-01	2.1765735257E-01	?	2.1796348302E-01	2.1796397354E-01	2.1773747561E-01	6.0908491429E-02	6.4459380342E-02	1.4634376720E-01	?	1.4139781724E-01	1.8136101604E-01	1.8373918692E-01	1.4697678471E-01	?	1.4810146858E-01	1.8297033592E-01	1.3129735779E-01	8.7876824808E93	7.9193037718E-01	2.3231539943E-01	9.1200397333E89	2.3248595361E-01	2.3039190289E-01	2.3225403865E-01	2.3075495648E-01	1.5714334516E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.0730598961E00	1.1630421891E00	5.2603201390E-02	2.2754055606E-01	0.0000000000E00	3.1594858316E-03	?	1.3767453691E-02	1.3788147125E-02	1.1193983768E-02	4.4389299394E-01	4.5160905629E-01	4.4484208670E-01	4.4493172891E-01	?	4.4523416870E-01	4.4523470937E-01	4.4501694231E-01	2.7111228666E-01	2.8041146744E-01	1.4389573121E-01	?	1.4838905352E-01	4.0756815343E-01	4.1007202834E-01	3.6885684852E-01	?	3.7018607501E-01	4.0788807029E-01	3.3514689351E-01	8.7876824808E93	5.7461068343E-01	4.5957484949E-01	9.1200397333E89	4.5974497737E-01	4.5765910509E-01	4.5951032370E-01	4.5800469510E-01	3.7750240937E-01	
Caplet Vola Analytic Multi-Curve Ju	1.0759299360E00	1.1659126231E00	5.5322348739E-02	2.2470429477E-01	3.1594858316E-03	0.0000000000E00	?	1.0610841214E-02	1.0631885006E-02	9.8551239804E-03	4.4103992819E-01	4.4874749599E-01	4.4198793716E-01	4.4207739930E-01	?	4.4237923806E-01	4.4237978083E-01	4.4216282892E-01	2.6834647126E-01	2.7761237106E-01	1.4174032882E-01	?	1.4621868842E-01	4.0477678646E-01	4.0727454052E-01	3.6614544492E-01	?	3.6747409143E-01	4.0518011586E-01	3.3243191115E-01	8.7876824808E93	5.7771071899E-01	4.5671237094E-01	9.1200397333E89	4.5688230731E-01	4.5479694761E-01	4.5664780954E-01	4.5514128299E-01	3.7490554104E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.0854998203E00	1.1754837347E00	6.4702728583E-02	2.1527504180E-01	1.3767453691E-02	1.0610841214E-02	?	0.0000000000E00	6.3285380359E-05	1.2062367665E-02	4.3153265586E-01	4.3921025001E-01	4.3247688407E-01	4.3256572625E-01	?	4.3286548727E-01	4.3286603617E-01	4.3265178614E-01	2.5911465526E-01	2.6826474174E-01	1.3464339273E-01	?	1.3906500004E-01	3.9548788234E-01	3.9796429465E-01	3.5714266747E-01	?	3.5846825593E-01	3.9615749576E-01	3.2347254627E-01	8.7876824808E93	5.8804881410E-01	4.4717064206E-01	9.1200397333E89	4.4733986614E-01	4.4525618233E-01	4.4710602564E-01	4.4559643844E-01	3.6626884229E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.0855310098E00	1.1755149883E00	6.4736665740E-02	2.1523865509E-01	1.3788147125E-02	1.0631885006E-02	?	6.3285380359E-05	0.0000000000E00	1.2042529092E-02	4.3149821499E-01	4.3917603707E-01	4.3244247623E-01	4.3253132401E-01	?	4.3283110303E-01	4.3283165173E-01	4.3261736355E-01	2.5907583631E-01	2.6822647768E-01	1.3460426988E-01	?	1.3902432862E-01	3.9545248649E-01	3.9792901010E-01	3.5710667286E-01	?	3.5843213827E-01	3.9611731979E-01	3.2344325012E-01	8.7876824808E93	5.8806706292E-01	4.4713636453E-01	9.1200397333E89	4.4730557645E-01	4.4522185126E-01	4.4707175099E-01	4.4556217795E-01	3.6622646753E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.0804257577E00	1.1704111252E00	6.0840050873E-02	2.1994640663E-01	1.1193983768E-02	9.8551239804E-03	?	1.2062367665E-02	1.2042529092E-02	0.0000000000E00	4.3639075099E-01	4.4412280124E-01	4.3734243741E-01	4.3743252370E-01	?	4.3773637209E-01	4.3773689341E-01	4.3751245159E-01	2.6331620646E-01	2.7265039061E-01	1.3708552849E-01	?	1.4137196356E-01	4.0001007970E-01	4.0252552339E-01	3.6130421088E-01	?	3.6262098005E-01	3.9986707563E-01	3.2845888949E-01	8.7876824808E93	5.8063720894E-01	4.5208047423E-01	9.1200397333E89	4.5224848511E-01	4.5015460494E-01	4.5201686416E-01	4.5051314584E-01	3.6938242569E-01	
