	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	1.3228278194E-01	1.5485053787E00	1.5486553310E00	1.6317859032E00	1.6323546593E00	?	1.6342912004E00	1.6342836287E00	1.6297578731E00	2.2483204013E00	2.2483205034E00	2.2481314090E00	2.2481320222E00	?	2.2481341103E00	2.2481341021E00	2.2481292226E00	1.5339013923E00	1.5292414813E00	1.6206492853E00	?	1.6206938353E00	2.2474084546E00	2.2473997221E00	2.2469276301E00	?	2.2469277591E00	2.2388072929E00	2.2288072929E00	8.4371222613E09	1.2463010272E00	2.2538532185E00	2.5221872323E09	2.2538469056E00	2.2510198683E00	2.2538525969E00	2.2510328788E00	2.2438072929E00	
Target (LIBOR)	1.3228278194E-01	0.0000000000E00	1.6807881607E00	1.6809381129E00	1.7640686852E00	1.7646374412E00	?	1.7665739824E00	1.7665664106E00	1.7620406550E00	2.3806031832E00	2.3806032854E00	2.3804141909E00	2.3804148041E00	?	2.3804168922E00	2.3804168840E00	2.3804120046E00	1.6661841743E00	1.6615242632E00	1.7529320672E00	?	1.7529766172E00	2.3796912366E00	2.3796825041E00	2.3792104121E00	?	2.3792105411E00	2.3710900748E00	2.3610900748E00	8.4371222613E09	1.3785838092E00	2.3861360004E00	2.5221872322E09	2.3861296875E00	2.3833026502E00	2.3861353789E00	2.3833156608E00	2.3760900748E00	
Caplet Vola Analytic Single-Curve	1.5485053787E00	1.6807881607E00	0.0000000000E00	2.4612561678E-02	8.3280524510E-02	8.3849280596E-02	?	8.5785821728E-02	8.5778249996E-02	8.5187891095E-02	7.1120556985E-01	7.1119972082E-01	7.1090451791E-01	7.1090835862E-01	?	7.1091957858E-01	7.1091953073E-01	7.1091137165E-01	3.2448693279E-01	3.2627404205E-01	3.5210048019E-01	?	3.4886645731E-01	7.0568626378E-01	7.0566719131E-01	7.0452208733E-01	?	7.0449429945E-01	7.0205424489E-01	6.8030191419E-01	8.4371222620E09	5.7709901621E-01	7.1705336548E-01	2.5221872330E09	7.1707023972E-01	7.1456590988E-01	7.1707093137E-01	7.1456694020E-01	6.9982602782E-01	
Caplet Vola Monte-Carlo Single-Curve	1.5486553310E00	1.6809381129E00	2.4612561678E-02	0.0000000000E00	8.6190164781E-02	8.7552589210E-02	?	9.1909406699E-02	9.1892408307E-02	9.1690547856E-02	7.1643985863E-01	7.1643400960E-01	7.1613880669E-01	7.1614264740E-01	?	7.1615386736E-01	7.1615381951E-01	7.1614566043E-01	3.0436491151E-01	3.0599992204E-01	3.3566179643E-01	?	3.3219821825E-01	7.1218892054E-01	7.1216984807E-01	7.1102474409E-01	?	7.1099695622E-01	7.0728853367E-01	6.8015196191E-01	8.4371222620E09	5.9088432347E-01	7.2228765426E-01	2.5221872330E09	7.2230452850E-01	7.1980019867E-01	7.2230522015E-01	7.1980122898E-01	7.0632868458E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.6317859032E00	1.7640686852E00	8.3280524510E-02	8.6190164781E-02	0.0000000000E00	4.8866818466E-03	?	2.3754706615E-02	2.3749209045E-02	3.5285060470E-02	6.3808750330E-01	6.3809301297E-01	6.3775733732E-01	6.3776322585E-01	?	6.3777936121E-01	6.3777928461E-01	6.3776105329E-01	2.8029950498E-01	2.8208661424E-01	3.0791305238E-01	?	3.0467902950E-01	6.3027176907E-01	6.3026211252E-01	6.2873612712E-01	?	6.2866305255E-01	6.2907234907E-01	5.9702138968E-01	8.4371222620E09	5.9109429528E-01	6.4400966286E-01	2.5221872330E09	6.4400246442E-01	6.4161934846E-01	6.4400441429E-01	6.4163484907E-01	6.2200939527E-01	
Caplet Vola Analytic Multi-Curve Ju	1.6323546593E00	1.7646374412E00	8.3849280596E-02	8.7552589210E-02	4.8866818466E-03	0.0000000000E00	?	1.8877848753E-02	1.8882800103E-02	3.1242104301E-02	6.3502429374E-01	6.3502980341E-01	6.3469412777E-01	6.3470001629E-01	?	6.3471615166E-01	6.3471607506E-01	6.3469784374E-01	2.7570115941E-01	2.7748826866E-01	3.0331470681E-01	?	3.0008068392E-01	6.2803311743E-01	6.2802346087E-01	6.2649747548E-01	?	6.2642440091E-01	6.2600913952E-01	5.9645263360E-01	8.4371222620E09	5.9268816474E-01	6.4094645330E-01	2.5221872330E09	6.4093925487E-01	6.3855613890E-01	6.4094120473E-01	6.3857163952E-01	6.1977074363E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.6342912004E00	1.7665739824E00	8.5785821728E-02	9.1909406699E-02	2.3754706615E-02	1.8877848753E-02	?	0.0000000000E00	1.4546261895E-04	2.3923524047E-02	6.2738905213E-01	6.2738320310E-01	6.2708800019E-01	6.2709184090E-01	?	6.2710306086E-01	6.2710301301E-01	6.2709485393E-01	2.6298069800E-01	2.6476780726E-01	2.9059424540E-01	?	2.8736022252E-01	6.2150010097E-01	6.2149044441E-01	6.1996445902E-01	?	6.1989138445E-01	6.1823772717E-01	5.9451609247E-01	8.4371222620E09	6.0394810287E-01	6.3323684776E-01	2.5221872330E09	6.3325372200E-01	6.3074939216E-01	6.3325441365E-01	6.3075042248E-01	6.1441927789E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.6342836287E00	1.7665664106E00	8.5778249996E-02	9.1892408307E-02	2.3749209045E-02	1.8882800103E-02	?	1.4546261895E-04	0.0000000000E00	2.3928475398E-02	6.2741689216E-01	6.2741104313E-01	6.2711584022E-01	6.2711968093E-01	?	6.2713090089E-01	6.2713085304E-01	6.2712269396E-01	2.6308803495E-01	2.6487514420E-01	2.9070158235E-01	?	2.8746755946E-01	6.2152794100E-01	6.2151828444E-01	6.1999229905E-01	?	6.1991922448E-01	6.1826556720E-01	5.9452366420E-01	8.4371222620E09	6.0384727247E-01	6.3326468779E-01	2.5221872330E09	6.3328156203E-01	6.3077723220E-01	6.3328225368E-01	6.3077826251E-01	6.1443627628E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.6297578731E00	1.7620406550E00	8.5187891095E-02	9.1690547856E-02	3.5285060470E-02	3.1242104301E-02	?	2.3923524047E-02	2.3928475398E-02	0.0000000000E00	6.3615410898E-01	6.3615961865E-01	6.3582394300E-01	6.3582983153E-01	?	6.3584596689E-01	6.3584589029E-01	6.3582765897E-01	2.5743111867E-01	2.5921822793E-01	2.8504466607E-01	?	2.8181064319E-01	6.2810991705E-01	6.2813177302E-01	6.2642030904E-01	?	6.2629316614E-01	6.2713895475E-01	5.9904941982E-01	8.4371222620E09	6.0531312412E-01	6.4207626854E-01	2.5221872330E09	6.4206907010E-01	6.3968595414E-01	6.4207101997E-01	6.3970145475E-01	6.1801536089E-01	
