Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
224.88	238.11	75.03	75.00	66.16	66.08	?	65.84	65.84	66.36	0.05	0.05	0.07	0.07	?	0.07	0.07	0.07	76.50	76.99	67.22	67.32	67.25	0.15	0.15	0.20	0.20	0.20	1.00	2.00	99.75	100.25	-0.50	99.75	-0.50	-0.22	-0.50	-0.22	0.50	
204.12	216.13	75.98	76.68	67.55	67.38	0.00	66.84	66.84	66.91	0.07	0.07	0.10	0.10	0.00	0.10	0.10	0.10	71.54	71.85	62.97	63.20	63.32	0.44	0.44	0.57	0.57	0.57	1.00	6.00	99.50	100.50	-0.50	99.50	-0.51	-0.24	-0.51	-0.24	1.00	
190.21	201.39	76.21	76.78	68.31	68.04	15.45	67.23	67.24	67.81	0.09	0.09	0.12	0.12	0.03	0.12	0.12	0.12	62.55	62.61	55.52	55.86	56.02	0.73	0.73	0.89	0.90	0.90	1.00	10.00	99.25	100.76	-0.50	99.25	-0.50	-0.25	-0.50	-0.25	1.50	
180.88	191.52	75.89	75.34	68.59	68.22	16.53	67.19	67.19	68.30	0.10	0.10	0.14	0.14	0.04	0.14	0.14	0.14	53.99	53.82	48.53	48.99	49.11	0.98	0.98	1.17	1.18	1.18	1.00	14.00	99.00	101.01	-0.49	99.00	-0.49	-0.25	-0.49	-0.26	2.00	
174.62	184.90	75.19	74.39	68.50	68.06	15.46	66.83	66.84	67.13	0.12	0.12	0.16	0.16	0.04	0.15	0.15	0.15	46.79	46.53	42.67	43.34	43.35	1.21	1.20	1.39	1.41	1.41	1.00	18.00	98.76	101.26	-0.48	98.76	-0.48	-0.26	-0.48	-0.25	2.50	
170.43	180.46	74.22	73.23	68.13	67.64	13.68	66.27	66.27	67.40	0.13	0.13	0.17	0.17	0.04	0.17	0.17	0.17	44.03	43.81	40.22	?	40.80	1.29	1.29	1.49	?	1.51	1.00	22.00	98.53	101.51	-0.46	98.53	-0.46	-0.24	-0.46	-0.24	3.00	
167.62	177.48	73.07	71.62	67.55	67.04	11.71	65.56	65.57	65.63	0.15	0.14	0.19	0.19	0.03	0.18	0.18	0.18	42.33	42.13	38.53	51.80	38.97	1.32	1.31	1.53	2.04	1.54	1.00	26.00	98.32	101.74	-0.44	98.32	-0.44	-0.23	-0.43	-0.23	3.50	
165.74	175.49	71.81	70.90	66.83	66.32	9.77	64.76	64.77	64.42	0.16	0.16	0.20	0.20	0.03	0.20	0.20	0.20	39.71	39.50	36.19	30.66	36.54	1.36	1.35	1.58	1.34	1.59	1.00	30.00	98.12	101.96	-0.40	98.13	-0.40	-0.21	-0.40	-0.20	4.00	
164.48	174.15	70.49	67.60	65.99	65.48	8.12	63.88	63.89	63.12	0.18	0.18	0.22	0.22	0.03	0.22	0.22	0.22	36.84	36.61	33.72	28.45	34.04	1.41	1.40	1.63	1.38	1.64	1.00	34.00	97.96	102.16	-0.36	97.97	-0.36	-0.16	-0.35	-0.15	4.50	
193.94	205.35	69.16	66.13	65.05	64.57	6.76	62.93	62.95	61.24	0.20	0.19	0.25	0.24	0.03	0.24	0.24	0.23	72.22	70.47	64.81	65.52	64.52	0.30	0.29	0.37	0.37	0.36	3.50	2.00	97.83	102.34	-0.31	97.85	-0.31	-0.12	-0.30	-0.10	5.00	
177.77	188.23	67.83	65.50	64.11	63.66	5.45	62.02	62.03	60.03	0.22	0.21	0.26	0.26	0.02	0.25	0.25	0.25	65.24	63.54	58.88	68.64	58.04	0.94	0.92	1.11	1.28	1.10	3.50	6.00	97.76	102.50	-0.28	97.78	-0.28	-0.09	-0.27	-0.07	5.50	
166.93	176.75	66.52	63.71	63.18	62.77	4.23	61.14	61.16	58.78	0.23	0.22	0.27	0.27	0.02	0.27	0.27	0.26	56.21	54.88	51.25	60.10	50.65	1.51	1.48	1.73	2.00	1.71	3.50	10.00	97.75	102.63	-0.25	97.82	-0.26	-0.07	-0.24	-0.05	6.00	
159.67	169.06	65.25	61.94	62.27	61.90	3.14	60.32	60.33	58.04	0.24	0.23	0.28	0.28	0.02	0.28	0.28	0.27	48.54	47.59	44.81	?	44.53	2.01	1.97	2.24	?	2.23	3.50	14.00	97.91	102.75	-0.22	98.19	-0.23	-0.06	-0.21	-0.03	6.50	
154.80	163.91	64.03	61.79	61.39	61.05	2.20	59.54	59.56	57.75	0.25	0.25	0.29	0.29	0.01	0.29	0.29	0.28	46.75	45.88	42.95	?	42.49	2.10	2.06	2.36	?	2.33	3.50	18.00	98.54	102.86	-0.19	100.34	-0.20	-0.04	-0.18	-0.02	7.00	
151.54	160.45	62.86	61.28	60.53	60.24	1.45	58.80	58.82	57.72	0.27	0.26	0.30	0.30	0.01	0.30	0.30	0.29	44.31	43.41	40.52	40.88	39.92	2.17	2.13	2.45	2.47	2.42	3.50	22.00	101.55	102.95	-0.16	128.03	-0.16	-0.01	-0.15	-0.00	7.50	
149.35	158.13	61.74	60.25	59.70	59.44	0.89	58.10	58.12	57.27	0.28	0.27	0.31	0.31	0.01	0.31	0.31	0.30	41.01	40.08	37.52	27.00	36.88	2.27	2.22	2.57	1.87	2.52	3.50	26.00	170.69	103.03	-0.13	435.90	-0.13	0.00	-0.12	0.01	8.00	
147.88	156.58	60.67	59.64	58.89	58.67	0.52	57.41	57.43	55.91	0.29	0.29	0.32	0.32	0.00	0.32	0.32	0.31	37.59	36.68	34.52	24.64	33.93	2.37	2.32	2.68	1.93	2.64	3.50	30.00	4413.34	103.09	-0.10	10476.44	-0.11	0.01	-0.09	0.03	8.50	
169.84	179.83	59.65	59.15	58.09	57.90	0.28	56.74	56.76	55.11	0.30	0.30	0.33	0.33	0.00	0.33	0.33	0.32	65.47	62.51	60.23	61.64	58.01	0.46	0.45	0.53	0.54	0.51	6.00	2.00	99999.00	103.14	-0.07	99999.00	-0.08	0.03	-0.07	0.05	9.00	
157.25	166.50	58.69	57.96	57.30	57.14	0.16	56.05	56.07	54.85	0.32	0.31	0.34	0.34	0.00	0.34	0.34	0.33	58.47	56.37	54.20	99.41	52.80	1.36	1.32	1.51	2.37	1.47	6.00	6.00	99999.00	103.18	-0.04	99999.00	-0.05	0.06	-0.03	0.07	9.50	
148.81	157.56	57.77	56.81	56.52	56.37	0.09	55.35	55.36	53.92	0.33	0.33	0.36	0.36	0.00	0.35	0.35	0.34	51.62	50.22	48.23	?	47.14	2.06	2.01	2.25	?	2.20	6.00	10.00	99999.00	103.19	-0.00	99999.00	-0.02	0.09	0.00	0.10	10.00	
