	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	9.0023865436E-02	7.8210799709E-01	8.0909443602E-01	8.1992377669E-01	8.2292862919E-01	?	8.4964625558E-01	8.4964625558E-01	8.5677123770E-01	1.5284859761E00	1.5285423050E00	1.5280810660E00	1.5280867551E00	?	1.5281477657E00	1.5281477657E00	1.5281852414E00	9.0407634292E-01	9.1847840108E-01	9.6087928150E-01	?	9.6776908082E-01	1.5149615191E00	1.5153053937E00	1.5127354708E00	?	1.5130346565E00	1.4754760927E00	1.4030554619E00	?	5.5289974248E-01	1.5307976360E00	?	1.5308181304E00	1.5293161891E00	1.5306988578E00	1.5291997655E00	1.4425414327E00	
Target (LIBOR)	9.0023865436E-02	0.0000000000E00	8.7193561695E-01	8.9895928698E-01	9.0970439899E-01	9.1271061034E-01	?	9.3949058167E-01	9.3949058167E-01	9.4660632670E-01	1.6185098230E00	1.6185661533E00	1.6181049111E00	1.6181106001E00	?	1.6181716117E00	1.6181716117E00	1.6182090891E00	9.9369431631E-01	1.0081555222E00	1.0505913315E00	?	1.0575230420E00	1.6049834656E00	1.6053274628E00	1.6027569598E00	?	1.6030563091E00	1.5654441479E00	1.4928898567E00	?	6.3895124280E-01	1.6208212536E00	?	1.6208417459E00	1.6193398394E00	1.6207224754E00	1.6192234173E00	1.5324607691E00	
Caplet Vola Analytic Single-Curve	7.8210799709E-01	8.7193561695E-01	0.0000000000E00	3.8025521770E-02	4.2409914057E-02	4.5708638010E-02	?	7.0076739462E-02	7.0076739462E-02	7.6796121988E-02	7.5023830198E-01	7.5029563777E-01	7.4982983086E-01	7.4983556773E-01	?	7.4989742621E-01	7.4989742621E-01	7.4993432849E-01	1.6973010236E-01	1.7658705515E-01	2.0979797226E-01	?	2.1337583045E-01	7.3635114118E-01	7.3669700297E-01	7.3407876369E-01	?	7.3437731182E-01	6.9702298724E-01	6.2330861723E-01	?	2.9343559974E-01	7.5248475773E-01	?	7.5250280537E-01	7.5100744320E-01	7.5238396041E-01	7.5089135363E-01	6.6404499973E-01	
Caplet Vola Monte-Carlo Single-Curve	8.0909443602E-01	8.9895928698E-01	3.8025521770E-02	0.0000000000E00	3.9990296105E-02	4.1313443791E-02	?	5.3147866424E-02	5.3147866424E-02	5.6526214863E-02	7.2274837917E-01	7.2280383098E-01	7.2234166281E-01	7.2234735666E-01	?	7.2240873095E-01	7.2240873095E-01	7.2244492535E-01	1.4824336884E-01	1.5294111109E-01	1.8552845135E-01	?	1.8741046410E-01	7.0901422603E-01	7.0935352179E-01	7.0675996978E-01	?	7.0704981986E-01	6.6975334371E-01	5.9732805097E-01	?	3.2071108030E-01	7.2498572982E-01	?	7.2500558966E-01	7.2350900134E-01	7.2488851935E-01	7.2339451730E-01	6.3702305795E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	8.1992377669E-01	9.0970439899E-01	4.2409914057E-02	3.9990296105E-02	0.0000000000E00	4.0184095447E-03	?	3.2988635864E-02	3.2988635864E-02	4.5607675507E-02	7.1379829876E-01	7.1385642390E-01	7.1338874071E-01	7.1339442367E-01	?	7.1345695425E-01	7.1345695425E-01	7.1349481530E-01	1.4423435761E-01	1.4963055422E-01	1.7788753529E-01	?	1.8111681381E-01	6.9983302587E-01	7.0018222295E-01	6.9755131869E-01	?	6.9785390121E-01	6.5964501829E-01	5.8701664830E-01	?	3.2007950251E-01	7.1599335757E-01	?	7.1601193118E-01	7.1452696246E-01	7.1589117925E-01	7.1440894081E-01	6.2618426142E-01	
Caplet Vola Analytic Multi-Curve Ju	8.2292862919E-01	9.1271061034E-01	4.5708638010E-02	4.1313443791E-02	4.0184095447E-03	0.0000000000E00	?	2.9882634622E-02	2.9882634622E-02	4.3971003188E-02	7.1080109229E-01	7.1085926477E-01	7.1039156024E-01	7.1039722975E-01	?	7.1045980322E-01	7.1045980322E-01	7.1049777483E-01	1.4184311459E-01	1.4699881832E-01	1.7506550367E-01	?	1.7815535995E-01	6.9684677603E-01	6.9719542926E-01	6.9456607451E-01	?	6.9486802944E-01	6.5655838944E-01	5.8420332684E-01	?	3.2255844996E-01	7.1299254397E-01	?	7.1301118439E-01	7.1152665965E-01	7.1289028806E-01	7.1140846329E-01	6.2308491212E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	8.4964625558E-01	9.3949058167E-01	7.0076739462E-02	5.3147866424E-02	3.2988635864E-02	2.9882634622E-02	?	0.0000000000E00	0.0000000000E00	2.8915393586E-02	6.8299615188E-01	6.8305433699E-01	6.8258706780E-01	6.8259274390E-01	?	6.8265515357E-01	6.8265515357E-01	6.8269334877E-01	1.2755900033E-01	1.2982921896E-01	1.5412445735E-01	?	1.5596369689E-01	6.6910815594E-01	6.6945457184E-01	6.6683509558E-01	?	6.6713263890E-01	6.2939408225E-01	5.5702428996E-01	?	3.5173682073E-01	6.8523084066E-01	?	6.8524972746E-01	6.8376029055E-01	6.8512859712E-01	6.8364186837E-01	5.9634403106E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	8.4964625558E-01	9.3949058167E-01	7.0076739462E-02	5.3147866424E-02	3.2988635864E-02	2.9882634622E-02	?	0.0000000000E00	0.0000000000E00	2.8915393586E-02	6.8299615188E-01	6.8305433699E-01	6.8258706780E-01	6.8259274390E-01	?	6.8265515357E-01	6.8265515357E-01	6.8269334877E-01	1.2755900033E-01	1.2982921896E-01	1.5412445735E-01	?	1.5596369689E-01	6.6910815594E-01	6.6945457184E-01	6.6683509558E-01	?	6.6713263890E-01	6.2939408225E-01	5.5702428996E-01	?	3.5173682073E-01	6.8523084066E-01	?	6.8524972746E-01	6.8376029055E-01	6.8512859712E-01	6.8364186837E-01	5.9634403106E-01	
Caplet Vola Monte-Carlo Multi-Curve	8.5677123770E-01	9.4660632670E-01	7.6796121988E-02	5.6526214863E-02	4.5607675507E-02	4.3971003188E-02	?	2.8915393586E-02	2.8915393586E-02	0.0000000000E00	6.7619635166E-01	6.7625328915E-01	6.7578842321E-01	6.7579410949E-01	?	6.7585589228E-01	6.7585589228E-01	6.7589159527E-01	1.2581384463E-01	1.2674933166E-01	1.4948854431E-01	?	1.5185216029E-01	6.6223226997E-01	6.6258148924E-01	6.5995551590E-01	?	6.6025977279E-01	6.2242442116E-01	5.4990657121E-01	?	3.5747451945E-01	6.7838687656E-01	?	6.7840368047E-01	6.7691443887E-01	6.7828679242E-01	6.7680072696E-01	5.8931105812E-01	
