	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.5326532986E-02	4.1501585779E-01	4.3020342357E-01	5.4850379460E-01	5.4866942782E-01	5.4956260167E-01	5.5840959139E-01	5.5840959139E-01	5.5444468656E-01	9.3809054230E-01	9.3823212403E-01	9.3670158984E-01	9.3676912276E-01	9.3685751813E-01	9.3701480879E-01	9.3701480879E-01	9.3678689544E-01	5.1117958812E-01	5.3403146679E-01	6.2559822457E-01	6.2828945020E-01	6.2619348495E-01	9.1636205195E-01	9.1760224031E-01	9.0707068760E-01	9.0711402519E-01	9.0702692376E-01	9.3055106076E-01	8.7404628749E-01	1.4241691667E96	2.4650557261E-01	9.2581373866E-01	5.0946984731E88	9.2558211234E-01	9.1050527290E-01	9.2555106076E-01	9.1055106076E-01	9.1779483522E-01	
Target (LIBOR)	5.5326532986E-02	0.0000000000E00	4.6716098033E-01	4.8234854611E-01	6.0119533434E-01	6.0204731317E-01	6.0321817802E-01	6.1238127105E-01	6.1238127105E-01	6.0810026292E-01	9.9341707529E-01	9.9355865701E-01	9.9202812282E-01	9.9209565574E-01	9.9218405112E-01	9.9234134178E-01	9.9234134178E-01	9.9211342843E-01	5.6463946430E-01	5.8749134297E-01	6.7905810075E-01	6.8174932638E-01	6.7965336114E-01	9.7152645402E-01	9.7276664238E-01	9.6223508967E-01	9.6227842727E-01	9.6219132583E-01	9.8587759374E-01	9.2663724558E-01	1.4241691667E96	2.1705235209E-01	9.8114027164E-01	5.0946984731E88	9.8090864532E-01	9.6583180588E-01	9.8087759374E-01	9.6587759374E-01	9.7295923729E-01	
Caplet Vola Analytic Single-Curve	4.1501585779E-01	4.6716098033E-01	0.0000000000E00	6.9479986052E-02	1.3565208669E-01	1.3742902239E-01	1.4219039974E-01	1.7825182731E-01	1.7825182731E-01	1.4354755296E-01	6.0487058108E-01	6.0511963270E-01	6.0207977099E-01	6.0250949447E-01	6.0299677084E-01	6.0310292631E-01	6.0310292631E-01	6.0257862502E-01	2.0292017070E-01	2.2577204938E-01	3.1733880716E-01	3.2477646268E-01	3.1793406754E-01	5.9877425056E-01	5.9906549004E-01	5.9601024999E-01	5.9601704921E-01	5.9519871609E-01	5.9055847768E-01	5.8477262716E-01	1.4241691667E96	5.2110460585E-01	5.9414077441E-01	5.0946984731E88	5.9369486507E-01	5.7878231294E-01	5.9358980632E-01	5.7858980632E-01	5.5555847768E-01	
Caplet Vola Monte-Carlo Single-Curve	4.3020342357E-01	4.8234854611E-01	6.9479986052E-02	0.0000000000E00	1.2478092046E-01	1.5426295939E-01	1.6786698313E-01	2.1204974295E-01	2.1204974295E-01	1.8064453850E-01	5.9021792274E-01	5.9013528892E-01	5.8663983315E-01	5.8730877038E-01	5.8836802029E-01	5.8805594180E-01	5.8805594180E-01	5.8690336720E-01	1.8301229060E-01	2.0135241889E-01	2.9969043961E-01	3.1713273682E-01	2.8633619357E-01	5.6146418976E-01	5.6099111220E-01	5.5413150731E-01	5.5417051974E-01	5.5294351895E-01	5.6019890805E-01	5.4639979313E-01	1.4241691667E96	5.3629217164E-01	5.7920135579E-01	5.0946984731E88	5.8020395615E-01	5.6377212403E-01	5.7940298411E-01	5.6440298411E-01	5.3019890805E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	5.4850379460E-01	6.0119533434E-01	1.3565208669E-01	1.2478092046E-01	0.0000000000E00	5.6445608899E-02	6.9219667690E-02	1.1489071436E-01	1.1489071436E-01	8.4372821164E-02	5.2876003063E-01	5.2912298510E-01	5.2550332117E-01	5.2608072799E-01	5.2683753757E-01	5.2676079074E-01	5.2676079074E-01	5.2609342041E-01	2.1163180440E-01	1.8704226055E-01	2.4463157477E-01	2.5754968430E-01	2.2997944079E-01	5.2462372735E-01	5.2517979712E-01	5.2098142578E-01	5.2100621454E-01	5.2010008610E-01	4.9781347278E-01	5.1207535325E-01	1.4241691667E96	6.5459254266E-01	5.1859824396E-01	5.0946984731E88	5.1814790075E-01	5.0318168750E-01	5.1781347278E-01	5.0281347278E-01	4.6152182645E-01	
Caplet Vola Analytic Multi-Curve Ju	5.4866942782E-01	6.0204731317E-01	1.3742902239E-01	1.5426295939E-01	5.6445608899E-02	0.0000000000E00	1.4122286467E-02	5.8445105460E-02	5.8445105460E-02	7.7118994371E-02	4.8029946703E-01	4.8056669682E-01	4.7725197981E-01	4.7776612586E-01	4.7838189030E-01	4.7840912163E-01	4.7840912163E-01	4.7777364086E-01	2.1248378322E-01	1.8789423938E-01	1.9278493233E-01	2.0570304187E-01	1.8792081277E-01	4.7140383103E-01	4.7195990080E-01	4.6776152945E-01	4.6778631822E-01	4.6688018977E-01	4.6054522291E-01	4.5885545692E-01	1.4241691667E96	6.5475817588E-01	4.6977154529E-01	5.0946984731E88	4.6931229850E-01	4.5434752880E-01	4.6917801644E-01	4.5417801644E-01	4.2610194533E-01	
Caplet Vola Analytic Multi-Curve Ho	5.4956260167E-01	6.0321817802E-01	1.4219039974E-01	1.6786698313E-01	6.9219667690E-02	1.4122286467E-02	0.0000000000E00	4.5966011766E-02	4.5966011766E-02	9.0125154928E-02	4.6878220277E-01	4.6904943256E-01	4.6573471555E-01	4.6624886160E-01	4.6686462603E-01	4.6689185737E-01	4.6689185737E-01	4.6625637660E-01	2.1365464808E-01	1.8906510423E-01	1.8113215045E-01	1.9405025999E-01	1.7726345273E-01	4.5966440727E-01	4.6022047704E-01	4.5626439552E-01	4.5627119474E-01	4.5545286162E-01	4.4988786286E-01	4.4711603316E-01	1.4241691667E96	6.5503446941E-01	4.5825428103E-01	5.0946984731E88	4.5779503423E-01	4.4283026454E-01	4.5766075218E-01	4.4266075218E-01	4.1502677269E-01	
Caplet Vola Analytic Multi-Curve Drift-Freeze	5.5840959139E-01	6.1238127105E-01	1.7825182731E-01	2.1204974295E-01	1.1489071436E-01	5.8445105460E-02	4.5966011766E-02	0.0000000000E00	0.0000000000E00	1.3551161255E-01	4.2662382867E-01	4.2687288030E-01	4.2383301858E-01	4.2426274207E-01	4.2475001843E-01	4.2485617391E-01	4.2485617391E-01	4.2433187261E-01	2.2250163781E-01	2.2065744221E-01	1.4143930154E-01	1.4902874210E-01	1.6020419064E-01	4.2164044914E-01	4.2193168862E-01	4.1887644857E-01	4.1888324779E-01	4.1806491467E-01	4.1465897206E-01	4.0763882574E-01	1.4241691667E96	6.5918947278E-01	4.1588894710E-01	5.0946984731E88	4.1544303776E-01	4.0053556054E-01	4.1533797901E-01	4.0033797901E-01	3.8035194041E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	5.5840959139E-01	6.1238127105E-01	1.7825182731E-01	2.1204974295E-01	1.1489071436E-01	5.8445105460E-02	4.5966011766E-02	0.0000000000E00	0.0000000000E00	1.3551161255E-01	4.2662382867E-01	4.2687288030E-01	4.2383301858E-01	4.2426274207E-01	4.2475001843E-01	4.2485617391E-01	4.2485617391E-01	4.2433187261E-01	2.2250163781E-01	2.2065744221E-01	1.4143930154E-01	1.4902874210E-01	1.6020419064E-01	4.2164044914E-01	4.2193168862E-01	4.1887644857E-01	4.1888324779E-01	4.1806491467E-01	4.1465897206E-01	4.0763882574E-01	1.4241691667E96	6.5918947278E-01	4.1588894710E-01	5.0946984731E88	4.1544303776E-01	4.0053556054E-01	4.1533797901E-01	4.0033797901E-01	3.8035194041E-01	
Caplet Vola Monte-Carlo Multi-Curve	5.5444468656E-01	6.0810026292E-01	1.4354755296E-01	1.8064453850E-01	8.4372821164E-02	7.7118994371E-02	9.0125154928E-02	1.3551161255E-01	1.3551161255E-01	0.0000000000E00	5.2233770154E-01	5.2244387285E-01	5.1866437830E-01	5.1934644767E-01	5.2059186182E-01	5.2011942165E-01	5.2011942165E-01	5.1842624585E-01	2.1853673297E-01	1.9394718913E-01	2.1050820867E-01	2.2795050588E-01	1.9715396263E-01	5.1553966993E-01	5.1621454197E-01	5.1139117972E-01	5.1143019215E-01	5.1020319137E-01	4.6118448033E-01	5.0365946555E-01	1.4241691667E96	6.5663021340E-01	5.1178638449E-01	5.0946984731E88	5.1128858699E-01	4.9475109118E-01	5.1153777408E-01	4.9653777408E-01	4.2764659698E-01	
