	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	4.4066718013E-02	8.7197378724E-03	1.5921665425E-02	6.0514138662E-01	5.2909883440E-01	8.6984408501E-01	4.4560470412E-02	4.4560470412E-02	1.5033741722E-01	2.5832907670E00	2.5832392144E00	2.5683093154E00	2.5703100640E00	2.5838444349E00	2.5784676625E00	2.5784676625E00	2.5773942275E00	7.9192043754E-01	7.9860201264E-01	8.2209746457E-01	8.3827635125E-01	8.1403622205E-01	2.4796034157E00	2.4804286357E00	2.4567863062E00	2.4593848224E00	2.4546696271E00	2.0054266043E00	1.5014567980E00	1.5063543838E00	1.1845407129E00	2.4553530403E00	1.5063906311E00	2.4556055669E00	2.4210655151E00	2.4555382761E00	2.4208442391E00	1.7406487295E00	
Target (LIBOR)	4.4066718013E-02	0.0000000000E00	4.6370550683E-02	5.0038906045E-02	5.7111564740E-01	4.9586766491E-01	9.0055596376E-01	4.7366005614E-03	4.7366005614E-03	1.2397921111E-01	2.5838434864E00	2.5837936358E00	2.5693550879E00	2.5712901695E00	2.5843788593E00	2.5791797397E00	2.5791797397E00	2.5781416632E00	8.2371581259E-01	8.3033816237E-01	8.5368064852E-01	8.6988171997E-01	8.4528794788E-01	2.4835108613E00	2.4843099897E00	2.4614097158E00	2.4639283597E00	2.4593567958E00	2.0213117862E00	1.5227253054E00	1.4880209516E00	1.1613618152E00	2.4600257708E00	1.4880572165E00	2.4602703653E00	2.4268026881E00	2.4602053343E00	2.4265890087E00	1.7604504238E00	
Caplet Vola Analytic Single-Curve	8.7197378724E-03	4.6370550683E-02	0.0000000000E00	1.7395351334E-02	6.1033145260E-01	5.3582151189E-01	8.7328506394E-01	4.5352250507E-02	4.5352250507E-02	1.4226615019E-01	2.5789273872E00	2.5788759382E00	2.5639714541E00	2.5659690831E00	2.5794800535E00	2.5741114347E00	2.5741114347E00	2.5730399511E00	7.9440420542E-01	8.0108929342E-01	8.2460183680E-01	8.4080319545E-01	8.1650378706E-01	2.4753843032E00	2.4762083755E00	2.4526003761E00	2.4551939154E00	2.4504888474E00	2.0021424612E00	1.5044363106E00	1.5036127153E00	1.1830862952E00	2.4511649201E00	1.5036489969E00	2.4514171258E00	2.4169246809E00	2.4513497850E00	2.4167031276E00	1.7365548644E00	
Caplet Vola Monte-Carlo Single-Curve	1.5921665425E-02	5.0038906045E-02	1.7395351334E-02	0.0000000000E00	6.0403414781E-01	5.2882435508E-01	8.5761306889E-01	5.0671225784E-02	5.0671225784E-02	1.4100088111E-01	2.5703802781E00	2.5703291880E00	2.5555194711E00	2.5575049779E00	2.5709293075E00	2.5655929259E00	2.5655929259E00	2.5645285019E00	7.9318577522E-01	7.9985397186E-01	8.2330415996E-01	8.3945629408E-01	8.1524345192E-01	2.4681800938E00	2.4689280071E00	2.4462745310E00	2.4487279417E00	2.4440423505E00	1.9971074997E00	1.5038768849E00	1.5050701999E00	1.1871379542E00	2.4433381110E00	1.5051064352E00	2.4435889624E00	2.4092878129E00	2.4435217309E00	2.4090664123E00	1.7372403251E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	6.0514138662E-01	5.7111564740E-01	6.1033145260E-01	6.0403414781E-01	0.0000000000E00	9.4441307870E-02	9.8381909442E-01	5.7309416314E-01	5.7309416314E-01	5.2199093927E-01	2.3170196735E00	2.3170016723E00	2.3059788594E00	2.3073950437E00	2.3180494086E00	2.3139239258E00	2.3139239258E00	2.3132031751E00	1.1009210533E00	1.1062675674E00	1.1254443626E00	1.1461279666E00	1.1161116939E00	2.2648015513E00	2.2650900868E00	2.2548761921E00	2.2565127631E00	2.2531408085E00	1.9369950756E00	1.6755637418E00	1.1082871920E00	1.0056412743E00	2.2454322143E00	1.1083242243E00	2.2455691003E00	2.2256460728E00	2.2455493042E00	2.2254942845E00	1.6658106557E00	
Caplet Vola Analytic Multi-Curve Ju	5.2909883440E-01	4.9586766491E-01	5.3582151189E-01	5.2882435508E-01	9.4441307870E-02	0.0000000000E00	9.1048885252E-01	4.9826837381E-01	4.9826837381E-01	4.4759961937E-01	2.2990479952E00	2.2990288590E00	2.2872322108E00	2.2887480438E00	2.3001529130E00	2.2957337084E00	2.2957337084E00	2.2949629609E00	1.0358229000E00	1.0433630192E00	1.0551819941E00	1.0869647156E00	1.0436588996E00	2.2394531185E00	2.2397598782E00	2.2288888107E00	2.2306302964E00	2.2270429509E00	1.8942193238E00	1.6234824712E00	1.1623834396E00	1.0344186086E00	2.2225130758E00	1.1624205327E00	2.2226592824E00	2.2013944115E00	2.2226377492E00	2.2012300889E00	1.6096197202E00	
Caplet Vola Analytic Multi-Curve Ho	8.6984408501E-01	9.0055596376E-01	8.7328506394E-01	8.5761306889E-01	9.8381909442E-01	9.1048885252E-01	0.0000000000E00	9.0126746354E-01	9.0126746354E-01	8.7319430069E-01	2.7507564815E00	2.7506682579E00	2.7306790453E00	2.7332519044E00	2.7514402888E00	2.7442451263E00	2.7442451263E00	2.7426127523E00	1.0435790626E00	1.0376525193E00	1.0889058621E00	1.0821392338E00	1.0829630587E00	2.6124763372E00	2.6135180019E00	2.5820175823E00	2.5854776146E00	2.5788399792E00	1.9791533655E00	1.2177427971E00	1.5929968852E00	1.5907371445E00	2.5727340723E00	1.5930337270E00	2.5731977628E00	2.5254379597E00	2.5730348311E00	2.5255746723E00	1.6508220755E00	
Caplet Vola Analytic Multi-Curve Drift-Freeze	4.4560470412E-02	4.7366005614E-03	4.5352250507E-02	5.0671225784E-02	5.7309416314E-01	4.9826837381E-01	9.0126746354E-01	0.0000000000E00	0.0000000000E00	1.2208357074E-01	2.5828839099E00	2.5828340779E00	2.5683999727E00	2.5703345193E00	2.5834191057E00	2.5782213721E00	2.5782213721E00	2.5771836413E00	8.2557890320E-01	8.3220492240E-01	8.5556384180E-01	8.7178417300E-01	8.4714267208E-01	2.4825754209E00	2.4833743559E00	2.4604799427E00	2.4629976826E00	2.4584279951E00	2.0205532248E00	1.5250810456E00	1.4898150217E00	1.1599753045E00	2.4590954349E00	1.4898512623E00	2.4593399765E00	2.4258803464E00	2.4592749305E00	2.4256665930E00	1.7586224274E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	4.4560470412E-02	4.7366005614E-03	4.5352250507E-02	5.0671225784E-02	5.7309416314E-01	4.9826837381E-01	9.0126746354E-01	0.0000000000E00	0.0000000000E00	1.2208357074E-01	2.5828839099E00	2.5828340779E00	2.5683999727E00	2.5703345193E00	2.5834191057E00	2.5782213721E00	2.5782213721E00	2.5771836413E00	8.2557890320E-01	8.3220492240E-01	8.5556384180E-01	8.7178417300E-01	8.4714267208E-01	2.4825754209E00	2.4833743559E00	2.4604799427E00	2.4629976826E00	2.4584279951E00	2.0205532248E00	1.5250810456E00	1.4898150217E00	1.1599753045E00	2.4590954349E00	1.4898512623E00	2.4593399765E00	2.4258803464E00	2.4592749305E00	2.4256665930E00	1.7586224274E00	
Caplet Vola Monte-Carlo Multi-Curve	1.5033741722E-01	1.2397921111E-01	1.4226615019E-01	1.4100088111E-01	5.2199093927E-01	4.4759961937E-01	8.7319430069E-01	1.2208357074E-01	1.2208357074E-01	0.0000000000E00	2.5229248451E00	2.5228856195E00	2.5073668695E00	2.5094865900E00	2.5239059613E00	2.5182420273E00	2.5182420273E00	2.5169597321E00	8.7444754250E-01	8.8094689081E-01	9.0393909351E-01	9.2008918367E-01	8.9508860577E-01	2.4299672590E00	2.4307844983E00	2.4091509158E00	2.4113674477E00	2.4071398410E00	1.9996208160E00	1.5740843208E00	1.4548566570E00	1.1411853160E00	2.4089501494E00	1.4548929379E00	2.4090537467E00	2.3774855107E00	2.4091231923E00	2.3777791662E00	1.7429438390E00	
