	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	8.7003869867E-03	1.3274747747E-03	1.8139451126E-03	1.7318766668E-01	1.4426124248E-01	7.3339488618E-02	8.7208476149E-03	8.7208476149E-03	2.5333389618E-02	2.5136451883E-01	2.5136039952E-01	2.5037072662E-01	2.5049255929E-01	2.5142244505E-01	2.5108923297E-01	2.5108923297E-01	2.5101221815E-01	7.3469930094E-02	7.4550782996E-02	7.7959121426E-02	8.0391393490E-02	7.8321497555E-02	2.4577486927E-01	2.4582392242E-01	2.4442104258E-01	2.4463726332E-01	2.4420894084E-01	2.0709813509E-01	1.4397379789E-01	8.4604070061E-01	6.7748286782E-01	2.4447402238E-01	8.4606027736E-01	2.4448736867E-01	2.4251902181E-01	2.4449006751E-01	2.4253660162E-01	1.8233523448E-01	
Target (LIBOR)	8.7003869867E-03	0.0000000000E00	8.8079764328E-03	8.0023494969E-03	1.6531813506E-01	1.3654316616E-01	8.1532680598E-02	5.1132888196E-04	5.1132888196E-04	1.7327350801E-02	2.6006489884E-01	2.6006077938E-01	2.5907106161E-01	2.5919290035E-01	2.6012282272E-01	2.5978960845E-01	2.5978960845E-01	2.5971259086E-01	7.9211908041E-02	8.0332904748E-02	8.3936113628E-02	8.6650709883E-02	8.3654720995E-02	2.5447444113E-01	2.5452351234E-01	2.5312023690E-01	2.5333657425E-01	2.5290802492E-01	2.1548321517E-01	1.5107361705E-01	8.3781412856E-01	6.6900559063E-01	2.5317421442E-01	8.3783374216E-01	2.5318756060E-01	2.5121909443E-01	2.5319026181E-01	2.5123668275E-01	1.9028776970E-01	
Caplet Vola Analytic Single-Curve	1.3274747747E-03	8.8079764328E-03	0.0000000000E00	1.9052976768E-03	1.7311505557E-01	1.4417783918E-01	7.3111985040E-02	8.7875997735E-03	8.7875997735E-03	2.5300426306E-02	2.5136065667E-01	2.5135655472E-01	2.5036616891E-01	2.5048805635E-01	2.5141814040E-01	2.5108529841E-01	2.5108529841E-01	2.5100821753E-01	7.3291609485E-02	7.4359708904E-02	7.7789501590E-02	8.0217778777E-02	7.8110243661E-02	2.4577272396E-01	2.4582158168E-01	2.4441926259E-01	2.4463512283E-01	2.4420676382E-01	2.0690386364E-01	1.4409880368E-01	8.4586100994E-01	6.7736859378E-01	2.4446687158E-01	8.4588058808E-01	2.4448019760E-01	2.4251087552E-01	2.4448288227E-01	2.4252845587E-01	1.8208189761E-01	
Caplet Vola Monte-Carlo Single-Curve	1.8139451126E-03	8.0023494969E-03	1.9052976768E-03	0.0000000000E00	1.7196878759E-01	1.4301716877E-01	7.3838522751E-02	7.9752146983E-03	7.9752146983E-03	2.4193034021E-02	2.5222725953E-01	2.5222310775E-01	2.5123094322E-01	2.5135300538E-01	2.5228486207E-01	2.5195156575E-01	2.5195156575E-01	2.5187428537E-01	7.3863733485E-02	7.4938250771E-02	7.8378559251E-02	8.0874154953E-02	7.8593936447E-02	2.4662961742E-01	2.4667864206E-01	2.4527355380E-01	2.4549041130E-01	2.4506035828E-01	2.0765143088E-01	1.4457990908E-01	8.4485237000E-01	6.7638631143E-01	2.4533036732E-01	8.4487193524E-01	2.4534372213E-01	2.4337315226E-01	2.4534650548E-01	2.4339102224E-01	1.8264943967E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.7318766668E-01	1.6531813506E-01	1.7311505557E-01	1.7196878759E-01	0.0000000000E00	2.9733912067E-02	2.3566256825E-01	1.6530896623E-01	1.6530896623E-01	1.4890374763E-01	4.1506795963E-01	4.1506328681E-01	4.1399317110E-01	4.1412256442E-01	4.1512104148E-01	4.1478087408E-01	4.1478087408E-01	4.1469699840E-01	2.2212129277E-01	2.2313634058E-01	2.2715560320E-01	2.3168963518E-01	2.2143024949E-01	4.0922859837E-01	4.0927914513E-01	4.0780514909E-01	4.0804379291E-01	4.0755753258E-01	3.5949009947E-01	2.9193615955E-01	6.7850623288E-01	5.1293939512E-01	4.0809048162E-01	6.7852557811E-01	4.0810364756E-01	4.0609871346E-01	4.0810839794E-01	4.0612178433E-01	3.2564062581E-01	
Caplet Vola Analytic Multi-Curve Ju	1.4426124248E-01	1.3654316616E-01	1.4417783918E-01	1.4301716877E-01	2.9733912067E-02	0.0000000000E00	2.0641145419E-01	1.3653559092E-01	1.3653559092E-01	1.2024143674E-01	3.8568868247E-01	3.8568401782E-01	3.8461549581E-01	3.8474463482E-01	3.8574168782E-01	3.8540186728E-01	3.8540186728E-01	3.8531813578E-01	1.9330313096E-01	1.9431862421E-01	1.9831584146E-01	2.0279867373E-01	1.9277428132E-01	3.7985662125E-01	3.7990703457E-01	3.7843502795E-01	3.7867313188E-01	3.7818766557E-01	3.3042658309E-01	2.6433697520E-01	7.0676560737E-01	5.4125292615E-01	3.7870407927E-01	7.0678490295E-01	3.7871726182E-01	3.7671079324E-01	3.7872196265E-01	3.7673377029E-01	2.9696251100E-01	
Caplet Vola Analytic Multi-Curve Ho	7.3339488618E-02	8.1532680598E-02	7.3111985040E-02	7.3838522751E-02	2.3566256825E-01	2.0641145419E-01	0.0000000000E00	8.1525594692E-02	8.1525594692E-02	9.5802315997E-02	1.8461216812E-01	1.8460807891E-01	1.8359273682E-01	1.8371664426E-01	1.8465653505E-01	1.8433382768E-01	1.8433382768E-01	1.8425468164E-01	6.5791256797E-02	6.5623044347E-02	6.6260935024E-02	6.4398572209E-02	7.1586168374E-02	1.7898742933E-01	1.7903342737E-01	1.7762813860E-01	1.7784022243E-01	1.7740305482E-01	1.3833693534E-01	9.9230551681E-02	9.0714312021E-01	7.4213156161E-01	1.7768432161E-01	9.0716228482E-01	1.7769753664E-01	1.7571661879E-01	1.7770043987E-01	1.7573447140E-01	1.1623286986E-01	
Caplet Vola Analytic Multi-Curve Drift-Freeze	8.7208476149E-03	5.1132888196E-04	8.7875997735E-03	7.9752146983E-03	1.6530896623E-01	1.3653559092E-01	8.1525594692E-02	0.0000000000E00	0.0000000000E00	1.7247809264E-02	2.6007084591E-01	2.6006672452E-01	2.5907699588E-01	2.5919883982E-01	2.6012874096E-01	2.5979555327E-01	2.5979555327E-01	2.5971850913E-01	7.9231764112E-02	8.0349735601E-02	8.3951570606E-02	8.6666695661E-02	8.3669594162E-02	2.5448034515E-01	2.5452938488E-01	2.5312612552E-01	2.5334245574E-01	2.5291390732E-01	2.1549227743E-01	1.5106358417E-01	8.3780538243E-01	6.6899793905E-01	2.5318010985E-01	8.3782499796E-01	2.5319345216E-01	2.5122491933E-01	2.5319616237E-01	2.5124256786E-01	1.9028883609E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	8.7208476149E-03	5.1132888196E-04	8.7875997735E-03	7.9752146983E-03	1.6530896623E-01	1.3653559092E-01	8.1525594692E-02	0.0000000000E00	0.0000000000E00	1.7247809264E-02	2.6007084591E-01	2.6006672452E-01	2.5907699588E-01	2.5919883982E-01	2.6012874096E-01	2.5979555327E-01	2.5979555327E-01	2.5971850913E-01	7.9231764112E-02	8.0349735601E-02	8.3951570606E-02	8.6666695661E-02	8.3669594162E-02	2.5448034515E-01	2.5452938488E-01	2.5312612552E-01	2.5334245574E-01	2.5291390732E-01	2.1549227743E-01	1.5106358417E-01	8.3780538243E-01	6.6899793905E-01	2.5318010985E-01	8.3782499796E-01	2.5319345216E-01	2.5122491933E-01	2.5319616237E-01	2.5124256786E-01	1.9028883609E-01	
Caplet Vola Monte-Carlo Multi-Curve	2.5333389618E-02	1.7327350801E-02	2.5300426306E-02	2.4193034021E-02	1.4890374763E-01	1.2024143674E-01	9.5802315997E-02	1.7247809264E-02	1.7247809264E-02	0.0000000000E00	2.7545676971E-01	2.7545253456E-01	2.7445088605E-01	2.7457392989E-01	2.7551425777E-01	2.7517947943E-01	2.7517947943E-01	2.7510091583E-01	9.1100125940E-02	9.2240334981E-02	9.6027992379E-02	9.9259578572E-02	9.4557869047E-02	2.6981385522E-01	2.6986336516E-01	2.6844614605E-01	2.6866682883E-01	2.6822906362E-01	2.2935861501E-01	1.6307659077E-01	8.2176481658E-01	6.5305340356E-01	2.6854513609E-01	8.2178442965E-01	2.6855847720E-01	2.6658108944E-01	2.6856154518E-01	2.6660073894E-01	2.0265861543E-01	
