	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	4.4066718013E-02	8.7197477909E-03	1.0210925160E-02	6.4996265767E-01	5.7176915818E-01	7.4700717893E-01	4.5262385484E-02	4.5166719844E-02	1.9357635922E-01	2.5832907673E00	2.5832791108E00	2.5675605343E00	2.5696364499E00	2.5828657923E00	2.5784605248E00	2.5784617846E00	2.5771414830E00	7.9192056912E-01	7.9612498878E-01	8.0706942027E-01	8.2933316127E-01	7.8940229895E-01	2.4796034252E00	2.4801348776E00	2.4541690131E00	2.4579479289E00	2.4506237225E00	2.0054266043E00	1.5014567980E00	1.5063617971E00	1.1845407129E00	2.4554425415E00	1.5063100510E00	2.4555699151E00	2.4204648817E00	2.4555382761E00	2.4208442391E00	1.7406487295E00	
Target (LIBOR)	4.4066718013E-02	0.0000000000E00	4.6370602130E-02	4.9570838645E-02	6.1467888997E-01	5.3694916296E-01	7.7920183252E-01	4.6830707410E-03	4.7001166764E-03	1.5873651493E-01	2.5838434867E00	2.5838322109E00	2.5686308590E00	2.5706386522E00	2.5834325938E00	2.5791728384E00	2.5791740567E00	2.5778972779E00	8.2371594257E-01	8.2789020295E-01	8.3863006783E-01	8.6098059559E-01	8.2069906665E-01	2.4835108705E00	2.4840256049E00	2.4588739072E00	2.4625368108E00	2.4554370220E00	2.0213117862E00	1.5227253054E00	1.4880282367E00	1.1613618152E00	2.4601124619E00	1.4879766174E00	2.4602359577E00	2.4262211086E00	2.4602053343E00	2.4265890087E00	1.7604504238E00	
Caplet Vola Analytic Single-Curve	8.7197477909E-03	4.6370602130E-02	0.0000000000E00	1.7271378249E-02	6.5317584465E-01	5.7681372889E-01	7.5038290411E-01	4.6808583276E-02	4.6770195252E-02	2.0180830026E-01	2.5789272784E00	2.5789156793E00	2.5632237599E00	2.5652964978E00	2.5785027233E00	2.5741041935E00	2.5741054511E00	2.5727873346E00	7.9440433702E-01	7.9861153008E-01	8.0955314905E-01	8.3185193545E-01	7.9184336603E-01	2.4753842060E00	2.4759148248E00	2.4499868981E00	2.4537585746E00	2.4464485256E00	2.0021423734E00	1.5044363320E00	1.5036201188E00	1.1830862599E00	2.4512542002E00	1.5035683467E00	2.4513812975E00	2.4163243547E00	2.4513496788E00	2.4167030222E00	1.7365548210E00	
Caplet Vola Monte-Carlo Single-Curve	1.0210925160E-02	4.9570838645E-02	1.7271378249E-02	0.0000000000E00	6.4534533173E-01	5.6785266279E-01	7.5108000391E-01	5.0263566140E-02	5.0161368403E-02	1.8710450080E-01	2.5653971302E00	2.5653608662E00	2.5506896481E00	2.5525610540E00	2.5649762157E00	2.5607886609E00	2.5607898121E00	2.5595372655E00	7.8575274503E-01	7.8994002190E-01	8.0086470365E-01	8.2298570891E-01	7.8334637857E-01	2.4666402932E00	2.4671070767E00	2.4420784537E00	2.4456999991E00	2.4384703486E00	1.9921423039E00	1.4909531186E00	1.5033016924E00	1.1816302273E00	2.4377508751E00	1.5032499448E00	2.4379542402E00	2.4030873954E00	2.4379203855E00	2.4034751585E00	1.7374163446E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	6.4996265767E-01	6.1467888997E-01	6.5317584465E-01	6.4534533173E-01	0.0000000000E00	9.7600564550E-02	9.5289458631E-01	6.1633655959E-01	6.1643748784E-01	5.6808332342E-01	2.3549407540E00	2.3549193705E00	2.3434421725E00	2.3448588204E00	2.3551833693E00	2.3519079083E00	2.3519089785E00	2.3511653688E00	1.1446403179E00	1.1480401324E00	1.1558688982E00	1.1790661109E00	1.1383932192E00	2.3021744793E00	2.3024982805E00	2.2906656929E00	2.2929473527E00	2.2883848463E00	1.9732345341E00	1.7164243520E00	1.0957107415E00	9.9687123870E-01	2.2846479963E00	1.0956610963E00	2.2848757011E00	2.2652115547E00	2.2848021414E00	2.2651102139E00	1.7094437981E00	
Caplet Vola Analytic Multi-Curve Ju	5.7176915818E-01	5.3694916296E-01	5.7681372889E-01	5.6785266279E-01	9.7600564550E-02	0.0000000000E00	8.7867655725E-01	5.3911171105E-01	5.3921398301E-01	4.8542583771E-01	2.3368991164E00	2.3368762639E00	2.3245916118E00	2.3261081081E00	2.3371605341E00	2.3336519053E00	2.3336530516E00	2.3328579106E00	1.0758182920E00	1.0829336542E00	1.0816424357E00	1.1218621739E00	1.0624283083E00	2.2767968803E00	2.2771423343E00	2.2618273148E00	2.2642526930E00	2.2594021677E00	1.9265617868E00	1.6620501609E00	1.1496851165E00	1.0262041527E00	2.2617388098E00	1.1496350117E00	2.2619825352E00	2.2409908156E00	2.2619035755E00	2.2408800820E00	1.6510485472E00	
Caplet Vola Analytic Multi-Curve Ho	7.4700717893E-01	7.7920183252E-01	7.5038290411E-01	7.5108000391E-01	9.5289458631E-01	8.7867655725E-01	0.0000000000E00	7.7848277721E-01	7.7850720340E-01	7.7769097037E-01	2.7246182310E00	2.7245698086E00	2.7050682647E00	2.7075418881E00	2.7240734898E00	2.7185411744E00	2.7185427075E00	2.7168808135E00	9.0261350491E-01	9.0287851191E-01	9.5696036465E-01	9.5073079907E-01	9.6111283517E-01	2.5955175251E00	2.5961293774E00	2.5635900322E00	2.5683560145E00	2.5588521110E00	1.9960711991E00	1.2906746519E00	1.5740171702E00	1.5343183755E00	2.5583470411E00	1.5739641091E00	2.5586111769E00	2.5135918962E00	2.5585683002E00	2.5140969525E00	1.6793201855E00	
Caplet Vola Analytic Multi-Curve Drift-Freeze	4.5262385484E-02	4.6830707410E-03	4.6808583276E-02	5.0263566140E-02	6.1633655959E-01	5.3911171105E-01	7.7848277721E-01	0.0000000000E00	1.1731119999E-04	1.6135743309E-01	2.5845470719E00	2.5845357893E00	2.5693331071E00	2.5713410237E00	2.5841361904E00	2.5798761790E00	2.5798773974E00	2.5786005157E00	8.2659075722E-01	8.3076905800E-01	8.4150804984E-01	8.6390320402E-01	8.2352485698E-01	2.4842102659E00	2.4847250390E00	2.4595718671E00	2.4632352660E00	2.4561344953E00	2.0219303026E00	1.5257526255E00	1.4897776662E00	1.1598300644E00	2.4608112000E00	1.4897260673E00	2.4609347178E00	2.4269183146E00	2.4609040967E00	2.4272862597E00	1.7593255856E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	4.5166719844E-02	4.7001166764E-03	4.6770195252E-02	5.0161368403E-02	6.1643748784E-01	5.3921398301E-01	7.7850720340E-01	1.1731119999E-04	0.0000000000E00	1.6146580184E-01	2.5846264259E00	2.5846151415E00	2.5694110441E00	2.5714191412E00	2.5842155112E00	2.5799551154E00	2.5799563339E00	2.5786793341E00	8.2651711972E-01	8.3069547444E-01	8.4143489322E-01	8.6382977059E-01	8.2345236182E-01	2.4842809453E00	2.4847957637E00	2.4596404320E00	2.4633041716E00	2.4562027390E00	2.0219622181E00	1.5256889322E00	1.4898041677E00	1.1598675407E00	2.4608799401E00	1.4897525684E00	2.4610034699E00	2.4269842220E00	2.4609728466E00	2.4273522003E00	1.7593772743E00	
Caplet Vola Monte-Carlo Multi-Curve	1.9357635922E-01	1.5873651493E-01	2.0180830026E-01	1.8710450080E-01	5.6808332342E-01	4.8542583771E-01	7.7769097037E-01	1.6135743309E-01	1.6146580184E-01	0.0000000000E00	2.5528812156E00	2.5528607990E00	2.5379510913E00	2.5399586120E00	2.5525443264E00	2.5484106654E00	2.5484118851E00	2.5471028798E00	8.6793327913E-01	8.7201556428E-01	8.8235195892E-01	9.0452923726E-01	8.6429770434E-01	2.4592062642E00	2.4597245364E00	2.4357415393E00	2.4393083425E00	2.4325841913E00	2.0262929028E00	1.5259939886E00	1.4569850080E00	1.1341791172E00	2.4382038451E00	1.4569337291E00	2.4383103439E00	2.4064806090E00	2.4383378824E00	2.4069922676E00	1.7448985276E00	
