	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	3.3898305085E-02	4.4987713144E-03	2.1186108752E-02	5.0449314389E-01	4.3605401674E-01	2.9861871065E-01	3.3928464701E-02	3.3928464701E-02	1.0981981693E-01	1.9840891352E00	1.9838401600E00	1.9667938615E00	1.9688428793E00	1.9847807133E00	1.9794987326E00	1.9794987326E00	1.9778599433E00	2.3966879620E-01	2.3985927210E-01	2.6446904434E-01	2.7217754727E-01	2.6819294849E-01	1.8931649996E00	1.8922125795E00	1.8715692851E00	1.8751419802E00	1.8653648706E00	1.1845883810E00	6.3620471726E-01	1.2595801127E00	1.1568287895E00	1.8737595085E00	1.2597234027E00	1.8729293853E00	1.8430829804E00	1.8744347093E00	1.8442655641E00	8.6262695299E-01	
Target (LIBOR)	3.3898305085E-02	0.0000000000E00	3.3455105865E-02	2.1088972431E-02	4.7261544262E-01	4.0364733914E-01	3.3167765003E-01	1.6961834803E-03	1.6961834803E-03	7.8878271518E-02	1.9846174578E00	1.9843767174E00	1.9678918479E00	1.9698736279E00	1.9852861567E00	1.9801787219E00	1.9801787219E00	1.9785939957E00	2.5070286809E-01	2.4882664510E-01	2.7842629764E-01	2.8773753324E-01	2.7731155737E-01	1.8966341405E00	1.8957118189E00	1.8757172946E00	1.8791782011E00	1.8697065243E00	1.2063760165E00	6.5710421752E-01	1.2389063997E00	1.1340482784E00	1.8778390110E00	1.2390527566E00	1.8770348620E00	1.8481149365E00	1.8784930769E00	1.8492610850E00	8.8398188390E-01	
Caplet Vola Analytic Single-Curve	4.4987713144E-03	3.3455105865E-02	0.0000000000E00	2.2505255313E-02	5.0407800379E-01	4.3563174521E-01	2.9905213804E-01	3.3485265706E-02	3.3485265706E-02	1.0993841539E-01	1.9840961593E00	1.9838472936E00	1.9668084572E00	1.9688565815E00	1.9847874332E00	1.9795077728E00	1.9795077728E00	1.9778697020E00	2.3867298766E-01	2.3886918426E-01	2.6407750513E-01	2.7177996183E-01	2.6708606678E-01	1.8932110875E00	1.8922590669E00	1.8716243821E00	1.8751955939E00	1.8654225368E00	1.1848761442E00	6.3683370667E-01	1.2593125889E00	1.1565337469E00	1.8738136965E00	1.2594559189E00	1.8729839180E00	1.8431498030E00	1.8744886169E00	1.8443319035E00	8.6065731321E-01	
Caplet Vola Monte-Carlo Single-Curve	2.1186108752E-02	2.1088972431E-02	2.2505255313E-02	0.0000000000E00	4.8626751156E-01	4.1752132915E-01	3.1757481279E-01	2.0412316434E-02	2.0412316434E-02	9.1522054676E-02	1.9843939034E00	1.9841496783E00	1.9674272074E00	1.9694374451E00	1.9850722841E00	1.9798909849E00	1.9798909849E00	1.9782833795E00	2.4812659214E-01	2.4570955110E-01	2.7347427666E-01	2.8311129949E-01	2.7666576637E-01	1.8951655666E00	1.8942304968E00	1.8739611563E00	1.8774694199E00	1.8678683482E00	1.1971212247E00	6.4698793758E-01	1.2477928561E00	1.1438354163E00	1.8761118946E00	1.2479379009E00	1.8752967421E00	1.8459842707E00	1.8767749139E00	1.8471458589E00	8.7934789607E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	5.0449314389E-01	4.7261544262E-01	5.0407800379E-01	4.8626751156E-01	0.0000000000E00	7.2422093557E-02	7.7396228852E-01	4.7258695886E-01	4.7258695886E-01	4.0021666238E-01	1.9904839029E00	1.9903347511E00	1.9801050962E00	1.9813365956E00	1.9908981625E00	1.9877327576E00	1.9877327576E00	1.9867499718E00	6.7318304599E-01	6.6185049658E-01	6.9524008852E-01	7.1584059658E-01	6.4853908129E-01	1.9355117604E00	1.9349305465E00	1.9223052252E00	1.9244940698E00	1.9185002389E00	1.4695279133E00	1.0273313049E00	8.9769730110E-01	7.6377236124E-01	1.9236472750E00	8.9788694520E-01	1.9231386913E00	1.9047955711E00	1.9240608804E00	1.9055244997E00	1.2208655171E00	
Caplet Vola Analytic Multi-Curve Ju	4.3605401674E-01	4.0364733914E-01	4.3563174521E-01	4.1752132915E-01	7.2422093557E-02	0.0000000000E00	7.1151058736E-01	4.0361839960E-01	4.0361839960E-01	3.3018714853E-01	1.9897706625E00	1.9896103607E00	1.9786181226E00	1.9799412022E00	1.9902158951E00	1.9868139977E00	1.9868139977E00	1.9857578686E00	6.0817357349E-01	5.9668935274E-01	6.3151517399E-01	6.5206002881E-01	5.8372273764E-01	1.9307498079E00	1.9301264378E00	1.9165887422E00	1.9189353050E00	1.9125100442E00	1.4352940749E00	9.7300751204E-01	9.5460394987E-01	8.2478886336E-01	1.9180274712E00	9.5478733499E-01	1.9174822413E00	1.8978243548E00	1.9184708867E00	1.8986052723E00	1.1744029059E00	
Caplet Vola Analytic Multi-Curve Ho	2.9861871065E-01	3.3167765003E-01	2.9905213804E-01	3.1757481279E-01	7.7396228852E-01	7.1151058736E-01	0.0000000000E00	3.3170698855E-01	3.3170698855E-01	4.0511714910E-01	1.9785339030E00	1.9781984746E00	1.9552678343E00	1.9580205504E00	1.9794656990E00	1.9723518970E00	1.9723518970E00	1.9701461040E00	2.6612721290E-01	2.7397453626E-01	2.6806799026E-01	2.6716646273E-01	2.9826542262E-01	1.8570032917E00	1.8557404402E00	1.8284199765E00	1.8331412697E00	1.8202278359E00	9.7192162084E-01	5.4998740412E-01	1.4242696919E00	1.3397436477E00	1.8313139952E00	1.4243867386E00	1.8302169949E00	1.7908799814E00	1.8322063834E00	1.7924347372E00	6.2604865987E-01	
Caplet Vola Analytic Multi-Curve Drift-Freeze	3.3928464701E-02	1.6961834803E-03	3.3485265706E-02	2.0412316434E-02	4.7258695886E-01	4.0361839960E-01	3.3170698855E-01	0.0000000000E00	0.0000000000E00	7.8751331588E-02	1.9846179200E00	1.9843771869E00	1.9678928087E00	1.9698745299E00	1.9852865990E00	1.9801793169E00	1.9801793169E00	1.9785946380E00	2.5059705658E-01	2.4867636046E-01	2.7831884678E-01	2.8774635906E-01	2.7735898240E-01	1.8966371782E00	1.8957148830E00	1.8757209275E00	1.8791817359E00	1.8697103269E00	1.2063952083E00	6.5699078141E-01	1.2388878075E00	1.1340278096E00	1.8778425838E00	1.2390341671E00	1.8770384576E00	1.8481193445E00	1.8784966312E00	1.8492654611E00	8.8467742743E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	3.3928464701E-02	1.6961834803E-03	3.3485265706E-02	2.0412316434E-02	4.7258695886E-01	4.0361839960E-01	3.3170698855E-01	0.0000000000E00	0.0000000000E00	7.8751331588E-02	1.9846179200E00	1.9843771869E00	1.9678928087E00	1.9698745299E00	1.9852865990E00	1.9801793169E00	1.9801793169E00	1.9785946380E00	2.5059705658E-01	2.4867636046E-01	2.7831884678E-01	2.8774635906E-01	2.7735898240E-01	1.8966371782E00	1.8957148830E00	1.8757209275E00	1.8791817359E00	1.8697103269E00	1.2063952083E00	6.5699078141E-01	1.2388878075E00	1.1340278096E00	1.8778425838E00	1.2390341671E00	1.8770384576E00	1.8481193445E00	1.8784966312E00	1.8492654611E00	8.8467742743E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.0981981693E-01	7.8878271518E-02	1.0993841539E-01	9.1522054676E-02	4.0021666238E-01	3.3018714853E-01	4.0511714910E-01	7.8751331588E-02	7.8751331588E-02	0.0000000000E00	1.9857396068E00	1.9855163645E00	1.9702250047E00	1.9720637915E00	1.9863596915E00	1.9816231812E00	1.9816231812E00	1.9801533648E00	3.0123048547E-01	2.9504517824E-01	3.2716118812E-01	3.4611378531E-01	3.0694428525E-01	1.9040200275E00	1.9031619715E00	1.8845534900E00	1.8877754594E00	1.8789567239E00	1.2536364070E00	7.0241791871E-01	1.1909452233E00	1.0813534965E00	1.8865287740E00	1.1910984997E00	1.8857801422E00	1.8588421168E00	1.8871376679E00	1.8599102632E00	9.4196403905E-01	
Caplet Value Analytic Single-Curve	1.9840891352E00	1.9846174578E00	1.9840961593E00	1.9843939034E00	1.9904839029E00	1.9897706625E00	1.9785339030E00	1.9846179200E00	1.9846179200E00	1.9857396068E00	0.0000000000E00	2.0443006028E-02	7.0805610445E-01	6.5126944603E-01	1.1085807695E-01	2.5327032672E-01	2.5327032672E-01	3.2893607010E-01	1.9808737692E00	1.9811149975E00	1.9803946057E00	1.9799278525E00	1.9814088433E00	1.4918319788E00	1.4958639694E00	1.5701920416E00	1.5588867676E00	1.5885510388E00	1.9385701109E00	1.9705302250E00	1.9963746716E00	1.9957378722E00	1.5633287405E00	1.9963755317E00	1.5659547434E00	1.6436243321E00	1.5611701115E00	1.6410604184E00	1.9609525118E00	
Caplet Value Monte-Carlo Single-Curve	1.9838401600E00	1.9843767174E00	1.9838472936E00	1.9841496783E00	1.9903347511E00	1.9896103607E00	1.9781984746E00	1.9843771869E00	1.9843771869E00	1.9855163645E00	2.0443006028E-02	0.0000000000E00	6.9438311946E-01	6.3729789191E-01	1.2827657155E-01	2.3791603387E-01	2.3791603387E-01	3.1374915129E-01	1.9805747249E00	1.9808197068E00	1.9800881070E00	1.9796140943E00	1.9811181254E00	1.4848760520E00	1.4889551560E00	1.5641748507E00	1.5527311340E00	1.5827608314E00	1.9376200010E00	1.9700706722E00	1.9963177643E00	1.9956709798E00	1.5572273817E00	1.9963186380E00	1.5598855443E00	1.6385310883E00	1.5550423577E00	1.6359341930E00	1.9603450955E00	
Caplet Value Analytic Multi-Curve Fenton-Wilkinson	1.9667938615E00	1.9678918479E00	1.9668084572E00	1.9674272074E00	1.9801050962E00	1.9786181226E00	1.9552678343E00	1.9678928087E00	1.9678928087E00	1.9702250047E00	7.0805610445E-01	6.9438311946E-01	0.0000000000E00	6.4186300796E-02	7.4676476322E-01	4.7613191427E-01	4.7613191427E-01	4.0255958898E-01	1.9601183466E00	1.9606187618E00	1.9591245432E00	1.9581567287E00	1.9612284178E00	1.0819937060E00	1.0860913647E00	1.1940048183E00	1.1750909187E00	1.2249440846E00	1.8733678736E00	1.9387229637E00	1.9924084558E00	1.9910765347E00	1.1825099257E00	1.9924102552E00	1.1869034817E00	1.3194570911E00	1.1789025583E00	1.3149994361E00	1.9190186887E00	
Caplet Value Analytic Multi-Curve Ju	1.9688428793E00	1.9698736279E00	1.9688565815E00	1.9694374451E00	1.9813365956E00	1.9799412022E00	1.9580205504E00	1.9698745299E00	1.9698745299E00	1.9720637915E00	6.5126944603E-01	6.3729789191E-01	6.4186300796E-02	0.0000000000E00	6.9085701372E-01	4.1511722805E-01	4.1511722805E-01	3.4057329039E-01	1.9625753975E00	1.9630452705E00	1.9616422278E00	1.9607334337E00	1.9636177072E00	1.1174966008E00	1.1225682801E00	1.2345377606E00	1.2163416564E00	1.2642795085E00	1.8810089052E00	1.9424790071E00	1.9928797367E00	1.9916303275E00	1.2234803991E00	1.9928814245E00	1.2277071954E00	1.3549552397E00	1.2200095139E00	1.3506846202E00	1.9239592097E00	
Caplet Value Analytic Multi-Curve Ho	1.9847807133E00	1.9852861567E00	1.9847874332E00	1.9850722841E00	1.9908981625E00	1.9902158951E00	1.9794656990E00	1.9852865990E00	1.9852865990E00	1.9863596915E00	1.1085807695E-01	1.2827657155E-01	7.4676476322E-01	6.9085701372E-01	0.0000000000E00	2.9703629666E-01	2.9703629666E-01	3.7217579652E-01	1.9817044638E00	1.9819352627E00	1.9812460134E00	1.9807994323E00	1.9822164023E00	1.5112953333E00	1.5151943355E00	1.5870090961E00	1.5760936413E00	1.6047292920E00	1.9412110138E00	1.9718069811E00	1.9965327140E00	1.9959236469E00	1.5803827724E00	1.9965335367E00	1.5829182219E00	1.6578435653E00	1.5782984708E00	1.6553722747E00	1.9626403109E00	
Caplet Value Analytic Multi-Curve Drift-Freeze	1.9794987326E00	1.9801787219E00	1.9795077728E00	1.9798909849E00	1.9877327576E00	1.9868139977E00	1.9723518970E00	1.9801793169E00	1.9801793169E00	1.9816231812E00	2.5327032672E-01	2.3791603387E-01	4.7613191427E-01	4.1511722805E-01	2.9703629666E-01	0.0000000000E00	0.0000000000E00	8.1081377944E-02	1.9753614465E00	1.9756717738E00	1.9747450606E00	1.9741446802E00	1.9760498052E00	1.3677590703E00	1.3725986196E00	1.4623052148E00	1.4486004630E00	1.4846072779E00	1.9211071830E00	1.9620652231E00	1.9953245779E00	1.9945035802E00	1.4539826214E00	1.9953256869E00	1.4571660233E00	1.5518561704E00	1.4513666786E00	1.5487138108E00	1.9497711769E00	
