	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	1.1065306597E-02	2.1529226875E-03	4.0398153243E-02	1.9976857452E-01	1.6702203805E-01	1.8682422959E-01	1.1189461191E-02	1.1189461191E-02	1.7334815340E-01	3.2011274715E-01	3.2016562309E-01	3.1964389746E-01	3.1972775150E-01	3.2012578679E-01	3.1988364892E-01	3.1988364892E-01	3.1983821404E-01	1.7898630104E-01	1.9607265549E-01	1.8373556065E-01	1.8539115131E-01	2.1323147498E-01	3.1444025411E-01	3.1527075123E-01	3.1328461658E-01	3.1332683543E-01	3.1342000608E-01	3.1089389132E-01	2.8502755691E-01	1.0043488753E00	6.9357422552E-01	3.1309443618E-01	1.0045394610E00	3.1297095740E-01	3.1098813211E-01	3.1289389132E-01	3.1089389132E-01	3.0186982720E-01	
Target (LIBOR)	1.1065306597E-02	0.0000000000E00	1.1646344828E-02	5.1324699008E-02	1.9096670009E-01	1.5864227476E-01	1.9725325410E-01	1.2095540981E-03	1.2095540981E-03	1.6694659304E-01	3.3117805375E-01	3.3123092969E-01	3.3070920406E-01	3.3079305810E-01	3.3119109339E-01	3.3094895551E-01	3.3094895551E-01	3.3090352064E-01	1.8967827628E-01	2.0676463072E-01	1.9442753589E-01	1.9608312655E-01	2.0442960055E-01	3.2550556071E-01	3.2633605782E-01	3.2434992317E-01	3.2439214203E-01	3.2448531268E-01	3.2195919791E-01	2.9554574853E-01	9.9845823120E-01	6.8494522506E-01	3.2415974278E-01	9.9864881685E-01	3.2403626400E-01	3.2205343871E-01	3.2395919791E-01	3.2195919791E-01	3.1279637296E-01	
Caplet Vola Analytic Single-Curve	2.1529226875E-03	1.1646344828E-02	0.0000000000E00	4.0210595139E-02	2.0151531590E-01	1.6917352850E-01	1.8761107353E-01	1.1390765066E-02	1.1390765066E-02	1.7138528413E-01	3.1971319372E-01	3.1976606966E-01	3.1924434403E-01	3.1932819808E-01	3.1972623336E-01	3.1948409549E-01	3.1948409549E-01	3.1943866061E-01	1.7959114801E-01	1.9667750246E-01	1.8434040763E-01	1.8599599828E-01	2.1497821636E-01	3.1404070068E-01	3.1487119780E-01	3.1288506315E-01	3.1292728200E-01	3.1302045265E-01	3.1049433789E-01	2.8567550595E-01	1.0026031841E00	6.9278738158E-01	3.1269488276E-01	1.0027937697E00	3.1257140397E-01	3.1058857868E-01	3.1249433789E-01	3.1049433789E-01	3.0125489359E-01	
Caplet Vola Monte-Carlo Single-Curve	4.0398153243E-02	5.1324699008E-02	4.0210595139E-02	0.0000000000E00	2.3241973055E-01	1.9731602508E-01	1.7815981258E-01	5.1006675188E-02	5.1006675188E-02	1.8542033870E-01	3.1701251253E-01	3.1701278423E-01	3.1634184468E-01	3.1645944635E-01	3.1706692790E-01	3.1674808306E-01	3.1674808306E-01	3.1681884932E-01	1.5603025022E-01	1.7311660467E-01	1.6077950984E-01	1.6243510049E-01	2.2987781349E-01	3.1134213125E-01	3.1219569593E-01	3.1005273784E-01	3.1013461233E-01	3.1019467642E-01	3.0791869768E-01	2.7377729372E-01	1.0205986043E00	7.1989473826E-01	3.1002671252E-01	1.0207891900E00	3.1002676783E-01	3.0838734759E-01	3.0991869768E-01	3.0791869768E-01	2.8877729372E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.9976857452E-01	1.9096670009E-01	2.0151531590E-01	2.3241973055E-01	0.0000000000E00	3.7676794027E-02	2.9322760715E-01	1.9163047348E-01	1.9163047348E-01	1.9422005410E-01	4.8005867244E-01	4.8018236296E-01	4.7901701846E-01	4.7916294036E-01	4.8022216844E-01	4.7974802166E-01	4.7974802166E-01	4.7931642274E-01	3.4050041113E-01	3.5758676557E-01	3.4524967074E-01	3.4891448206E-01	3.4720507794E-01	4.7579415333E-01	4.7580055908E-01	4.7530400789E-01	4.7538369157E-01	4.7551142005E-01	4.6158139194E-01	4.5760542428E-01	8.3122978087E-01	6.7256583518E-01	4.7349980018E-01	8.3142036652E-01	4.7308240606E-01	4.7042052230E-01	4.7312622366E-01	4.7112622366E-01	4.2760542428E-01	
Caplet Vola Analytic Multi-Curve Ju	1.6702203805E-01	1.5864227476E-01	1.6917352850E-01	1.9731602508E-01	3.7676794027E-02	0.0000000000E00	2.5821841822E-01	1.5941224962E-01	1.5941224962E-01	1.6582978604E-01	4.4312269475E-01	4.4324638527E-01	4.4208104077E-01	4.4222696267E-01	4.4328619075E-01	4.4281204396E-01	4.4281204396E-01	4.4238044505E-01	3.0540272372E-01	3.2002917039E-01	3.0845211556E-01	3.1520099019E-01	3.1023186839E-01	4.3811735930E-01	4.3812376505E-01	4.3762721386E-01	4.3770689755E-01	4.3783462603E-01	4.2402379676E-01	4.1992863025E-01	8.5501062620E-01	6.7686851703E-01	4.3656382249E-01	8.5520121185E-01	4.3614642837E-01	4.3348454461E-01	4.3619024597E-01	4.3419024597E-01	3.8992863025E-01	
Caplet Vola Analytic Multi-Curve Ho	1.8682422959E-01	1.9725325410E-01	1.8761107353E-01	1.7815981258E-01	2.9322760715E-01	2.5821841822E-01	0.0000000000E00	1.9741256906E-01	1.9741256906E-01	2.2756679348E-01	2.5265187148E-01	2.5271464295E-01	2.5228312277E-01	2.5234520248E-01	2.5265550451E-01	2.5244607647E-01	2.5244607647E-01	2.5235290097E-01	2.0239902591E-01	1.6133823163E-01	2.0844660113E-01	2.0462067629E-01	3.0075352132E-01	2.4751173462E-01	2.4826257661E-01	2.4645240437E-01	2.4647869983E-01	2.4659350790E-01	2.4335234500E-01	1.9211779270E-01	1.0110319317E00	8.8039845511E-01	2.4555374134E-01	1.0112225174E00	2.4543205757E-01	2.4334305559E-01	2.4535234500E-01	2.4335234500E-01	2.3335234500E-01	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.1189461191E-02	1.2095540981E-03	1.1390765066E-02	5.1006675188E-02	1.9163047348E-01	1.5941224962E-01	1.9741256906E-01	0.0000000000E00	0.0000000000E00	1.6628159473E-01	3.3106501139E-01	3.3111788733E-01	3.3059616170E-01	3.3068001575E-01	3.3107805103E-01	3.3083591316E-01	3.3083591316E-01	3.3079047828E-01	1.9011047303E-01	2.0719682747E-01	1.9485973264E-01	1.9651532330E-01	2.0503199299E-01	3.2539251835E-01	3.2622301547E-01	3.2423688082E-01	3.2427909967E-01	3.2437227032E-01	3.2184615556E-01	2.9600884866E-01	9.9966778530E-01	6.8413196019E-01	3.2404670043E-01	9.9985837095E-01	3.2392322164E-01	3.2194039635E-01	3.2384615556E-01	3.2184615556E-01	3.1247834914E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.1189461191E-02	1.2095540981E-03	1.1390765066E-02	5.1006675188E-02	1.9163047348E-01	1.5941224962E-01	1.9741256906E-01	0.0000000000E00	0.0000000000E00	1.6628159473E-01	3.3106501139E-01	3.3111788733E-01	3.3059616170E-01	3.3068001575E-01	3.3107805103E-01	3.3083591316E-01	3.3083591316E-01	3.3079047828E-01	1.9011047303E-01	2.0719682747E-01	1.9485973264E-01	1.9651532330E-01	2.0503199299E-01	3.2539251835E-01	3.2622301547E-01	3.2423688082E-01	3.2427909967E-01	3.2437227032E-01	3.2184615556E-01	2.9600884866E-01	9.9966778530E-01	6.8413196019E-01	3.2404670043E-01	9.9985837095E-01	3.2392322164E-01	3.2194039635E-01	3.2384615556E-01	3.2184615556E-01	3.1247834914E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.7334815340E-01	1.6694659304E-01	1.7138528413E-01	1.8542033870E-01	1.9422005410E-01	1.6582978604E-01	2.2756679348E-01	1.6628159473E-01	1.6628159473E-01	0.0000000000E00	4.1657574096E-01	4.1672170473E-01	4.1548669905E-01	4.1563366377E-01	4.1675185672E-01	4.1626040691E-01	4.1626040691E-01	4.1573958385E-01	2.2681027774E-01	2.4332429511E-01	2.3257814055E-01	2.3920095070E-01	2.3520394056E-01	4.1100585894E-01	4.1103261132E-01	4.0985176349E-01	4.0996012062E-01	4.0997354553E-01	3.8265715417E-01	3.5613065914E-01	1.0122066459E00	7.0122060807E-01	4.1008041461E-01	1.0124278513E00	4.0960164209E-01	4.0680765886E-01	4.0965715417E-01	4.0765715417E-01	3.6113065914E-01	
