	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	3.3898305085E-02	4.4987751424E-03	1.1786024043E-01	6.3999018475E-01	4.6322785856E-01	2.7250380743E-01	6.5383755543E-01	6.5383755543E-01	1.1235519571E-01	1.9840891352E00	1.9851533739E00	1.9635444260E00	1.9697589176E00	1.9832212703E00	1.9629381459E00	1.9629381459E00	1.9798011042E00	2.3966885182E-01	3.0566562059E-01	2.7033913465E-01	1.0665003878E00	2.9579728139E-01	1.8931650109E00	1.9034420784E00	1.8717939131E00	1.9517533786E00	1.8717707885E00	1.1845883810E00	6.3620471726E-01	1.2592500352E00	1.1568287895E00	1.8770293322E00	1.2594303777E00	1.8787725184E00	1.8489097148E00	1.8744347093E00	1.8442655641E00	8.6262695299E-01	
Target (LIBOR)	3.3898305085E-02	0.0000000000E00	3.3455107166E-02	1.3350812591E-01	6.1124251835E-01	4.3627177797E-01	3.0569615179E-01	6.2339347123E-01	6.2339347123E-01	1.0930885104E-01	1.9846174578E00	1.9856464856E00	1.9647489026E00	1.9707595849E00	1.9837782931E00	1.9641624727E00	1.9641624727E00	1.9804711135E00	2.5070292486E-01	3.2786848204E-01	2.8705365960E-01	1.0905422208E00	3.1282028444E-01	1.8966341514E00	1.9065855099E00	1.8759349002E00	1.9533428405E00	1.8759124986E00	1.2063760165E00	6.5710421752E-01	1.2385692587E00	1.1340482784E00	1.8810064151E00	1.2387534602E00	1.8826949294E00	1.8537619314E00	1.8784930769E00	1.8492610850E00	8.8398188390E-01	
Caplet Vola Analytic Single-Curve	4.4987751424E-03	3.3455107166E-02	0.0000000000E00	1.1577556058E-01	6.3965802115E-01	4.6266880773E-01	2.7293888778E-01	6.5344158374E-01	6.5344158374E-01	1.1453166364E-01	1.9840961593E00	1.9851599298E00	1.9635604368E00	1.9697722200E00	1.9832286759E00	1.9629544206E00	1.9629544206E00	1.9798100117E00	2.3867303670E-01	3.0329769230E-01	2.6989079762E-01	1.0668176123E00	2.9633047940E-01	1.8932110987E00	1.9034838427E00	1.8718489168E00	1.9517745049E00	1.8718258018E00	1.1848761434E00	6.3683370535E-01	1.2589824200E00	1.1565337478E00	1.8770821610E00	1.2591628128E00	1.8788246217E00	1.8489741534E00	1.8744886167E00	1.8443319033E00	8.6065731432E-01	
Caplet Vola Monte-Carlo Single-Curve	1.1786024043E-01	1.3350812591E-01	1.1577556058E-01	0.0000000000E00	7.1655925962E-01	5.4584095605E-01	2.2905357987E-01	7.2601102026E-01	7.2601102026E-01	2.0836773779E-01	1.9827363997E00	1.9838907536E00	1.9604623213E00	1.9671978636E00	1.9817950864E00	1.9598053037E00	1.9598053037E00	1.9780858072E00	2.1787769028E-01	2.3405239976E-01	2.4045681902E-01	1.0065867852E00	2.7786098599E-01	1.8843064221E00	1.8954127552E00	1.8612264324E00	1.9476875672E00	1.8612014701E00	1.1301038533E00	6.1387741000E-01	1.3074354378E00	1.2100618763E00	1.8668785476E00	1.3076065413E00	1.8687607566E00	1.8365356233E00	1.8640772567E00	1.8315277713E00	8.0267314599E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	6.3999018475E-01	6.1124251835E-01	6.3965802115E-01	7.1655925962E-01	0.0000000000E00	2.2844981399E-01	8.2440825046E-01	1.3304085091E-01	1.3304085091E-01	6.1733591690E-01	1.9912724431E00	1.9918571899E00	1.9799564286E00	1.9833849347E00	1.9907954895E00	1.9796216876E00	1.9796216876E00	1.9889149510E00	8.1168296243E-01	8.8959410765E-01	8.4312809019E-01	1.4434168147E00	8.3444577683E-01	1.9407879169E00	1.9465467641E00	1.9287689285E00	1.9734380413E00	1.9287558914E00	1.5081642565E00	1.0897246508E00	8.2668466895E-01	6.8852048361E-01	1.9317187493E00	8.2693241966E-01	1.9327001362E00	1.9158334344E00	1.9302572898E00	1.9131999666E00	1.2738222372E00	
Caplet Vola Analytic Multi-Curve Ju	4.6322785856E-01	4.3627177797E-01	4.6266880773E-01	5.4584095605E-01	2.2844981399E-01	0.0000000000E00	6.2540499123E-01	3.0351909742E-01	3.0351909742E-01	4.4493390636E-01	1.9890276976E00	1.9897624568E00	1.9748195432E00	1.9791221178E00	1.9884284263E00	1.9743995646E00	1.9743995646E00	1.9860659707E00	6.4569813198E-01	7.2955047627E-01	6.7698226108E-01	1.3279130923E00	6.6467835710E-01	1.9257998423E00	1.9329916126E00	1.9108074014E00	1.9666445857E00	1.9107911515E00	1.4003319832E00	9.1843535906E-01	1.0075633952E00	8.8227645745E-01	1.9144848545E00	1.0077863590E00	1.9157086289E00	1.8946975369E00	1.9126627226E00	1.8914210900E00	1.1273914029E00	
Caplet Vola Analytic Multi-Curve Ho	2.7250380743E-01	3.0569615179E-01	2.7293888778E-01	2.2905357987E-01	8.2440825046E-01	6.2540499123E-01	0.0000000000E00	8.8683863819E-01	8.8683863819E-01	3.4339999809E-01	1.9792798473E00	1.9806845150E00	1.9522069713E00	1.9603291544E00	1.9779569218E00	1.9518533893E00	1.9518533893E00	1.9737114266E00	3.3703498432E-01	3.5687304854E-01	3.4367371454E-01	9.4587751186E-01	3.6186699876E-01	1.8611597702E00	1.8744521245E00	1.8336968027E00	1.9370087699E00	1.8336249629E00	9.9761547992E-01	5.1062203146E-01	1.4107306368E00	1.3249158927E00	1.8440051896E00	1.4108807660E00	1.8462373813E00	1.8087561580E00	1.8406338045E00	1.8028080533E00	6.5410675845E-01	
Caplet Vola Analytic Multi-Curve Drift-Freeze	6.5383755543E-01	6.2339347123E-01	6.5344158374E-01	7.2601102026E-01	1.3304085091E-01	3.0351909742E-01	8.8683863819E-01	0.0000000000E00	0.0000000000E00	6.3070092726E-01	1.9919133438E00	1.9924552314E00	1.9814244439E00	1.9846028135E00	1.9914713401E00	1.9811141034E00	1.9811141034E00	1.9897285267E00	8.1366133507E-01	8.9025024714E-01	8.4570139760E-01	1.4649533550E00	8.4172708761E-01	1.9450850985E00	1.9504312675E00	1.9339237355E00	1.9753805179E00	1.9339116260E00	1.5401947950E00	1.1423437572E00	7.6232700498E-01	6.2028343715E-01	1.9366635269E00	7.6258239616E-01	1.9375749723E00	1.9219057419E00	1.9353061615E00	1.9194583611E00	1.3181479456E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	6.5383755543E-01	6.2339347123E-01	6.5344158374E-01	7.2601102026E-01	1.3304085091E-01	3.0351909742E-01	8.8683863819E-01	0.0000000000E00	0.0000000000E00	6.3070092726E-01	1.9919133438E00	1.9924552314E00	1.9814244439E00	1.9846028135E00	1.9914713401E00	1.9811141034E00	1.9811141034E00	1.9897285267E00	8.1366133507E-01	8.9025024714E-01	8.4570139760E-01	1.4649533550E00	8.4172708761E-01	1.9450850985E00	1.9504312675E00	1.9339237355E00	1.9753805179E00	1.9339116260E00	1.5401947950E00	1.1423437572E00	7.6232700498E-01	6.2028343715E-01	1.9366635269E00	7.6258239616E-01	1.9375749723E00	1.9219057419E00	1.9353061615E00	1.9194583611E00	1.3181479456E00	
Caplet Vola Monte-Carlo Multi-Curve	1.1235519571E-01	1.0930885104E-01	1.1453166364E-01	2.0836773779E-01	6.1733591690E-01	4.4493390636E-01	3.4339999809E-01	6.3070092726E-01	6.3070092726E-01	0.0000000000E00	1.9844927753E00	1.9855301135E00	1.9644646126E00	1.9705234089E00	1.9836468367E00	1.9638734964E00	1.9638734964E00	1.9803129890E00	2.9420284886E-01	3.7477282561E-01	3.2066867395E-01	1.0848350752E00	3.3509195810E-01	1.8958149705E00	1.9058432884E00	1.8749569404E00	1.9529676551E00	1.8749343679E00	1.2095073824E00	6.6819515288E-01	1.2435527797E00	1.1395341268E00	1.8800671952E00	1.2437360570E00	1.8817686311E00	1.8526158364E00	1.8775346452E00	1.8480811066E00	9.2940894505E-01	
