	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	1.1065306597E-02	2.1529251350E-03	6.7450927824E-02	2.1839756521E-01	1.8362066082E-01	1.6503591213E-01	1.1366213686E-02	1.1341781853E-02	9.3523685793E-02	3.2011274718E-01	3.2020354041E-01	3.1961457035E-01	3.1970593855E-01	3.2007713844E-01	3.1988293036E-01	3.1988296963E-01	3.1980497596E-01	1.7898632606E-01	1.8324114560E-01	1.8214367182E-01	1.8416224662E-01	1.9167006674E-01	3.1444025441E-01	3.1463853014E-01	3.1316036587E-01	3.1322170012E-01	3.1369095804E-01	3.1089389132E-01	2.8502755691E-01	1.0031436723E00	6.9357422552E-01	3.1312005083E-01	1.0037995615E00	3.1292722465E-01	3.1084618962E-01	3.1289389132E-01	3.1089389132E-01	3.0186982720E-01	
Target (LIBOR)	1.1065306597E-02	0.0000000000E00	1.1646357742E-02	7.7571229427E-02	2.0915773833E-01	1.7472365330E-01	1.7546493664E-01	1.1959359119E-03	1.2002465030E-03	8.3197748453E-02	3.3117805378E-01	3.3126884701E-01	3.3067987695E-01	3.3077124515E-01	3.3114244504E-01	3.3094823696E-01	3.3094827623E-01	3.3087028256E-01	1.8967830130E-01	1.9393312084E-01	1.9283564705E-01	1.9485422185E-01	2.0236204198E-01	3.2550556100E-01	3.2570383673E-01	3.2422567247E-01	3.2428700672E-01	3.2475626464E-01	3.2195919791E-01	2.9554574853E-01	9.9725302820E-01	6.8494522506E-01	3.2418535742E-01	9.9790891743E-01	3.2399253124E-01	3.2191149622E-01	3.2395919791E-01	3.2195919791E-01	3.1279637296E-01	
Caplet Vola Analytic Single-Curve	2.1529251350E-03	1.1646357742E-02	0.0000000000E00	6.7847586885E-02	2.1951299355E-01	1.8527226652E-01	1.6582277691E-01	1.1757054037E-02	1.1746989062E-02	9.2947326662E-02	3.1971317982E-01	3.1980397304E-01	3.1921500299E-01	3.1930637118E-01	3.1967757107E-01	3.1948336300E-01	3.1948340227E-01	3.1940540859E-01	1.7959117290E-01	1.8384599244E-01	1.8274851866E-01	1.8476709346E-01	1.9227491358E-01	3.1404068704E-01	3.1423896277E-01	3.1276079851E-01	3.1282213276E-01	3.1329139067E-01	3.1049432395E-01	2.8567550977E-01	1.0013979828E00	6.9278736074E-01	3.1272048346E-01	1.0020538721E00	3.1252765728E-01	3.1044662225E-01	3.1249432395E-01	3.1049432395E-01	3.0125488579E-01	
Caplet Vola Monte-Carlo Single-Curve	6.7450927824E-02	7.7571229427E-02	6.7847586885E-02	0.0000000000E00	2.7863218001E-01	2.4266844576E-01	1.7903785570E-01	7.7766673693E-02	7.7738611957E-02	1.5612017015E-01	3.2504016986E-01	3.2502245455E-01	3.2475583586E-01	3.2479899640E-01	3.2501620018E-01	3.2486223464E-01	3.2486225049E-01	3.2485370261E-01	1.1908658287E-01	1.2905779043E-01	1.2224392862E-01	1.2426250342E-01	1.3177032355E-01	3.2097044153E-01	3.2110771971E-01	3.1992249983E-01	3.1996250020E-01	3.2029133574E-01	3.1564468899E-01	2.9644365431E-01	1.0130728879E00	7.2970138106E-01	3.1755433576E-01	1.0137287772E00	3.1771990414E-01	3.1566842161E-01	3.1764468899E-01	3.1564468899E-01	3.1144365431E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	2.1839756521E-01	2.0915773833E-01	2.1951299355E-01	2.7863218001E-01	0.0000000000E00	4.0046761612E-02	2.9549027431E-01	2.0973093063E-01	2.0975970074E-01	2.5007292718E-01	5.0180187968E-01	5.0204116570E-01	5.0067610787E-01	5.0082634121E-01	5.0186912682E-01	5.0149195930E-01	5.0149208077E-01	5.0143137559E-01	3.6077181589E-01	3.7565812063E-01	3.6392916165E-01	3.6695920623E-01	3.7345555657E-01	4.9722080054E-01	4.9796665880E-01	4.9655100199E-01	4.9665298508E-01	4.9622570758E-01	4.8185277168E-01	4.7888594076E-01	8.2704945757E-01	6.7257876242E-01	4.9548499597E-01	8.2770534681E-01	4.9493631798E-01	4.9291670107E-01	4.9486943094E-01	4.9286943094E-01	4.4888594076E-01	
Caplet Vola Analytic Multi-Curve Ju	1.8362066082E-01	1.7472365330E-01	1.8527226652E-01	2.4266844576E-01	4.0046761612E-02	0.0000000000E00	2.5940881109E-01	1.7543533800E-01	1.7546374282E-01	2.2305636092E-01	4.6320589363E-01	4.6344517965E-01	4.6208012182E-01	4.6223035516E-01	4.6327314077E-01	4.6289597325E-01	4.6289609472E-01	4.6283538954E-01	3.2308195221E-01	3.4117161184E-01	3.2447381142E-01	3.3247269744E-01	3.3340879496E-01	4.5788195829E-01	4.5862781656E-01	4.5666445382E-01	4.5676643692E-01	4.5633915941E-01	4.4180601007E-01	4.3899939260E-01	8.5075225680E-01	6.7710888785E-01	4.5688900992E-01	8.5140814604E-01	4.5634033194E-01	4.5432071503E-01	4.5627344489E-01	4.5427344489E-01	4.0899939260E-01	
Caplet Vola Analytic Multi-Curve Ho	1.6503591213E-01	1.7546493664E-01	1.6582277691E-01	1.7903785570E-01	2.9549027431E-01	2.5940881109E-01	0.0000000000E00	1.7531455342E-01	1.7531301423E-01	1.8334964556E-01	2.6700888937E-01	2.6702917918E-01	2.6662179291E-01	2.6668959223E-01	2.6697349050E-01	2.6680210885E-01	2.6680213593E-01	2.6674277584E-01	1.8061069928E-01	1.7177472853E-01	1.9116933968E-01	1.8647883197E-01	1.9302983462E-01	2.6186875222E-01	2.6204383415E-01	2.6067970880E-01	2.6072456644E-01	2.6116483806E-01	2.5770936286E-01	2.1156221868E-01	1.0074566792E00	8.5861013765E-01	2.5975131271E-01	1.0081125684E00	2.5974643513E-01	2.5769614917E-01	2.5970936286E-01	2.5770936286E-01	2.4770936286E-01	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.1366213686E-02	1.1959359119E-03	1.1757054037E-02	7.7766673693E-02	2.0973093063E-01	1.7543533800E-01	1.7531455342E-01	0.0000000000E00	2.9958943359E-05	8.2831662500E-02	3.3130653874E-01	3.3139733196E-01	3.3080836190E-01	3.3089973010E-01	3.3127092999E-01	3.3107672192E-01	3.3107676119E-01	3.3099876751E-01	1.9035253975E-01	1.9460735929E-01	1.9350988550E-01	1.9552846030E-01	2.0303628043E-01	3.2563404596E-01	3.2583232169E-01	3.2435415743E-01	3.2441549168E-01	3.2488474959E-01	3.2208768287E-01	2.9615593367E-01	9.9844896411E-01	6.8405902207E-01	3.2431384238E-01	9.9910485334E-01	3.2412101620E-01	3.2203998117E-01	3.2408768287E-01	3.2208768287E-01	3.1262258631E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.1341781853E-02	1.2002465030E-03	1.1746989062E-02	7.7738611957E-02	2.0975970074E-01	1.7546374282E-01	1.7531301423E-01	2.9958943359E-05	0.0000000000E00	8.2858836295E-02	3.3129333836E-01	3.3138413159E-01	3.3079516153E-01	3.3088652973E-01	3.3125772962E-01	3.3106352154E-01	3.3106356081E-01	3.3098556714E-01	1.9032810792E-01	1.9458292745E-01	1.9348545367E-01	1.9550402847E-01	2.0301184859E-01	3.2562084559E-01	3.2581912132E-01	3.2434095705E-01	3.2440229130E-01	3.2487154922E-01	3.2207448250E-01	2.9612977381E-01	9.9845327470E-01	6.8407063674E-01	3.2430064201E-01	9.9910916393E-01	3.2410781583E-01	3.2202678080E-01	3.2407448250E-01	3.2207448250E-01	3.1261586120E-01	
Caplet Vola Monte-Carlo Multi-Curve	9.3523685793E-02	8.3197748453E-02	9.2947326662E-02	1.5612017015E-01	2.5007292718E-01	2.2305636092E-01	1.8334964556E-01	8.2831662500E-02	8.2858836295E-02	0.0000000000E00	3.9476164409E-01	3.9494990048E-01	3.9384149714E-01	3.9398514773E-01	3.9479180965E-01	3.9447215134E-01	3.9447224506E-01	3.9419112346E-01	2.6467320714E-01	2.6892802668E-01	2.6783055290E-01	2.6984912770E-01	2.7735694782E-01	3.8917450429E-01	3.8938778566E-01	3.8772742150E-01	3.8785391116E-01	3.8832444213E-01	3.8575416294E-01	3.5500792497E-01	1.0345044331E00	7.4679801357E-01	3.8824138225E-01	1.0351388174E00	3.8773323489E-01	3.8532085517E-01	3.8775416294E-01	3.8575416294E-01	3.5075416294E-01	
