	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.7142857143E-02	9.1798531683E-01	9.2727682291E-01	1.0232871657E00	1.0883289560E00	?	1.1690662902E00	1.1690662902E00	1.0753467645E00	1.9903206514E00	1.9904102176E00	1.9825088395E00	1.9838136379E00	?	1.9854357239E00	1.9854357239E00	1.9835472325E00	9.8705526927E-01	9.9820167789E-01	1.2218215923E00	1.2261782199E00	1.1691363146E00	1.9195817823E00	1.9206099205E00	1.8832185768E00	1.8849447259E00	1.8747608059E00	1.8391023904E00	1.6762308204E00	2.0000000000E00	5.4281261050E-01	1.9607259500E00	2.0000000000E00	1.9610676522E00	1.9221556263E00	1.9606068622E00	1.9219820672E00	1.7512604745E00	
Target (LIBOR)	5.7142857143E-02	0.0000000000E00	9.6250579981E-01	9.7154974349E-01	1.0648634359E00	1.1279351772E00	?	1.2060666914E00	1.2060666914E00	1.1153554238E00	1.9908571639E00	1.9909417768E00	1.9834765565E00	1.9847094427E00	?	1.9862420674E00	1.9862420674E00	1.9844577236E00	1.0296788417E00	1.0405068820E00	1.2570236124E00	1.2612283523E00	1.2061343789E00	1.9239645356E00	1.9249377138E00	1.8895272508E00	1.8911627648E00	1.8815124377E00	1.8477008051E00	1.6928367471E00	2.0000000000E00	5.9533893221E-01	1.9628875979E00	2.0000000000E00	1.9632106674E00	1.9264007403E00	1.9627750031E00	1.9262364680E00	1.7642649395E00	
Caplet Vola Analytic Single-Curve	9.1798531683E-01	9.6250579981E-01	0.0000000000E00	1.6049439395E-02	1.3762080887E-01	2.2705446544E-01	?	3.4314575051E-01	3.4314575051E-01	2.0892056400E-01	1.9740034020E00	1.9742429826E00	1.9531771226E00	1.9566461768E00	?	1.9609641221E00	1.9609641221E00	1.9559375779E00	1.3049673696E-01	1.3740038497E-01	4.2223149383E-01	4.2888166081E-01	3.4324898982E-01	1.7902817819E00	1.7928756518E00	1.6999282078E00	1.7041571746E00	1.6792921516E00	1.5938135878E00	1.2322959966E00	2.0000000000E00	4.2855991565E-01	1.8958210811E00	2.0000000000E00	1.8967127591E00	1.7967794044E00	1.8955103792E00	1.7963408258E00	1.3932220282E00	
Caplet Vola Monte-Carlo Single-Curve	9.2727682291E-01	9.7154974349E-01	1.6049439395E-02	0.0000000000E00	1.2586858989E-01	2.1539544666E-01	?	3.3167826291E-01	3.3167826291E-01	1.9723882600E-01	1.9736967636E00	1.9739391515E00	1.9526277597E00	1.9561370640E00	?	1.9605052096E00	1.9605052096E00	1.9554202375E00	1.2535080421E-01	1.2850360008E-01	4.1094016477E-01	4.1760683290E-01	3.3178170804E-01	1.7879237334E00	1.7905451568E00	1.6966355457E00	1.7009071655E00	1.6757928936E00	1.5894857301E00	1.2249469377E00	2.0000000000E00	4.3980706543E-01	1.8946167112E00	2.0000000000E00	1.8955184210E00	1.7944904532E00	1.8943025148E00	1.7940472027E00	1.3871213809E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.0232871657E00	1.0648634359E00	1.3762080887E-01	1.2586858989E-01	0.0000000000E00	9.0137799981E-02	?	2.0798035752E-01	2.0798035752E-01	7.1968597966E-02	1.9701899893E00	1.9704644525E00	1.9463499687E00	1.9503184822E00	?	1.9552595255E00	1.9552595255E00	1.9495077797E00	1.4415785511E-01	1.3970465436E-01	3.0155027029E-01	3.0834892692E-01	2.2284656901E-01	1.7611382984E00	1.7640701883E00	1.6593571833E00	1.6641060171E00	1.6362053762E00	1.5406765132E00	1.1431414030E00	2.0000000000E00	5.5795386740E-01	1.8808829458E00	2.0000000000E00	1.8818986048E00	1.7684837097E00	1.8805290588E00	1.7679877966E00	1.3188175318E00	
Caplet Vola Analytic Multi-Curve Ju	1.0883289560E00	1.1279351772E00	2.2705446544E-01	2.1539544666E-01	9.0137799981E-02	0.0000000000E00	?	1.1839745360E-01	1.1839745360E-01	2.2906635622E-02	1.9673990978E00	1.9676990479E00	1.9413600782E00	1.9456926164E00	?	1.9510880259E00	1.9510880259E00	1.9448074837E00	1.7689103295E-01	1.6975744014E-01	2.1379646123E-01	2.2067420376E-01	1.5484554870E-01	1.7400568883E00	1.7432298749E00	1.6301760705E00	1.6352911679E00	1.6052549112E00	1.5027102554E00	1.0808462709E00	2.0000000000E00	6.4004427327E-01	1.8700046626E00	2.0000000000E00	1.8711099956E00	1.7480071547E00	1.8696195429E00	1.7474703196E00	1.2663130718E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.1690662902E00	1.2060666914E00	3.4314575051E-01	3.3167826291E-01	2.0798035752E-01	1.1839745360E-01	?	0.0000000000E00	0.0000000000E00	1.3667474662E-01	1.9633339648E00	1.9636709744E00	1.9341019695E00	1.9389624594E00	?	1.9450171889E00	1.9450171889E00	1.9379693593E00	2.6108975002E-01	2.4932300779E-01	1.2872565177E-01	1.3793715908E-01	1.4084484801E-01	1.7097177214E00	1.7132326467E00	1.5884235040E00	1.5940515102E00	1.5610290070E00	1.4487522394E00	9.9425746143E-01	2.0000000000E00	7.4434027258E-01	1.8542412175E00	2.0000000000E00	1.8554755793E00	1.7185260662E00	1.8538111616E00	1.7179311524E00	1.1926173752E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.1690662902E00	1.2060666914E00	3.4314575051E-01	3.3167826291E-01	2.0798035752E-01	1.1839745360E-01	?	0.0000000000E00	0.0000000000E00	1.3667474662E-01	1.9633339648E00	1.9636709744E00	1.9341019695E00	1.9389624594E00	?	1.9450171889E00	1.9450171889E00	1.9379693593E00	2.6108975002E-01	2.4932300779E-01	1.2872565177E-01	1.3793715908E-01	1.4084484801E-01	1.7097177214E00	1.7132326467E00	1.5884235040E00	1.5940515102E00	1.5610290070E00	1.4487522394E00	9.9425746143E-01	2.0000000000E00	7.4434027258E-01	1.8542412175E00	2.0000000000E00	1.8554755793E00	1.7185260662E00	1.8538111616E00	1.7179311524E00	1.1926173752E00	
Caplet Vola Monte-Carlo Multi-Curve	1.0753467645E00	1.1153554238E00	2.0892056400E-01	1.9723882600E-01	7.1968597966E-02	2.2906635622E-02	?	1.3667474662E-01	1.3667474662E-01	0.0000000000E00	1.9679871901E00	1.9682817726E00	1.9424110737E00	1.9466670111E00	?	1.9519667935E00	1.9519667935E00	1.9457975416E00	1.6823355521E-01	1.6223468029E-01	2.3192735172E-01	2.3879176170E-01	1.6725648647E-01	1.7444819122E00	1.7476045300E00	1.6362896990E00	1.6413285925E00	1.6117364534E00	1.5106469968E00	1.0937740018E00	2.0000000000E00	6.2352368461E-01	1.8722931134E00	2.0000000000E00	1.8733796245E00	1.7523058039E00	1.8719145489E00	1.7517775199E00	1.2772442041E00	
Caplet Value Analytic Single-Curve	1.9903206514E00	1.9908571639E00	1.9740034020E00	1.9736967636E00	1.9701899893E00	1.9673990978E00	?	1.9633339648E00	1.9633339648E00	1.9679871901E00	0.0000000000E00	1.2541138103E-02	5.7681850216E-01	5.0466662623E-01	?	4.0416162895E-01	4.0416162895E-01	5.1998245343E-01	1.9715907132E00	1.9711704801E00	1.9602276911E00	1.9599524719E00	1.9633301001E00	1.5770851793E00	1.5720937917E00	1.7014428621E00	1.6971782671E00	1.7207617953E00	1.7811520033E00	1.8927824842E00	2.0000000000E00	1.9831397955E00	1.2138098205E00	2.0000000000E00	1.2082205619E00	1.5643691698E00	1.2157394783E00	1.5652500902E00	1.8588350213E00	
Caplet Value Monte-Carlo Single-Curve	1.9904102176E00	1.9909417768E00	1.9742429826E00	1.9739391515E00	1.9704644525E00	1.9676990479E00	?	1.9636709744E00	1.9636709744E00	1.9682817726E00	1.2541138103E-02	0.0000000000E00	5.8535069010E-01	5.1338182223E-01	?	4.1309146219E-01	4.1309146219E-01	5.2866082232E-01	1.9718523712E00	1.9714359808E00	1.9605929676E00	1.9603202507E00	1.9636671449E00	1.5805966494E00	1.5756417888E00	1.7040072277E00	1.6997762911E00	1.7231726369E00	1.7830718556E00	1.8937505715E00	2.0000000000E00	1.9832955304E00	1.2196795885E00	2.0000000000E00	1.2141218555E00	1.5679734694E00	1.2215983286E00	1.5688479830E00	1.8600986108E00	
Caplet Value Analytic Multi-Curve Fenton-Wilkinson	1.9825088395E00	1.9834765565E00	1.9531771226E00	1.9526277597E00	1.9463499687E00	1.9413600782E00	?	1.9341019695E00	1.9341019695E00	1.9424110737E00	5.7681850216E-01	5.8535069010E-01	0.0000000000E00	7.7814873745E-02	?	1.8334243253E-01	1.8334243253E-01	6.1489541578E-02	1.9488564660E00	1.9481043398E00	1.9285638558E00	1.9280735064E00	1.9340950749E00	1.2948083829E00	1.2880856007E00	1.4902712495E00	1.4834112541E00	1.5214881063E00	1.6205800723E00	1.8099997838E00	2.0000000000E00	1.9695767899E00	7.7214530973E-01	2.0000000000E00	7.6462310276E-01	1.2752285445E00	7.7474572060E-01	1.2765754879E00	1.7515145671E00	
Caplet Value Analytic Multi-Curve Ju	1.9838136379E00	1.9847094427E00	1.9566461768E00	1.9561370640E00	1.9503184822E00	1.9456926164E00	?	1.9389624594E00	1.9389624594E00	1.9466670111E00	5.0466662623E-01	5.1338182223E-01	7.7814873745E-02	0.0000000000E00	?	1.0590529035E-01	1.0590529035E-01	2.0337609549E-02	1.9526417979E00	1.9519446620E00	1.9338259536E00	1.9333711115E00	1.9389560655E00	1.3388087868E00	1.3315307134E00	1.5239060786E00	1.5174361602E00	1.5533266829E00	1.6464872802E00	1.8236033476E00	2.0000000000E00	1.9718394665E00	8.3738179001E-01	2.0000000000E00	8.3009057629E-01	1.3202897531E00	8.3990185802E-01	1.3215702997E00	1.7690517083E00	
Caplet Value Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Value Analytic Multi-Curve Drift-Freeze	1.9854357239E00	1.9862420674E00	1.9609641221E00	1.9605052096E00	1.9552595255E00	1.9510880259E00	?	1.9450171889E00	1.9450171889E00	1.9519667935E00	4.0416162895E-01	4.1309146219E-01	1.8334243253E-01	1.0590529035E-01	?	0.0000000000E00	0.0000000000E00	1.2224339966E-01	1.9573542719E00	1.9567257464E00	1.9403824963E00	1.9399720325E00	1.9450114204E00	1.3952567821E00	1.3884862582E00	1.5666029671E00	1.5606409384E00	1.5936893040E00	1.6791916876E00	1.8406383649E00	2.0000000000E00	1.9746538872E00	9.2282727037E-01	2.0000000000E00	9.1586717070E-01	1.3780242525E00	9.2523228386E-01	1.3792163658E00	1.7910670303E00	
Caplet Value Analytic Multi-Curve Integrated-Expectation	1.9854357239E00	1.9862420674E00	1.9609641221E00	1.9605052096E00	1.9552595255E00	1.9510880259E00	?	1.9450171889E00	1.9450171889E00	1.9519667935E00	4.0416162895E-01	4.1309146219E-01	1.8334243253E-01	1.0590529035E-01	?	0.0000000000E00	0.0000000000E00	1.2224339966E-01	1.9573542719E00	1.9567257464E00	1.9403824963E00	1.9399720325E00	1.9450114204E00	1.3952567821E00	1.3884862582E00	1.5666029671E00	1.5606409384E00	1.5936893040E00	1.6791916876E00	1.8406383649E00	2.0000000000E00	1.9746538872E00	9.2282727037E-01	2.0000000000E00	9.1586717070E-01	1.3780242525E00	9.2523228386E-01	1.3792163658E00	1.7910670303E00	
Caplet Value Monte-Carlo Multi-Curve	1.9835472325E00	1.9844577236E00	1.9559375779E00	1.9554202375E00	1.9495077797E00	1.9448074837E00	?	1.9379693593E00	1.9379693593E00	1.9457975416E00	5.1998245343E-01	5.2866082232E-01	6.1489541578E-02	2.0337609549E-02	?	1.2224339966E-01	1.2224339966E-01	0.0000000000E00	1.9518685454E00	1.9511601674E00	1.9327507077E00	1.9322886023E00	1.9379628630E00	1.3297126393E00	1.3223547615E00	1.5169879731E00	1.5104371015E00	1.5467811041E00	1.6411690204E00	1.8208186988E00	2.0000000000E00	1.9713773987E00	8.2381748929E-01	2.0000000000E00	8.1647669168E-01	1.3109914107E00	8.2635479739E-01	1.3122858466E00	1.7654587159E00	
Swaption Vola Analytic Single-Curve	9.8705526927E-01	1.0296788417E00	1.3049673696E-01	1.2535080421E-01	1.4415785511E-01	1.7689103295E-01	?	2.6108975002E-01	2.6108975002E-01	1.6823355521E-01	1.9715907132E00	1.9718523712E00	1.9488564660E00	1.9526417979E00	?	1.9573542719E00	1.9573542719E00	1.9518685454E00	0.0000000000E00	1.5994815254E-02	3.3610133166E-01	3.4286616756E-01	2.5591171263E-01	1.7717974047E00	1.7746063008E00	1.6741647527E00	1.6787252807E00	1.6519236149E00	1.5600227878E00	1.1753316394E00	2.0000000000E00	5.1295060277E-01	1.8863599476E00	2.0000000000E00	1.8873302624E00	1.7788343048E00	1.8860218544E00	1.7783592589E00	1.3457816970E00	
Swaption Vola Monte-Carlo Single-Curve	9.9820167789E-01	1.0405068820E00	1.3740038497E-01	1.2850360008E-01	1.3970465436E-01	1.6975744014E-01	?	2.4932300779E-01	2.4932300779E-01	1.6223468029E-01	1.9711704801E00	1.9714359808E00	1.9481043398E00	1.9519446620E00	?	1.9567257464E00	1.9567257464E00	1.9511601674E00	1.5994815254E-02	0.0000000000E00	3.2171180245E-01	3.2849328175E-01	2.4135076316E-01	1.7685940035E00	1.7714399402E00	1.6697108441E00	1.6743281852E00	1.6471948804E00	1.5541979585E00	1.1656075754E00	2.0000000000E00	5.2674092702E-01	1.8847155681E00	2.0000000000E00	1.8856995105E00	1.7757238107E00	1.8843727282E00	1.7752424811E00	1.3376482497E00	
Swaption Vola Analytic Multi-Curve Drift-Freeze	1.2218215923E00	1.2570236124E00	4.2223149383E-01	4.1094016477E-01	3.0155027029E-01	2.1379646123E-01	?	1.2872565177E-01	1.2872565177E-01	2.3192735172E-01	1.9602276911E00	1.9605929676E00	1.9285638558E00	1.9338259536E00	?	1.9403824963E00	1.9403824963E00	1.9327507077E00	3.3610133166E-01	3.2171180245E-01	0.0000000000E00	1.1639808742E-02	8.1951834807E-02	1.6868233634E00	1.6905923871E00	1.5571048674E00	1.5631089923E00	1.5279000540E00	1.4085571469E00	9.4534684485E-01	2.0000000000E00	8.1396917504E-01	1.8422606560E00	2.0000000000E00	1.8435923584E00	1.6962695375E00	1.8417967028E00	1.6956314334E00	1.1384116792E00	
Swaption Vola Analytic Multi-Curve Integrated-Expectation	1.2261782199E00	1.2612283523E00	4.2888166081E-01	4.1760683290E-01	3.0834892692E-01	2.2067420376E-01	?	1.3793715908E-01	1.3793715908E-01	2.3879176170E-01	1.9599524719E00	1.9603202507E00	1.9280735064E00	1.9333711115E00	?	1.9399720325E00	1.9399720325E00	1.9322886023E00	3.4286616756E-01	3.2849328175E-01	1.1639808742E-02	0.0000000000E00	8.8904655634E-02	1.6848067991E00	1.6885980419E00	1.5543540004E00	1.5603908087E00	1.5249920159E00	1.4050379566E00	9.4319201724E-01	2.0000000000E00	8.1977271517E-01	1.8412018530E00	2.0000000000E00	1.8425421279E00	1.6943087544E00	1.8407349147E00	1.6936668723E00	1.1336936097E00	
