	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.7142857143E-02	9.1798531683E-01	9.2727682291E-01	1.0178086773E00	1.0645576422E00	?	1.1347365367E00	1.1347366466E00	1.0584754862E00	1.9903206514E00	1.9904102176E00	1.9824276766E00	1.9833638223E00	?	1.9847783924E00	1.9847783944E00	1.9832427578E00	9.8705526927E-01	9.9820167789E-01	1.1891137088E00	1.1990393182E00	1.1490249551E00	1.9195817823E00	1.9206099205E00	1.8776368909E00	1.8803464538E00	1.8711903887E00	1.8391023904E00	1.6762308204E00	2.0000000000E00	5.4281261050E-01	1.9607259500E00	2.0000000000E00	1.9610676522E00	1.9220316687E00	1.9606068622E00	1.9219820672E00	1.7512604745E00	
Target (LIBOR)	5.7142857143E-02	0.0000000000E00	9.6250579981E-01	9.7154974349E-01	1.0595456100E00	1.1048972590E00	?	1.1728666138E00	1.1728667202E00	1.0990002741E00	1.9908571639E00	1.9909417768E00	1.9833998654E00	1.9842844232E00	?	1.9856209974E00	1.9856209993E00	1.9841700315E00	1.0296788417E00	1.0405068820E00	1.2254396082E00	1.2350272295E00	1.1866887411E00	1.9239645356E00	1.9249377138E00	1.8842381055E00	1.8868057607E00	1.8781284473E00	1.8477008051E00	1.6928367471E00	2.0000000000E00	5.9533893221E-01	1.9628875979E00	2.0000000000E00	1.9632106674E00	1.9262834155E00	1.9627750031E00	1.9262364680E00	1.7642649395E00	
Caplet Vola Analytic Single-Curve	9.1798531683E-01	9.6250579981E-01	0.0000000000E00	1.6049439395E-02	1.3024685880E-01	1.9395880193E-01	?	2.9307254863E-01	2.9307270728E-01	1.8556753767E-01	1.9740034020E00	1.9742429826E00	1.9529614617E00	1.9554498260E00	?	1.9592136134E00	1.9592136189E00	1.9551279147E00	1.3049673696E-01	1.3740038497E-01	3.7288868034E-01	3.8775435276E-01	3.1378337611E-01	1.7902817819E00	1.7928756518E00	1.6862936959E00	1.6929047328E00	1.6706228617E00	1.5938135878E00	1.2322959966E00	2.0000000000E00	4.2855991565E-01	1.8958210811E00	2.0000000000E00	1.8967127591E00	1.7964661609E00	1.8955103792E00	1.7963408258E00	1.3932220282E00	
Caplet Vola Monte-Carlo Single-Curve	9.2727682291E-01	9.7154974349E-01	1.6049439395E-02	0.0000000000E00	1.1848906479E-01	1.8225978280E-01	?	2.8151266940E-01	2.8151282832E-01	1.7385940569E-01	1.9736967636E00	1.9739391515E00	1.9524095989E00	1.9549268242E00	?	1.9587343360E00	1.9587343416E00	1.9546011771E00	1.2535080421E-01	1.2850360008E-01	3.6148309819E-01	3.7638167439E-01	3.0225991164E-01	1.7879237334E00	1.7905451568E00	1.6828642472E00	1.6895414695E00	1.6670375728E00	1.5894857301E00	1.2249469377E00	2.0000000000E00	4.3980706543E-01	1.8946167112E00	2.0000000000E00	1.8955184210E00	1.7941738728E00	1.8943025148E00	1.7940472027E00	1.3871213809E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.0178086773E00	1.0595456100E00	1.3024685880E-01	1.1848906479E-01	0.0000000000E00	6.4116881703E-02	?	1.6439449743E-01	1.6439465847E-01	5.5990761005E-02	1.9704083541E00	1.9706808216E00	1.9464957186E00	1.9493217392E00	?	1.9535971797E00	1.9535971859E00	1.9489561188E00	1.4025775291E-01	1.3579133152E-01	2.6028384209E-01	2.7540180315E-01	2.0217598107E-01	1.7627965197E00	1.7657093238E00	1.6464511903E00	1.6538230170E00	1.6289903838E00	1.5436795340E00	1.1481181486E00	2.0000000000E00	5.5111614393E-01	1.8817360168E00	2.0000000000E00	1.8827446219E00	1.7697421732E00	1.8813845867E00	1.7696013803E00	1.3229937024E00	
Caplet Vola Analytic Multi-Curve Ju	1.0645576422E00	1.1048972590E00	1.9395880193E-01	1.8225978280E-01	6.4116881703E-02	0.0000000000E00	?	1.0054255699E-01	1.0054271871E-01	2.1055712646E-02	1.9684636443E00	1.9687538770E00	1.9430020733E00	1.9460100989E00	?	1.9505614265E00	1.9505614331E00	1.9456209155E00	1.5903755040E-01	1.5344894507E-01	1.9768952897E-01	2.1291923420E-01	1.5370265840E-01	1.7480736511E00	1.7511552922E00	1.6252261877E00	1.6329960334E00	1.6068301610E00	1.5171017879E00	1.1043246378E00	2.0000000000E00	6.0984567204E-01	1.8741486331E00	2.0000000000E00	1.8752198665E00	1.7554223896E00	1.8737753898E00	1.7552734092E00	1.2861516703E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.1347365367E00	1.1728666138E00	2.9307254863E-01	2.8151266940E-01	1.6439449743E-01	1.0054255699E-01	?	0.0000000000E00	1.6565359959E-07	1.0898681618E-01	1.9651541477E00	1.9654745731E00	1.9370629577E00	1.9403796767E00	?	1.9453990790E00	1.9453990863E00	1.9399505243E00	2.2046681495E-01	2.1069232057E-01	1.2872565177E-01	1.3939920227E-01	1.3507855495E-01	1.7232488363E00	1.7266119926E00	1.5896214127E00	1.5980475751E00	1.5696851518E00	1.4727188966E00	1.0324404659E00	2.0000000000E00	6.9966318939E-01	1.8612874645E00	2.0000000000E00	1.8624642844E00	1.7312697993E00	1.8608774478E00	1.7311071602E00	1.2252182689E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.1347366466E00	1.1728667202E00	2.9307270728E-01	2.8151282832E-01	1.6439465847E-01	1.0054271871E-01	?	1.6565359959E-07	0.0000000000E00	1.0898697784E-01	1.9651541421E00	1.9654745675E00	1.9370629476E00	1.9403796671E00	?	1.9453990703E00	1.9453990776E00	1.9399505147E00	2.2046691537E-01	2.1069242109E-01	1.2872559209E-01	1.3939912633E-01	1.3507853309E-01	1.7232487945E00	1.7266119513E00	1.5896213530E00	1.5980475164E00	1.5696850895E00	1.4727188224E00	1.0324403470E00	2.0000000000E00	6.9966333168E-01	1.8612874428E00	2.0000000000E00	1.8624642628E00	1.7312697587E00	1.8608774261E00	1.7311071195E00	1.2252181676E00	
Caplet Vola Monte-Carlo Multi-Curve	1.0584754862E00	1.0990002741E00	1.8556753767E-01	1.7385940569E-01	5.5990761005E-02	2.1055712646E-02	?	1.0898681618E-01	1.0898697784E-01	0.0000000000E00	1.9687274723E00	1.9690152959E00	1.9434758748E00	1.9464592353E00	?	1.9509731713E00	1.9509731779E00	1.9460732453E00	1.5704039469E-01	1.5242138363E-01	2.0563888948E-01	2.2085319715E-01	1.6140561489E-01	1.7500651062E00	1.7531239918E00	1.6280923825E00	1.6358087755E00	1.6098219027E00	1.5206855647E00	1.1101967808E00	2.0000000000E00	6.0215557557E-01	1.8751766674E00	2.0000000000E00	1.8762394298E00	1.7573595142E00	1.8748063743E00	1.7572116375E00	1.2911039557E00	
