	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	1.3228278194E-01	1.7773560675E00	1.7774638143E00	1.8809279705E00	1.8810055707E00	?	1.8836227440E00	1.8836227440E00	1.8793151645E00	2.2478291649E00	2.2478293864E00	2.2472780429E00	2.2472783637E00	?	2.2472891826E00	2.2472891826E00	2.2472713765E00	1.7207209207E00	1.7208776690E00	1.8367754503E00	1.8370802458E00	1.8383029572E00	2.2457641061E00	2.2457649886E00	2.2440370112E00	2.2440404904E00	2.2440544485E00	2.2388072929E00	2.2288072929E00	1.0631969885E170	1.2562514616E00	2.2338082839E00	6.0513521793E168	2.2337980415E00	2.2187661358E00	2.2338072929E00	2.2188072929E00	2.2438072929E00	
Target (LIBOR)	1.3228278194E-01	0.0000000000E00	1.9096388494E00	1.9097465962E00	2.0132107524E00	2.0132883526E00	?	2.0159055259E00	2.0159055259E00	2.0115979464E00	2.3801119468E00	2.3801121683E00	2.3795608248E00	2.3795611456E00	?	2.3795719645E00	2.3795719645E00	2.3795541585E00	1.8530037026E00	1.8531604510E00	1.9690582322E00	1.9693630278E00	1.9705857392E00	2.3780468880E00	2.3780477705E00	2.3763197931E00	2.3763232723E00	2.3763372304E00	2.3710900748E00	2.3610900748E00	1.0631969885E170	1.3885342436E00	2.3660910659E00	6.0513521793E168	2.3660808234E00	2.3510489177E00	2.3660900748E00	2.3510900748E00	2.3760900748E00	
Caplet Vola Analytic Single-Curve	1.7773560675E00	1.9096388494E00	0.0000000000E00	2.5229824434E-02	1.0727622863E-01	1.0881623530E-01	?	1.3717816941E-01	1.3717816941E-01	1.1072849340E-01	6.0487058108E-01	6.0498568809E-01	6.0198848461E-01	6.0219930651E-01	?	6.0263389804E-01	6.0263389804E-01	6.0230416252E-01	2.0292017070E-01	2.0914956917E-01	2.9030687313E-01	3.0015792943E-01	2.9350942530E-01	5.9877425056E-01	5.9889790072E-01	5.9522392317E-01	5.9528435936E-01	5.9491342786E-01	5.9055847768E-01	5.8477262716E-01	1.0631969885E170	5.2110460585E-01	5.9383450486E-01	6.0513521793E168	5.9394598457E-01	5.7881050012E-01	5.9358980632E-01	5.7858980632E-01	5.5555847768E-01	
Caplet Vola Monte-Carlo Single-Curve	1.7774638143E00	1.9097465962E00	2.5229824434E-02	0.0000000000E00	1.1016109135E-01	1.1103621185E-01	?	1.3855109122E-01	1.3855109122E-01	1.1258169338E-01	5.8675097895E-01	5.8675869297E-01	5.8326344472E-01	5.8358303593E-01	?	5.8415249171E-01	5.8415249171E-01	5.8345302005E-01	1.8429326547E-01	1.9069420726E-01	2.7167996789E-01	2.8517441486E-01	2.7488252006E-01	5.8287591024E-01	5.8316148750E-01	5.7828636345E-01	5.7842646176E-01	5.7777458272E-01	5.7560408890E-01	5.7032753614E-01	1.0631969885E170	5.2121235265E-01	5.7584640869E-01	6.0513521793E168	5.7611408988E-01	5.6059231039E-01	5.7587622192E-01	5.6087622192E-01	5.4560408890E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.8809279705E00	2.0132107524E00	1.0727622863E-01	1.1016109135E-01	0.0000000000E00	2.9164129496E-02	?	7.8736673533E-02	7.8736673533E-02	5.1856546800E-02	5.3341656377E-01	5.3351984878E-01	5.3011944510E-01	5.3040671089E-01	?	5.3093222904E-01	5.3093222904E-01	5.3052747761E-01	1.8233804612E-01	1.8047550320E-01	2.2120642518E-01	2.3701155588E-01	2.1693506584E-01	5.2821256576E-01	5.2849814301E-01	5.2362301897E-01	5.2376311727E-01	5.2311123823E-01	5.0242182130E-01	5.1566419165E-01	1.0631969885E170	6.2467650885E-01	5.2261001404E-01	6.0513521793E168	5.2268650282E-01	5.0768160608E-01	5.2242182130E-01	5.0742182130E-01	4.6998112912E-01	
Caplet Vola Analytic Multi-Curve Ju	1.8810055707E00	2.0132883526E00	1.0881623530E-01	1.1103621185E-01	2.9164129496E-02	0.0000000000E00	?	4.9664887027E-02	4.9664887027E-02	2.6693938261E-02	5.0915740617E-01	5.0927734779E-01	5.0604125447E-01	5.0629547705E-01	?	5.0678099416E-01	5.0678099416E-01	5.0643477683E-01	1.8273847593E-01	1.8087593301E-01	1.9486792654E-01	2.1067305723E-01	1.9059656719E-01	5.0109489946E-01	5.0138047671E-01	4.9650535267E-01	4.9664545097E-01	4.9599357193E-01	4.8741033038E-01	4.8854652535E-01	1.0631969885E170	6.2475410905E-01	4.9825497437E-01	6.0513521793E168	4.9837332011E-01	4.8333070021E-01	4.9803595558E-01	4.8303595558E-01	4.5330332109E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.8836227440E00	2.0159055259E00	1.3717816941E-01	1.3855109122E-01	7.8736673533E-02	4.9664887027E-02	?	0.0000000000E00	0.0000000000E00	7.5017601898E-02	4.6769631719E-01	4.6781142420E-01	4.6481422071E-01	4.6502504262E-01	?	4.6545963415E-01	4.6545963415E-01	4.6512989863E-01	1.8873934032E-01	1.8687679740E-01	1.5493899195E-01	1.6490685823E-01	1.5814154412E-01	4.6245648605E-01	4.6258013620E-01	4.5890615866E-01	4.5896659485E-01	4.5859566334E-01	4.5519059649E-01	4.4845486265E-01	1.0631969885E170	6.2737128235E-01	4.5665633545E-01	6.0513521793E168	4.5676781516E-01	4.4163233071E-01	4.5641163691E-01	4.4141163691E-01	4.2047247971E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.8836227440E00	2.0159055259E00	1.3717816941E-01	1.3855109122E-01	7.8736673533E-02	4.9664887027E-02	?	0.0000000000E00	0.0000000000E00	7.5017601898E-02	4.6769631719E-01	4.6781142420E-01	4.6481422071E-01	4.6502504262E-01	?	4.6545963415E-01	4.6545963415E-01	4.6512989863E-01	1.8873934032E-01	1.8687679740E-01	1.5493899195E-01	1.6490685823E-01	1.5814154412E-01	4.6245648605E-01	4.6258013620E-01	4.5890615866E-01	4.5896659485E-01	4.5859566334E-01	4.5519059649E-01	4.4845486265E-01	1.0631969885E170	6.2737128235E-01	4.5665633545E-01	6.0513521793E168	4.5676781516E-01	4.4163233071E-01	4.5641163691E-01	4.4141163691E-01	4.2047247971E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.8793151645E00	2.0115979464E00	1.1072849340E-01	1.1258169338E-01	5.1856546800E-02	2.6693938261E-02	?	7.5017601898E-02	7.5017601898E-02	0.0000000000E00	5.2271237074E-01	5.2267541370E-01	5.1914027375E-01	5.1947250460E-01	?	5.2006291507E-01	5.2006291507E-01	5.1916184550E-01	1.8475864815E-01	1.8289610523E-01	1.8741017432E-01	2.0949545252E-01	1.8413585455E-01	4.9901933882E-01	4.9930491608E-01	4.9442979203E-01	4.9456989033E-01	4.9391801130E-01	4.8118490693E-01	4.8647096472E-01	1.0631969885E170	6.2306370282E-01	5.1174433744E-01	6.0513521793E168	5.1214021613E-01	4.9616465529E-01	5.1188285211E-01	4.9688285211E-01	4.4618490693E-01	
