	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	8.5208274879E-02	1.7194720788E00	1.7250518252E00	1.8781676808E00	1.8986560397E00	?	1.9406010789E00	1.9406010789E00	1.8983805930E00	2.9737789453E00	2.9738459874E00	2.9671005330E00	2.9675886231E00	?	2.9685464506E00	2.9685464506E00	2.9676148847E00	1.7040851113E00	1.7105998380E00	1.9262159251E00	1.9339616803E00	1.9100882733E00	2.9183773862E00	2.9191440474E00	2.8815998199E00	2.8839376992E00	2.8781616559E00	2.8496005945E00	2.7165198108E00	7.7999999998E01	1.0590794014E00	2.9333121131E00	7.7999999848E01	2.9335517266E00	2.8851163696E00	2.9332226154E00	2.8851126366E00	2.7906178064E00	
Target (LIBOR)	8.5208274879E-02	0.0000000000E00	1.7714318606E00	1.7769399453E00	1.9249962832E00	1.9450937190E00	?	1.9861237266E00	1.9861237266E00	1.9448636094E00	2.9742506799E00	2.9743140158E00	2.9679408509E00	2.9684020643E00	?	2.9693071213E00	2.9693071213E00	2.9684268820E00	1.7578705163E00	1.7643023594E00	1.9731567543E00	1.9807298231E00	1.9573269687E00	2.9218605715E00	2.9225863036E00	2.8870258822E00	2.8892418361E00	2.8837666211E00	2.8566915344E00	2.7301509847E00	7.7999999998E01	1.1284041564E00	2.9360078403E00	7.7999999848E01	2.9362344841E00	2.8904154296E00	2.9359231918E00	2.8904118008E00	2.8006386882E00	
Caplet Vola Analytic Single-Curve	1.7194720788E00	1.7714318606E00	0.0000000000E00	4.5382381730E-02	2.0355033006E-01	2.1077813359E-01	?	2.7646035731E-01	2.7646035731E-01	2.1479286543E-01	2.1492069166E00	2.1497455050E00	2.1275092193E00	2.1291908658E00	?	2.1325423028E00	2.1325423028E00	2.1296297924E00	3.7906457729E-01	3.9346058697E-01	6.0591349058E-01	6.3129861575E-01	6.0148615679E-01	2.0291873512E00	2.0309953456E00	1.9560249522E00	1.9602825152E00	1.9490075960E00	1.8976057486E00	1.6899960608E00	7.7999999998E01	7.3216720354E-01	2.0684830416E00	7.7999999848E01	2.0693448796E00	1.9647695798E00	2.0674657928E00	1.9639187023E00	1.6855032316E00	
Caplet Vola Monte-Carlo Single-Curve	1.7250518252E00	1.7769399453E00	4.5382381730E-02	0.0000000000E00	2.1033360621E-01	2.1645387150E-01	?	2.8108586962E-01	2.8108586962E-01	2.1978655624E-01	2.1094161190E00	2.1095725236E00	2.0855147112E00	2.0875864857E00	?	2.0914242887E00	2.0914242887E00	2.0871890079E00	3.4639166253E-01	3.6096962442E-01	5.7094613718E-01	6.0395259886E-01	5.6712737884E-01	1.9975195927E00	1.9998813237E00	1.9210776242E00	1.9255735795E00	1.9134257859E00	1.8692604463E00	1.6640279953E00	7.7999999998E01	7.3571010572E-01	2.0290142658E00	7.7999999848E01	2.0304274399E00	1.9243600427E00	2.0289556154E00	1.9252337805E00	1.6719454029E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.8781676808E00	1.9249962832E00	2.0355033006E-01	2.1033360621E-01	0.0000000000E00	6.0248317563E-02	?	1.6969089586E-01	1.6969089586E-01	1.0729264237E-01	2.1401309283E00	2.1406910368E00	2.1140473508E00	2.1162433190E00	?	2.1203763475E00	2.1203763475E00	2.1168016435E00	3.6241169572E-01	3.6140632405E-01	4.9494812920E-01	5.3469259568E-01	4.7596488800E-01	2.0092786291E00	2.0119093444E00	1.9243157189E00	1.9292980207E00	1.9158425111E00	1.8006770945E00	1.6431533436E00	7.7999999998E01	9.1927078424E-01	2.0503128450E00	7.7999999848E01	2.0511415685E00	1.9347588778E00	2.0493904212E00	1.9336563908E00	1.5802162021E00	
Caplet Vola Analytic Multi-Curve Ju	1.8986560397E00	1.9450937190E00	2.1077813359E-01	2.1645387150E-01	6.0248317563E-02	0.0000000000E00	?	1.0957876133E-01	1.0957876133E-01	5.6488796046E-02	2.1350211385E00	2.1356760211E00	2.1085537874E00	2.1107077111E00	?	2.1148539375E00	2.1148539375E00	2.1113681524E00	3.7114952797E-01	3.7018913739E-01	4.4677823510E-01	4.8710422889E-01	4.2829381349E-01	1.9875198558E00	1.9902455671E00	1.8998247164E00	1.9049535695E00	1.8910911342E00	1.8169846551E00	1.6120455426E00	7.7999999998E01	9.3418541406E-01	2.0409675495E00	7.7999999848E01	2.0420018160E00	1.9207649533E00	2.0398790685E00	1.9194772260E00	1.5813839994E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.9406010789E00	1.9861237266E00	2.7646035731E-01	2.8108586962E-01	1.6969089586E-01	1.0957876133E-01	?	0.0000000000E00	0.0000000000E00	1.6578918547E-01	2.1413296128E00	2.1420230150E00	2.1134683143E00	2.1156241908E00	?	2.1199227704E00	2.1199227704E00	2.1161884176E00	3.9962322934E-01	3.9884984532E-01	3.7236209300E-01	3.9983614056E-01	3.7214266463E-01	1.9928674426E00	1.9951352930E00	1.9019822514E00	1.9072133584E00	1.8933478665E00	1.8340598529E00	1.5846734855E00	7.7999999998E01	9.6711490832E-01	2.0380805572E00	7.7999999848E01	2.0391759708E00	1.9071256557E00	2.0367803086E00	1.9060470133E00	1.5772556423E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.9406010789E00	1.9861237266E00	2.7646035731E-01	2.8108586962E-01	1.6969089586E-01	1.0957876133E-01	?	0.0000000000E00	0.0000000000E00	1.6578918547E-01	2.1413296128E00	2.1420230150E00	2.1134683143E00	2.1156241908E00	?	2.1199227704E00	2.1199227704E00	2.1161884176E00	3.9962322934E-01	3.9884984532E-01	3.7236209300E-01	3.9983614056E-01	3.7214266463E-01	1.9928674426E00	1.9951352930E00	1.9019822514E00	1.9072133584E00	1.8933478665E00	1.8340598529E00	1.5846734855E00	7.7999999998E01	9.6711490832E-01	2.0380805572E00	7.7999999848E01	2.0391759708E00	1.9071256557E00	2.0367803086E00	1.9060470133E00	1.5772556423E00	
Caplet Vola Monte-Carlo Multi-Curve	1.8983805930E00	1.9448636094E00	2.1479286543E-01	2.1978655624E-01	1.0729264237E-01	5.6488796046E-02	?	1.6578918547E-01	1.6578918547E-01	0.0000000000E00	2.1987448859E00	2.1987463457E00	2.1698855000E00	2.1724042990E00	?	2.1770647508E00	2.1770647508E00	2.1711873657E00	3.7582254703E-01	3.7489664471E-01	4.3041653549E-01	4.8521916560E-01	4.1447125336E-01	1.9851668668E00	1.9878987908E00	1.8973037178E00	1.9024411923E00	1.8885542260E00	1.7987843577E00	1.6091616245E00	7.7999999998E01	9.3269916050E-01	2.1026543918E00	7.7999999848E01	2.1048491223E00	1.9776357553E00	2.1030256632E00	1.9803779195E00	1.5606161364E00	
