	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	1.3228278194E-01	1.7773560675E00	1.7774638143E00	1.8809656961E00	1.8810387540E00	?	1.8822618161E00	1.8822618534E00	1.8779822159E00	2.2478291649E00	2.2478293864E00	2.2472781988E00	2.2472785008E00	?	2.2472835566E00	2.2472835567E00	2.2472658673E00	1.7207209207E00	1.7208776690E00	1.8352399373E00	1.8355998824E00	1.8369248981E00	2.2457641061E00	2.2457649886E00	2.2440194853E00	2.2440235934E00	2.2440387171E00	2.2388072929E00	2.2288072929E00	1.0631969885E170	1.2562514616E00	2.2338082839E00	6.0513521793E168	2.2337980415E00	2.2187661103E00	2.2338072929E00	2.2188072929E00	2.2438072929E00	
Target (LIBOR)	1.3228278194E-01	0.0000000000E00	1.9096388494E00	1.9097465962E00	2.0132484780E00	2.0133215360E00	?	2.0145445981E00	2.0145446353E00	2.0102649978E00	2.3801119468E00	2.3801121683E00	2.3795609808E00	2.3795612828E00	?	2.3795663385E00	2.3795663387E00	2.3795486493E00	1.8530037026E00	1.8531604510E00	1.9675227192E00	1.9678826643E00	1.9692076801E00	2.3780468880E00	2.3780477705E00	2.3763022673E00	2.3763063753E00	2.3763214990E00	2.3710900748E00	2.3610900748E00	1.0631969885E170	1.3885342436E00	2.3660910659E00	6.0513521793E168	2.3660808234E00	2.3510488923E00	2.3660900748E00	2.3510900748E00	2.3760900748E00	
Caplet Vola Analytic Single-Curve	1.7773560675E00	1.9096388494E00	0.0000000000E00	2.5229824434E-02	1.0728709464E-01	1.0879126939E-01	?	1.3542136664E-01	1.3542193128E-01	1.0959940195E-01	6.0487058108E-01	6.0498568809E-01	6.0198849858E-01	6.0219751099E-01	?	6.0261413056E-01	6.0261413682E-01	6.0229096371E-01	2.0292017070E-01	2.0914956917E-01	2.8915066307E-01	2.9935299589E-01	2.9221223843E-01	5.9877425056E-01	5.9889790072E-01	5.9519057548E-01	5.9525864988E-01	5.9488951203E-01	5.9055847768E-01	5.8477262716E-01	1.0631969885E170	5.2110460585E-01	5.9383450486E-01	6.0513521793E168	5.9394598457E-01	5.7880380534E-01	5.9358980632E-01	5.7858980632E-01	5.5555847768E-01	
Caplet Vola Monte-Carlo Single-Curve	1.7774638143E00	1.9097465962E00	2.5229824434E-02	0.0000000000E00	1.1017859441E-01	1.1102635022E-01	?	1.3686713168E-01	1.3686759112E-01	1.1124708183E-01	5.8675097895E-01	5.8675869297E-01	5.8326345006E-01	5.8358029757E-01	?	5.8413135882E-01	5.8413136502E-01	5.8342995932E-01	1.8429326547E-01	1.9069420726E-01	2.7052375783E-01	2.8436948132E-01	2.7358533319E-01	5.8287591024E-01	5.8316148750E-01	5.7824646477E-01	5.7840083758E-01	5.7774568822E-01	5.7560408890E-01	5.7032753614E-01	1.0631969885E170	5.2121235265E-01	5.7584640869E-01	6.0513521793E168	5.7611408988E-01	5.6056164067E-01	5.7587622192E-01	5.6087622192E-01	5.4560408890E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.8809656961E00	2.0132484780E00	1.0728709464E-01	1.1017859441E-01	0.0000000000E00	2.8912633241E-02	?	7.7140139076E-02	7.7140462946E-02	4.8559711417E-02	5.3341586802E-01	5.3351915303E-01	5.3011875712E-01	5.3040358076E-01	?	5.3091068486E-01	5.3091069146E-01	5.3050506408E-01	1.8235554917E-01	1.8049300626E-01	2.2002935050E-01	2.3620601540E-01	2.1539207961E-01	5.2821203253E-01	5.2849760978E-01	5.2358258706E-01	5.2373695987E-01	5.2308181050E-01	5.0242112555E-01	5.1566365843E-01	1.0631969885E170	6.2471423442E-01	5.2260931829E-01	6.0513521793E168	5.2268580707E-01	5.0765573062E-01	5.2242112555E-01	5.0742112555E-01	4.6997958327E-01	
Caplet Vola Analytic Multi-Curve Ju	1.8810387540E00	2.0133215360E00	1.0879126939E-01	1.1102635022E-01	2.8912633241E-02	0.0000000000E00	?	4.8345990818E-02	4.8346273070E-02	2.9421634614E-02	5.0934864218E-01	5.0946858379E-01	5.0623250076E-01	5.0648456331E-01	?	5.0695179390E-01	5.0695180049E-01	5.0660840663E-01	1.8274459176E-01	1.8088204884E-01	1.9391213553E-01	2.1008880043E-01	1.8927486464E-01	5.0132268018E-01	5.0160825744E-01	4.9669323471E-01	4.9684760752E-01	4.9619245815E-01	4.8752381771E-01	4.8877430608E-01	1.0631969885E170	6.2478729239E-01	4.9844621037E-01	6.0513521793E168	4.9856455611E-01	4.8350743066E-01	4.9822719158E-01	4.8322719158E-01	4.5343475242E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.8822618161E00	2.0145445981E00	1.3542136664E-01	1.3686713168E-01	7.7140139076E-02	4.8345990818E-02	?	0.0000000000E00	5.6583602259E-07	7.6303900591E-02	4.6945306994E-01	4.6956817696E-01	4.6657098744E-01	4.6677999985E-01	?	4.6719661942E-01	4.6719662568E-01	4.6687345258E-01	1.8729525911E-01	1.8543271619E-01	1.5551640080E-01	1.6583404765E-01	1.5857797615E-01	4.6420226985E-01	4.6432592001E-01	4.6061859477E-01	4.6068666917E-01	4.6031753132E-01	4.5692421541E-01	4.5020064645E-01	1.0631969885E170	6.2601035450E-01	4.5841313822E-01	6.0513521793E168	4.5852461793E-01	4.4338243870E-01	4.5816843968E-01	4.4316843968E-01	4.2218851569E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.8822618534E00	2.0145446353E00	1.3542193128E-01	1.3686759112E-01	7.7140462946E-02	4.8346273070E-02	?	5.6583602259E-07	0.0000000000E00	7.6304360037E-02	4.6945251331E-01	4.6956762033E-01	4.6657043081E-01	4.6677944322E-01	?	4.6719606279E-01	4.6719606905E-01	4.6687289595E-01	1.8729534557E-01	1.8543280265E-01	1.5551591696E-01	1.6583350963E-01	1.5857749232E-01	4.6420175305E-01	4.6432540321E-01	4.6061807798E-01	4.6068615238E-01	4.6031701452E-01	4.5692373157E-01	4.5020012965E-01	1.0631969885E170	6.2601039171E-01	4.5841257357E-01	6.0513521793E168	4.5852405329E-01	4.4338187406E-01	4.5816787504E-01	4.4316787504E-01	4.2218807366E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.8779822159E00	2.0102649978E00	1.0959940195E-01	1.1124708183E-01	4.8559711417E-02	2.9421634614E-02	?	7.6303900591E-02	7.6304360037E-02	0.0000000000E00	5.2568262897E-01	5.2564567193E-01	5.2211053627E-01	5.2243988976E-01	?	5.2301200354E-01	5.2301200931E-01	5.2209822968E-01	1.8342403660E-01	1.8156149368E-01	1.9003425478E-01	2.1265315315E-01	1.8406891600E-01	5.0083221695E-01	5.0111779421E-01	4.9620277148E-01	4.9635714429E-01	4.9570199492E-01	4.8241515525E-01	4.8828384285E-01	1.0631969885E170	6.2173075426E-01	5.1471459568E-01	6.0513521793E168	5.1511047436E-01	4.9907513317E-01	5.1485311035E-01	4.9985311035E-01	4.4741515525E-01	
