	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.7987730221E-02	9.5034639638E-01	9.5959786512E-01	1.0409240411E00	1.0606163566E00	?	1.1077044381E00	1.1077059168E00	1.0618630804E00	2.0200447244E00	2.0201349852E00	2.0121266091E00	2.0125383517E00	?	2.0135182756E00	2.0135183052E00	2.0125630434E00	1.0157446768E00	1.0271899493E00	1.1618094524E00	1.1761866213E00	1.1434720010E00	1.9508503146E00	1.9518832478E00	1.9007103091E00	1.9042479716E00	1.8975609373E00	1.8780167299E00	1.7100751465E00	?	5.6696349714E-01	1.9902967050E00	?	1.9906359033E00	1.9514260525E00	1.9901759964E00	1.9515554996E00	1.7940853572E00	
Target (LIBOR)	5.7987730221E-02	0.0000000000E00	9.9439891576E-01	1.0034188633E00	1.0823975381E00	1.1015972845E00	?	1.1474095480E00	1.1474109837E00	1.1027966958E00	2.0205726846E00	2.0206579538E00	2.0130914816E00	2.0134805534E00	?	2.0144064991E00	2.0144065270E00	2.0135038829E00	1.0581265083E00	1.0692494913E00	1.1998742252E00	1.2138065937E00	1.1820207364E00	1.9551317510E00	1.9561096627E00	1.9076213796E00	1.9109773733E00	1.9046337473E00	1.8860485700E00	1.7262427875E00	?	6.1917690289E-01	1.9924581924E00	?	1.9927788995E00	1.9556865827E00	1.9923440662E00	1.9558091402E00	1.8062736608E00	
Caplet Vola Analytic Single-Curve	9.5034639638E-01	9.9439891576E-01	0.0000000000E00	2.1036968156E-02	1.1930977069E-01	1.4443577697E-01	?	2.1140056666E-01	2.1140271703E-01	1.4788222959E-01	1.9788380668E00	1.9790826399E00	1.9572572445E00	1.9583908527E00	?	1.9610825158E00	1.9610825963E00	1.9584521368E00	1.6765291897E-01	1.7691907379E-01	3.2131882373E-01	3.4466265782E-01	2.9938608576E-01	1.7946594873E00	1.7973062582E00	1.6682438521E00	1.6771112243E00	1.6602477562E00	1.6113718037E00	1.2537807426E00	?	4.3891569502E-01	1.9007146792E00	?	1.9016230614E00	1.8008785729E00	1.9003958047E00	1.8012364649E00	1.4147707217E00	
Caplet Vola Monte-Carlo Single-Curve	9.5959786512E-01	1.0034188633E00	2.1036968156E-02	0.0000000000E00	1.0870676860E-01	1.3338157405E-01	?	2.0006693681E-01	2.0006906542E-01	1.3603455898E-01	1.9778864571E00	1.9781308078E00	1.9560546803E00	1.9572018316E00	?	1.9599252355E00	1.9599253169E00	1.9572613896E00	1.5868401273E-01	1.6701442560E-01	3.0904450862E-01	3.3259390305E-01	2.8699326010E-01	1.7917200318E00	1.7943892809E00	1.6640604046E00	1.6730205362E00	1.6559626054E00	1.6062687537E00	1.2473651321E00	?	4.4993935273E-01	1.8988544561E00	?	1.8997802909E00	1.7979259913E00	1.8985390162E00	1.7982928187E00	1.4078626531E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.0409240411E00	1.0823975381E00	1.1930977069E-01	1.0870676860E-01	0.0000000000E00	3.1744828342E-02	?	1.0595929539E-01	1.0596144465E-01	4.0234262092E-02	1.9764405055E00	1.9767134414E00	1.9521942766E00	1.9534722350E00	?	1.9565038631E00	1.9565039535E00	1.9535391157E00	1.5601859790E-01	1.5500547696E-01	2.3254196457E-01	2.5685779008E-01	2.1273352739E-01	1.7710464815E00	1.7739706745E00	1.6313887504E00	1.6412019071E00	1.6224626842E00	1.5656405255E00	1.1905580073E00	?	5.4972903174E-01	1.8893972659E00	?	1.8904168290E00	1.7786006668E00	1.8890440531E00	1.7790071394E00	1.3503354846E00	
Caplet Vola Analytic Multi-Curve Ju	1.0606163566E00	1.1015972845E00	1.4443577697E-01	1.3338157405E-01	3.1744828342E-02	0.0000000000E00	?	7.4322847252E-02	7.4325004818E-02	2.4675374830E-02	1.9750395977E00	1.9753206468E00	1.9501430447E00	1.9514532613E00	?	1.9545626816E00	1.9545627744E00	1.9515227655E00	1.6088462197E-01	1.5708975336E-01	2.0914200192E-01	2.3267952249E-01	1.9331459595E-01	1.7643135733E00	1.7673117388E00	1.6214732673E00	1.6314655258E00	1.6124041750E00	1.5558248489E00	1.1715632283E00	?	5.7399767185E-01	1.8855087121E00	?	1.8865531175E00	1.7717608456E00	1.8851450214E00	1.7721738504E00	1.3370319499E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.1077044381E00	1.1474095480E00	2.1140056666E-01	2.0006693681E-01	1.0595929539E-01	7.4322847252E-02	?	0.0000000000E00	2.2636205833E-06	7.7827132937E-02	1.9727481675E00	1.9730494902E00	1.9461971523E00	1.9475900182E00	?	1.9508981110E00	1.9508982100E00	1.9476653786E00	1.9388937995E-01	1.8517144881E-01	1.6415091740E-01	1.8392726798E-01	1.6219863350E-01	1.7485301620E00	1.7517158664E00	1.5977206869E00	1.6081692007E00	1.5882858956E00	1.5323099412E00	1.1265894181E00	?	6.3347742102E-01	1.8769445275E00	?	1.8780537072E00	1.7557859366E00	1.8765551498E00	1.7562174005E00	1.3049399898E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.1077059168E00	1.1474109837E00	2.1140271703E-01	2.0006906542E-01	1.0596144465E-01	7.4325004818E-02	?	2.2636205833E-06	0.0000000000E00	7.7829163383E-02	1.9727480366E00	1.9730493598E00	1.9461969675E00	1.9475898361E00	?	1.9508979355E00	1.9508980345E00	1.9476651967E00	1.9389062306E-01	1.8517254257E-01	1.6414967655E-01	1.8392588513E-01	1.6219782002E-01	1.7485296080E00	1.7517153176E00	1.5977198835E00	1.6081684122E00	1.5882850777E00	1.5323090256E00	1.1265880733E00	?	6.3347929408E-01	1.8769441978E00	?	1.8780533794E00	1.7557853720E00	1.8765548194E00	1.7562168367E00	1.3049387823E00	
Caplet Vola Monte-Carlo Multi-Curve	1.0618630804E00	1.1027966958E00	1.4788222959E-01	1.3603455898E-01	4.0234262092E-02	2.4675374830E-02	?	7.7827132937E-02	7.7829163383E-02	0.0000000000E00	1.9755306097E00	1.9758105231E00	1.9505957626E00	1.9519085680E00	?	1.9550233009E00	1.9550233938E00	1.9519640572E00	1.6409244783E-01	1.6079049001E-01	2.1054020256E-01	2.3411462661E-01	1.9535212990E-01	1.7642108358E00	1.7672259718E00	1.6209851486E00	1.6310240211E00	1.6118853006E00	1.5558423026E00	1.1708158771E00	?	5.7559777477E-01	1.8858795944E00	?	1.8869244260E00	1.7719577741E00	1.8855189613E00	1.7724065308E00	1.3366807534E00	
Caplet Value Analytic Single-Curve	2.0200447244E00	2.0205726846E00	1.9788380668E00	1.9778864571E00	1.9764405055E00	1.9750395977E00	?	1.9727481675E00	1.9727480366E00	1.9755306097E00	0.0000000000E00	1.6571426205E-02	6.1493435831E-01	5.9000018329E-01	?	5.2885315073E-01	5.2885134473E-01	5.8987518588E-01	1.9882921426E00	1.9868232694E00	1.9819215217E00	1.9843803903E00	1.9841277281E00	1.8406685579E00	1.8346927490E00	1.9981205269E00	1.9765773378E00	2.0060825333E00	2.2167596627E00	2.3113405218E00	?	1.9903170268E00	1.2171417615E00	?	1.2122228464E00	1.5667943824E00	1.2189602300E00	1.5660196467E00	2.1465554485E00	
Caplet Value Monte-Carlo Single-Curve	2.0201349852E00	2.0206579538E00	1.9790826399E00	1.9781308078E00	1.9767134414E00	1.9753206468E00	?	1.9730494902E00	1.9730493598E00	1.9758105231E00	1.6571426205E-02	0.0000000000E00	6.2338531218E-01	5.9854577749E-01	?	5.3761171135E-01	5.3760990638E-01	5.9829615178E-01	1.9885517810E00	1.9870860333E00	1.9822390124E00	1.9847052916E00	1.9844340801E00	1.8442647230E00	1.8383182325E00	2.0004823684E00	1.9790058862E00	2.0083769032E00	2.2185857096E00	2.3123975278E00	?	1.9904739907E00	1.2229292141E00	?	1.2180945230E00	1.5703722079E00	1.2247905902E00	1.5696113982E00	2.1477608824E00	
Caplet Value Analytic Multi-Curve Fenton-Wilkinson	2.0121266091E00	2.0130914816E00	1.9572572445E00	1.9560546803E00	1.9521942766E00	1.9501430447E00	?	1.9461971523E00	1.9461969675E00	1.9505957626E00	6.1493435831E-01	6.2338531218E-01	0.0000000000E00	2.7214545216E-02	?	9.3054382840E-02	9.3056270127E-02	3.4563999003E-02	1.9648308293E00	1.9630245841E00	1.9532729269E00	1.9551398234E00	1.9562309599E00	1.5449486546E00	1.5362388201E00	1.7960788074E00	1.7699439628E00	1.8079200513E00	2.0384892480E00	2.2251929061E00	?	1.9764212197E00	7.7464330644E-01	?	7.6876482333E-01	1.2715235508E00	7.7706532053E-01	1.2704811319E00	2.0280997947E00	
Caplet Value Analytic Multi-Curve Ju	2.0125383517E00	2.0134805534E00	1.9583908527E00	1.9572018316E00	1.9534722350E00	1.9514532613E00	?	1.9475900182E00	1.9475898361E00	1.9519085680E00	5.9000018329E-01	5.9854577749E-01	2.7214545216E-02	0.0000000000E00	?	6.5900891776E-02	6.5902780516E-02	2.1247544870E-02	1.9660626990E00	1.9642740791E00	1.9547750878E00	1.9566706927E00	1.9576981682E00	1.5594871290E00	1.5508992687E00	1.8063612208E00	1.7804313870E00	1.8180398328E00	2.0479699378E00	2.2295643587E00	?	1.9771476175E00	7.9391107506E-01	?	7.8799028806E-01	1.2857324382E00	7.9631138227E-01	1.2846920881E00	2.0344758632E00	
