	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	8.8712230371E-02	9.4888820405E-01	9.5545013461E-01	1.0037268992E00	1.0126449038E00	?	1.0402311370E00	1.0402311370E00	1.0185440673E00	1.5044496884E00	1.5044836206E00	1.5013313052E00	1.5014326169E00	?	1.5017533593E00	1.5017533593E00	1.5015008935E00	9.9669121006E-01	1.0041991929E00	1.0771110367E00	1.0868304368E00	1.0707922143E00	1.4771660053E00	1.4775696047E00	1.4550805338E00	1.4566499047E00	1.4544360648E00	1.4449027881E00	1.3752874035E00	2.7261461245E168	6.4386969892E-01	1.4931537118E00	1.5516287669E167	1.4932850991E00	1.4781491850E00	1.4931079163E00	1.4781079163E00	1.4081079163E00	
Target (LIBOR)	8.8712230371E-02	0.0000000000E00	1.0376004344E00	1.0441623650E00	1.0924391296E00	1.1013571342E00	?	1.1289433674E00	1.1289433674E00	1.1072562976E00	1.5931619188E00	1.5931958510E00	1.5900435356E00	1.5901448473E00	?	1.5904655897E00	1.5904655897E00	1.5902131239E00	1.0854034404E00	1.0929114232E00	1.1658232671E00	1.1755426672E00	1.1595044446E00	1.5658782357E00	1.5662818351E00	1.5437927642E00	1.5453621350E00	1.5431482952E00	1.5336150185E00	1.4639996339E00	2.7261461245E168	7.3258192929E-01	1.5818659422E00	1.5516287669E167	1.5819973294E00	1.5668614154E00	1.5818201467E00	1.5668201467E00	1.4968201467E00	
Caplet Vola Analytic Single-Curve	9.4888820405E-01	1.0376004344E00	0.0000000000E00	8.9225052272E-03	5.4838695148E-02	6.3756699785E-02	?	9.1342932962E-02	9.1342932962E-02	6.9655863204E-02	5.5556148437E-01	5.5559541653E-01	5.5244310117E-01	5.5254441289E-01	?	5.5286515527E-01	5.5286515527E-01	5.5261268947E-01	6.9857279541E-02	7.3037128170E-02	1.2822283268E-01	1.3794223276E-01	1.2190401021E-01	5.2827780125E-01	5.2868140068E-01	5.0619232975E-01	5.0776170060E-01	5.0554786077E-01	4.9601458405E-01	4.2639919944E-01	2.7261461245E168	3.0501850513E-01	5.4426550779E-01	1.5516287669E167	5.4439689500E-01	5.2926098098E-01	5.4421971226E-01	5.2921971226E-01	4.5921971226E-01	
Caplet Vola Monte-Carlo Single-Curve	9.5545013461E-01	1.0441623650E00	8.9225052272E-03	0.0000000000E00	4.8276764591E-02	5.7194769228E-02	?	8.4781002405E-02	8.4781002405E-02	6.3093932648E-02	5.4899955382E-01	5.4903348597E-01	5.4588117062E-01	5.4598248234E-01	?	5.4630322471E-01	5.4630322471E-01	5.4605075891E-01	6.6691296401E-02	6.7886299819E-02	1.2166090212E-01	1.3138030220E-01	1.1534207965E-01	5.2171587069E-01	5.2211947013E-01	4.9963039919E-01	5.0119977005E-01	4.9898593021E-01	4.8945265350E-01	4.1983726888E-01	2.7261461245E168	3.1158043569E-01	5.3770357723E-01	1.5516287669E167	5.3783496445E-01	5.2269905043E-01	5.3765778170E-01	5.2265778170E-01	4.5265778170E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.0037268992E00	1.0924391296E00	5.4838695148E-02	4.8276764591E-02	0.0000000000E00	8.9180046368E-03	?	3.6504237814E-02	3.6504237814E-02	1.5725649716E-02	5.0072278923E-01	5.0075672138E-01	4.9760440603E-01	4.9770571775E-01	?	4.9802646012E-01	4.9802646012E-01	4.9777399432E-01	6.5716615726E-02	6.3735440539E-02	8.1535019310E-02	9.1100101297E-02	7.6855046088E-02	4.7343910610E-01	4.7384270554E-01	4.5135363460E-01	4.5292300546E-01	4.5070916562E-01	4.4117588891E-01	3.7156050429E-01	2.7261461245E168	3.5985720028E-01	4.8942681264E-01	1.5516287669E167	4.8955819986E-01	4.7442228584E-01	4.8938101711E-01	4.7438101711E-01	4.0438101711E-01	
Caplet Vola Analytic Multi-Curve Ju	1.0126449038E00	1.1013571342E00	6.3756699785E-02	5.7194769228E-02	8.9180046368E-03	0.0000000000E00	?	2.7586233177E-02	2.7586233177E-02	1.1037760876E-02	4.9180478459E-01	4.9183871674E-01	4.8868640139E-01	4.8878771311E-01	?	4.8910845548E-01	4.8910845548E-01	4.8885598968E-01	6.6011740715E-02	6.3725633224E-02	7.3312433814E-02	8.2257780391E-02	7.0306686657E-02	4.6452110147E-01	4.6492470090E-01	4.4243562996E-01	4.4400500082E-01	4.4179116098E-01	4.3225788427E-01	3.6264249965E-01	2.7261461245E168	3.6877520492E-01	4.8050880800E-01	1.5516287669E167	4.8064019522E-01	4.6550428120E-01	4.8046301247E-01	4.6546301247E-01	3.9546301247E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.0402311370E00	1.1289433674E00	9.1342932962E-02	8.4781002405E-02	3.6504237814E-02	2.7586233177E-02	?	0.0000000000E00	0.0000000000E00	2.1687069758E-02	4.6421855141E-01	4.6425248357E-01	4.6110016821E-01	4.6120147993E-01	?	4.6152222231E-01	4.6152222231E-01	4.6126975651E-01	7.3454558249E-02	7.0605180148E-02	5.7854048800E-02	6.3157272182E-02	5.8173664126E-02	4.3693486829E-01	4.3733846772E-01	4.1484939678E-01	4.1641876764E-01	4.1420492780E-01	4.0467165109E-01	3.3505626648E-01	2.7261461245E168	3.9636143810E-01	4.5292257482E-01	1.5516287669E167	4.5305396204E-01	4.3791804802E-01	4.5287677930E-01	4.3787677930E-01	3.6787677930E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.0402311370E00	1.1289433674E00	9.1342932962E-02	8.4781002405E-02	3.6504237814E-02	2.7586233177E-02	?	0.0000000000E00	0.0000000000E00	2.1687069758E-02	4.6421855141E-01	4.6425248357E-01	4.6110016821E-01	4.6120147993E-01	?	4.6152222231E-01	4.6152222231E-01	4.6126975651E-01	7.3454558249E-02	7.0605180148E-02	5.7854048800E-02	6.3157272182E-02	5.8173664126E-02	4.3693486829E-01	4.3733846772E-01	4.1484939678E-01	4.1641876764E-01	4.1420492780E-01	4.0467165109E-01	3.3505626648E-01	2.7261461245E168	3.9636143810E-01	4.5292257482E-01	1.5516287669E167	4.5305396204E-01	4.3791804802E-01	4.5287677930E-01	4.3787677930E-01	3.6787677930E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.0185440673E00	1.1072562976E00	6.9655863204E-02	6.3093932648E-02	1.5725649716E-02	1.1037760876E-02	?	2.1687069758E-02	2.1687069758E-02	0.0000000000E00	4.8590562117E-01	4.8593955332E-01	4.8278723797E-01	4.8288854969E-01	?	4.8320929206E-01	4.8320929206E-01	4.8295682626E-01	6.8992461926E-02	6.6971098250E-02	7.0181638840E-02	7.7619667793E-02	6.8915322426E-02	4.5862193805E-01	4.5902553748E-01	4.3653646654E-01	4.3810583740E-01	4.3589199756E-01	4.2635872085E-01	3.5674333623E-01	2.7261461245E168	3.7467436834E-01	4.7460964458E-01	1.5516287669E167	4.7474103180E-01	4.5960511778E-01	4.7456384905E-01	4.5956384905E-01	3.8956384905E-01	
