	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.8407657944E-02	3.3420364134E-01	3.4575675411E-01	4.2213615328E-01	4.2859100813E-01	8.7663017593E-01	4.5829256707E-01	4.5829256707E-01	4.3948405367E-01	2.0244804281E00	2.0246728201E00	2.0075602887E00	2.0078552790E00	2.0394261644E00	2.0090973261E00	2.0090973261E00	2.0082651064E00	4.2747873872E-01	4.4118741776E-01	5.4338373323E-01	5.6142589413E-01	5.4704115630E-01	1.8821162420E00	1.8842313750E00	1.7673564444E00	1.7747024394E00	1.7672324595E00	1.7510952667E00	1.4229113979E00	1.2489746217E01	2.0557847554E-01	1.9632794156E00	1.2489746202E01	1.9639650652E00	1.8853729091E00	1.9630228334E00	1.8850490247E00	1.5968631358E00	
Target (LIBOR)	5.8407657944E-02	0.0000000000E00	3.8244628997E-01	3.9419652706E-01	4.7134152166E-01	4.7819139069E-01	9.2252668019E-01	5.0910174652E-01	5.0910174652E-01	4.8933809523E-01	2.0255743063E00	2.0257561091E00	2.0095807797E00	2.0098596959E00	2.0396948577E00	2.0110340265E00	2.0110340265E00	2.0102471717E00	4.7535339486E-01	4.8925517843E-01	5.9278236328E-01	6.1095573392E-01	5.9584724176E-01	1.8907391827E00	1.8927465381E00	1.7815989951E00	1.7886055255E00	1.7814769664E00	1.7658104227E00	1.4514419312E00	1.2489746217E01	1.6467776304E-01	1.9676916612E00	1.2489746202E01	1.9683407125E00	1.8938644687E00	1.9674488108E00	1.8935572485E00	1.6182248660E00	
Caplet Vola Analytic Single-Curve	3.3420364134E-01	3.8244628997E-01	0.0000000000E00	2.1036968156E-02	9.4272528877E-02	1.0321981822E-01	6.0372126972E-01	1.4394406871E-01	1.4394406871E-01	1.1833164796E-01	1.9788380668E00	1.9790826399E00	1.9565338851E00	1.9569313589E00	1.9987739590E00	1.9585986490E00	1.9585986490E00	1.9574720758E00	1.6765291897E-01	1.7691907379E-01	2.6341106705E-01	2.8753279228E-01	2.6377565821E-01	1.7946594873E00	1.7973062582E00	1.6487155852E00	1.6582833465E00	1.6481838624E00	1.6113718037E00	1.2537807426E00	1.2489746217E01	4.3891569502E-01	1.9007146792E00	1.2489746202E01	1.9016230614E00	1.8016417547E00	1.9003958047E00	1.8012364649E00	1.4147707217E00	
Caplet Vola Monte-Carlo Single-Curve	3.4575675411E-01	3.9419652706E-01	2.1036968156E-02	0.0000000000E00	8.3739793337E-02	9.2498672295E-02	5.9274188296E-01	1.3293100919E-01	1.3293100919E-01	1.0692617330E-01	1.9778864571E00	1.9781308078E00	1.9553239275E00	1.9557261699E00	1.9980578432E00	1.9574133107E00	1.9574133107E00	1.9562718323E00	1.5868401273E-01	1.6701442560E-01	2.5140189890E-01	2.7574747522E-01	2.5148475000E-01	1.7917200318E00	1.7943892809E00	1.6443543429E00	1.6540210217E00	1.6437973124E00	1.6062687537E00	1.2473651321E00	1.2489746217E01	4.4993935273E-01	1.8988544561E00	1.2489746202E01	1.8997802909E00	1.7986999559E00	1.8985390162E00	1.7982928187E00	1.4078626531E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	4.2213615328E-01	4.7134152166E-01	9.4272528877E-02	8.3739793337E-02	0.0000000000E00	1.1016013972E-02	5.1866788403E-01	5.6460392734E-02	5.6460392734E-02	3.3582860404E-02	1.9762230333E00	1.9764903081E00	1.9517570120E00	1.9521939293E00	1.9981371487E00	1.9540259285E00	1.9540259285E00	1.9527867918E00	1.4821255485E-01	1.4932850643E-01	1.9600927041E-01	2.1996505450E-01	1.9624029623E-01	1.7752499338E00	1.7781177871E00	1.6173225437E00	1.6276650764E00	1.6167035162E00	1.5753121788E00	1.2016334957E00	1.2489746217E01	5.2724101680E-01	1.8909302545E00	1.2489746202E01	1.8919252764E00	1.7831470339E00	1.8905836685E00	1.7827078978E00	1.3642641978E00	
Caplet Vola Analytic Multi-Curve Ju	4.2859100813E-01	4.7819139069E-01	1.0321981822E-01	9.2498672295E-02	1.1016013972E-02	0.0000000000E00	5.0929882116E-01	4.5468793023E-02	4.5468793023E-02	2.6801087353E-02	1.9758671686E00	1.9761371821E00	1.9511751680E00	1.9516158381E00	1.9979812768E00	1.9534637878E00	1.9534637878E00	1.9522141816E00	1.4827544467E-01	1.4837012766E-01	1.8895203619E-01	2.1243894842E-01	1.8968353628E-01	1.7731019095E00	1.7759949057E00	1.6139413300E00	1.6243469561E00	1.6133286070E00	1.5721604817E00	1.1952324217E00	1.2489746217E01	5.3571724889E-01	1.8897373074E00	1.2489746202E01	1.8907406404E00	1.7809654509E00	1.8893871619E00	1.7805221208E00	1.3599322892E00	
Caplet Vola Analytic Multi-Curve Ho	8.7663017593E-01	9.2252668019E-01	6.0372126972E-01	5.9274188296E-01	5.1866788403E-01	5.0929882116E-01	0.0000000000E00	4.7003638949E-01	4.7003638949E-01	4.9735629935E-01	1.9569987242E00	1.9574488951E00	1.9160307465E00	1.9167590795E00	1.9939946183E00	1.9198142885E00	1.9198142885E00	1.9177481666E00	5.4772688050E-01	5.3413940361E-01	4.2437038056E-01	4.1010936457E-01	4.2796674573E-01	1.6315194258E00	1.6360004344E00	1.3928325364E00	1.4077374944E00	1.3919823271E00	1.3395396122E00	8.6535043699E-01	1.2489746217E01	9.7637560074E-01	1.8156900465E00	1.2489746202E01	1.8173173134E00	1.6429155676E00	1.8151224256E00	1.6422220721E00	1.0496114055E00	
Caplet Vola Analytic Multi-Curve Drift-Freeze	4.5829256707E-01	5.0910174652E-01	1.4394406871E-01	1.3293100919E-01	5.6460392734E-02	4.5468793023E-02	4.7003638949E-01	0.0000000000E00	0.0000000000E00	3.9521527305E-02	1.9748395950E00	1.9751214471E00	1.9491599514E00	1.9496171572E00	1.9978306919E00	1.9515351841E00	1.9515351841E00	1.9502391956E00	1.5738774316E-01	1.5345302197E-01	1.6415091740E-01	1.8483930290E-01	1.6722408065E-01	1.7642488048E00	1.7672526012E00	1.5997283187E00	1.6104145568E00	1.5991403600E00	1.5589540836E00	1.1684910368E00	1.2489746217E01	5.7214269989E-01	1.8850832746E00	1.2489746202E01	1.8861239737E00	1.7720335574E00	1.8847179424E00	1.7715726923E00	1.3416109924E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	4.5829256707E-01	5.0910174652E-01	1.4394406871E-01	1.3293100919E-01	5.6460392734E-02	4.5468793023E-02	4.7003638949E-01	0.0000000000E00	0.0000000000E00	3.9521527305E-02	1.9748395950E00	1.9751214471E00	1.9491599514E00	1.9496171572E00	1.9978306919E00	1.9515351841E00	1.9515351841E00	1.9502391956E00	1.5738774316E-01	1.5345302197E-01	1.6415091740E-01	1.8483930290E-01	1.6722408065E-01	1.7642488048E00	1.7672526012E00	1.5997283187E00	1.6104145568E00	1.5991403600E00	1.5589540836E00	1.1684910368E00	1.2489746217E01	5.7214269989E-01	1.8850832746E00	1.2489746202E01	1.8861239737E00	1.7720335574E00	1.8847179424E00	1.7715726923E00	1.3416109924E00	
Caplet Vola Monte-Carlo Multi-Curve	4.3948405367E-01	4.8933809523E-01	1.1833164796E-01	1.0692617330E-01	3.3582860404E-02	2.6801087353E-02	4.9735629935E-01	3.9521527305E-02	3.9521527305E-02	0.0000000000E00	1.9758907207E00	1.9761635797E00	1.9508791251E00	1.9513254100E00	1.9982918632E00	1.9531967357E00	1.9531967357E00	1.9519193052E00	1.5340670689E-01	1.5276726912E-01	1.8328505772E-01	2.0612688554E-01	1.8502348035E-01	1.7703270575E00	1.7732685685E00	1.6092080543E00	1.6197428568E00	1.6086023556E00	1.5680823570E00	1.1864403457E00	1.2489746217E01	5.4786533837E-01	1.8886143926E00	1.2489746202E01	1.8896260059E00	1.7784560092E00	1.8882615213E00	1.7780381264E00	1.3540134724E00	
