Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
88.65	93.86	47.15	47.13	40.92	40.92	23.73	40.83	40.83	41.10	0.10	0.10	0.17	0.17	0.08	0.17	0.17	0.17	52.81	52.79	46.07	46.03	45.39	0.30	0.30	0.53	0.53	0.52	1.00	2.00	100.75	99.26	1.50	100.75	1.50	3.00	1.50	3.00	0.50	
91.21	96.58	50.03	50.41	43.55	43.54	25.36	43.32	43.32	43.33	0.14	0.15	0.25	0.25	0.10	0.25	0.25	0.25	57.62	57.44	50.27	50.21	49.55	0.98	0.98	1.71	1.71	1.69	1.00	6.00	101.51	98.52	1.50	101.51	1.50	3.00	1.50	3.00	1.00	
92.88	98.34	52.47	52.74	45.83	45.80	26.79	45.44	45.44	45.75	0.18	0.18	0.32	0.32	0.12	0.32	0.32	0.32	57.76	57.34	50.38	50.30	49.66	1.61	1.60	2.82	2.82	2.78	1.00	10.00	102.27	97.78	1.50	102.27	1.50	3.00	1.50	3.00	1.50	
93.78	99.30	54.51	54.28	47.79	47.74	28.04	47.21	47.21	47.93	0.22	0.22	0.38	0.38	0.13	0.38	0.38	0.38	55.61	55.00	48.51	48.39	47.74	2.14	2.12	3.75	3.74	3.69	1.00	14.00	103.05	97.06	1.50	103.05	1.50	3.00	1.50	3.00	2.00	
94.06	99.59	56.19	55.85	49.45	49.37	29.09	48.66	48.66	49.14	0.25	0.24	0.44	0.44	0.13	0.43	0.43	0.43	52.33	51.66	45.65	45.48	44.93	2.56	2.53	4.48	4.46	4.41	1.00	18.00	103.84	96.33	1.50	103.84	1.50	3.00	1.50	3.00	2.50	
93.81	99.33	57.55	57.12	50.85	50.72	29.98	49.84	49.84	50.74	0.27	0.27	0.48	0.48	0.13	0.48	0.48	0.48	48.90	48.26	42.66	42.43	41.97	2.88	2.85	5.04	5.02	4.96	1.00	22.00	104.64	95.62	1.50	104.64	1.50	3.00	1.50	3.00	3.00	
93.15	98.63	58.62	57.83	52.01	51.83	30.71	50.77	50.77	51.35	0.29	0.29	0.53	0.53	0.13	0.52	0.52	0.52	45.63	45.02	39.80	39.51	39.11	3.14	3.10	5.49	5.45	5.39	1.00	26.00	105.48	94.90	1.49	105.48	1.49	2.99	1.50	3.00	3.50	
92.15	97.57	59.45	58.56	52.95	52.72	31.30	51.48	51.48	51.86	0.31	0.31	0.57	0.56	0.13	0.55	0.55	0.56	42.55	41.94	37.12	36.78	36.40	3.33	3.29	5.83	5.77	5.71	1.00	30.00	106.35	94.20	1.49	106.35	1.49	2.99	1.50	3.00	4.00	
90.88	96.23	60.06	58.19	53.69	53.41	31.76	52.01	52.01	52.27	0.33	0.32	0.60	0.60	0.12	0.58	0.58	0.59	39.76	39.14	34.69	34.30	33.98	3.48	3.43	6.09	6.02	5.96	1.00	34.00	107.26	93.50	1.48	107.27	1.48	2.98	1.50	3.00	4.50	
89.40	94.66	60.48	58.38	54.27	53.93	32.11	52.37	52.37	52.30	0.35	0.34	0.63	0.63	0.12	0.61	0.61	0.61	60.12	58.74	52.44	52.05	52.14	0.60	0.59	1.06	1.05	1.05	3.50	2.00	108.25	92.80	1.48	108.27	1.48	2.97	1.50	3.00	5.00	
