Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
224.88	238.11	47.15	47.13	40.92	40.92	?	40.98	40.98	41.26	0.10	0.10	0.17	0.17	?	0.17	0.17	0.17	52.81	52.79	46.24	46.20	45.55	0.30	0.30	0.53	0.53	0.53	1.00	2.00	100.75	99.26	1.50	100.75	1.50	3.00	1.50	3.00	0.50	
204.12	216.13	50.03	50.41	43.55	43.54	?	43.48	43.48	43.48	0.14	0.15	0.25	0.25	?	0.25	0.25	0.25	57.62	57.44	50.45	50.38	49.74	0.98	0.98	1.72	1.72	1.70	1.00	6.00	101.51	98.52	1.50	101.51	1.50	3.00	1.50	3.00	1.00	
190.21	201.39	52.47	52.74	45.83	45.80	?	45.61	45.61	45.91	0.18	0.18	0.32	0.32	?	0.32	0.32	0.32	57.76	57.34	50.57	50.47	49.87	1.61	1.60	2.83	2.83	2.79	1.00	10.00	102.27	97.78	1.50	102.27	1.50	3.00	1.50	3.00	1.50	
180.88	191.52	54.51	54.28	47.78	47.74	8.79	47.38	47.38	48.09	0.22	0.22	0.38	0.38	0.07	0.38	0.38	0.38	55.61	55.00	48.69	48.56	47.96	2.14	2.12	3.76	3.75	3.71	1.00	14.00	103.05	97.06	1.50	103.05	1.50	3.00	1.50	3.00	2.00	
174.62	184.90	56.19	55.85	49.45	49.37	16.90	48.84	48.84	49.30	0.25	0.24	0.44	0.44	0.15	0.43	0.43	0.43	52.33	51.66	45.82	45.64	45.15	2.56	2.53	4.49	4.48	4.43	1.00	18.00	103.84	96.33	1.50	103.84	1.50	3.00	1.50	3.00	2.50	
170.43	180.46	57.55	57.12	50.85	50.72	20.20	50.02	50.02	50.91	0.27	0.27	0.48	0.48	0.20	0.48	0.48	0.49	48.90	48.26	42.82	42.57	42.19	2.88	2.85	5.06	5.03	4.99	1.00	22.00	104.64	95.62	1.50	104.64	1.50	3.00	1.50	3.00	3.00	
167.62	177.48	58.62	57.83	52.00	51.83	21.94	50.96	50.96	51.53	0.29	0.29	0.53	0.53	0.23	0.52	0.52	0.52	45.63	45.02	39.95	39.65	39.32	3.14	3.10	5.51	5.47	5.42	1.00	26.00	105.48	94.90	1.49	105.48	1.49	2.99	1.50	3.00	3.50	
165.74	175.49	59.45	58.56	52.95	52.72	22.88	51.67	51.67	52.05	0.31	0.31	0.57	0.56	0.25	0.55	0.55	0.56	42.55	41.94	37.26	36.91	36.60	3.33	3.29	5.85	5.79	5.74	1.00	30.00	106.35	94.20	1.49	106.35	1.49	2.99	1.50	3.00	4.00	
164.48	174.15	60.06	58.19	53.69	53.41	23.36	52.20	52.20	52.47	0.33	0.32	0.60	0.60	0.27	0.58	0.58	0.59	39.76	39.14	34.82	34.42	34.17	3.48	3.43	6.11	6.04	6.00	1.00	34.00	107.26	93.50	1.48	107.27	1.48	2.98	1.50	3.00	4.50	
193.94	205.35	60.48	58.38	54.27	53.94	23.53	52.57	52.57	52.49	0.35	0.34	0.63	0.63	0.29	0.61	0.61	0.61	60.12	58.74	52.64	52.20	52.32	0.60	0.59	1.06	1.05	1.06	3.50	2.00	108.25	92.80	1.48	108.27	1.48	2.97	1.50	3.00	5.00	
177.77	188.23	60.74	58.87	54.69	54.31	23.51	52.80	52.80	52.83	0.36	0.35	0.66	0.65	0.30	0.64	0.64	0.64	61.44	59.67	53.80	53.35	52.98	1.81	1.76	3.21	3.18	3.16	3.50	6.00	109.38	92.11	1.48	109.42	1.47	2.97	1.50	3.00	5.50	
166.93	176.75	60.86	58.60	54.98	54.55	23.36	52.90	52.90	52.96	0.37	0.36	0.68	0.67	0.31	0.66	0.66	0.66	58.69	57.02	51.38	50.80	50.67	2.85	2.78	5.05	4.99	4.98	3.50	10.00	111.28	91.42	1.48	111.04	1.47	2.97	1.50	3.00	6.00	
159.67	169.06	60.86	58.34	55.15	54.67	23.12	52.90	52.90	53.11	0.38	0.37	0.70	0.69	0.31	0.68	0.68	0.68	54.94	53.58	48.10	47.32	47.73	3.70	3.62	6.55	6.45	6.50	3.50	14.00	127.03	90.74	1.48	116.09	1.46	2.97	1.50	3.00	6.50	
154.80	163.91	60.76	58.45	55.21	54.70	22.82	52.82	52.82	53.20	0.39	0.38	0.72	0.71	0.32	0.69	0.69	0.70	50.90	49.84	44.57	43.48	44.37	4.37	4.29	7.72	7.54	7.69	3.50	18.00	467.71	90.07	1.48	185.69	1.47	2.97	1.50	3.00	7.00	
