	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.7987730221E-02	9.5034639638E-01	9.5959786512E-01	1.0120208305E00	1.0154293274E00	?	1.0352787300E00	1.0352787300E00	1.0260808163E00	2.0200447244E00	2.0201349852E00	2.0116672884E00	2.0117384419E00	?	2.0121503324E00	2.0121503324E00	2.0119520862E00	1.0157446768E00	1.0271899493E00	1.0922028748E00	1.1074060728E00	1.0986392884E00	1.9508503146E00	1.9518832478E00	1.8888150812E00	1.8927619204E00	1.8897828568E00	1.8780167299E00	1.7100751465E00	?	5.6696349714E-01	1.9902967050E00	?	1.9906359033E00	1.9517948696E00	1.9901759964E00	1.9515554996E00	1.7940853572E00	
Target (LIBOR)	5.7987730221E-02	0.0000000000E00	9.9439891576E-01	1.0034188633E00	1.0543976505E00	1.0577246788E00	?	1.0770811889E00	1.0770811889E00	1.0680899190E00	2.0205726846E00	2.0206579538E00	2.0126574718E00	2.0127247088E00	?	2.0131139238E00	2.0131139238E00	2.0129265880E00	1.0581265083E00	1.0692494913E00	1.1324057338E00	1.1471704373E00	1.1386141101E00	1.9551317510E00	1.9561096627E00	1.8963387334E00	1.9000845427E00	1.8972563455E00	1.8860485700E00	1.7262427875E00	?	6.1917690289E-01	1.9924581924E00	?	1.9927788995E00	1.9560356915E00	1.9923440662E00	1.9558091402E00	1.8062736608E00	
Caplet Vola Analytic Single-Curve	9.5034639638E-01	9.9439891576E-01	0.0000000000E00	2.1036968156E-02	7.9777416302E-02	8.4249988936E-02	?	1.1172825807E-01	1.1172825807E-01	1.0076138207E-01	1.9788380668E00	1.9790826399E00	1.9560657901E00	1.9562616893E00	?	1.9573936443E00	1.9573936443E00	1.9568380187E00	1.6765291897E-01	1.7691907379E-01	2.3737315649E-01	2.6137108381E-01	2.4500720195E-01	1.7946594873E00	1.7973062582E00	1.6391614772E00	1.6489392848E00	1.6414093889E00	1.6113718037E00	1.2537807426E00	?	4.3891569502E-01	1.9007146792E00	?	1.9016230614E00	1.8018403186E00	1.9003958047E00	1.8012364649E00	1.4147707217E00	
Caplet Vola Monte-Carlo Single-Curve	9.5959786512E-01	1.0034188633E00	2.1036968156E-02	0.0000000000E00	6.9537337170E-02	7.3893353155E-02	?	1.0105429185E-01	1.0105429185E-01	8.9570472694E-02	1.9778864571E00	1.9781308078E00	1.9548509920E00	1.9550492441E00	?	1.9561947387E00	1.9561947387E00	1.9556309392E00	1.5868401273E-01	1.6701442560E-01	2.2565484915E-01	2.4987063807E-01	2.3283213602E-01	1.7917200318E00	1.7943892809E00	1.6347145207E00	1.6445924245E00	1.6369645707E00	1.6062687537E00	1.2473651321E00	?	4.4993935273E-01	1.8988544561E00	?	1.8997802909E00	1.7989008155E00	1.8985390162E00	1.7982928187E00	1.4078626531E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.0120208305E00	1.0543976505E00	7.9777416302E-02	6.9537337170E-02	0.0000000000E00	5.4007863739E-03	?	3.6168947097E-02	3.6168947097E-02	2.9701634960E-02	1.9764908208E00	1.9767547054E00	1.9518613630E00	1.9520735328E00	?	1.9532992647E00	1.9532992647E00	1.9526963401E00	1.4665072184E-01	1.4918813452E-01	1.8300767596E-01	2.0628648034E-01	1.8899188727E-01	1.7781282426E00	1.7809627594E00	1.6118931671E00	1.6223243915E00	1.6142647521E00	1.5811874772E00	1.2089524944E00	?	5.1385203695E-01	1.8922704563E00	?	1.8932514499E00	1.7860130203E00	1.8919278837E00	1.7853658667E00	1.3725374962E00	
Caplet Vola Analytic Multi-Curve Ju	1.0154293274E00	1.0577246788E00	8.4249988936E-02	7.3893353155E-02	5.4007863739E-03	0.0000000000E00	?	3.0777782026E-02	3.0777782026E-02	2.6551585118E-02	1.9763481094E00	1.9766133179E00	1.9516072470E00	1.9518203045E00	?	1.9530512197E00	1.9530512197E00	1.9524459620E00	1.4624137095E-01	1.4828841067E-01	1.7986389430E-01	2.0286555684E-01	1.8586947982E-01	1.7771204164E00	1.7799671334E00	1.6102512101E00	1.6207131865E00	1.6126354636E00	1.5797014752E00	1.2058615807E00	?	5.1802373462E-01	1.8917235721E00	?	1.8927085706E00	1.7849892032E00	1.8913792742E00	1.7843391057E00	1.3704791113E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.0352787300E00	1.0770811889E00	1.1172825807E-01	1.0105429185E-01	3.6168947097E-02	3.0777782026E-02	?	0.0000000000E00	0.0000000000E00	2.8154123401E-02	1.9757865625E00	1.9760595922E00	1.9503832851E00	1.9506016594E00	?	1.9518635397E00	1.9518635397E00	1.9512441693E00	1.4799566588E-01	1.4721986339E-01	1.6415091740E-01	1.8515874712E-01	1.7017331977E-01	1.7714082180E00	1.7743285643E00	1.6007726466E00	1.6114215993E00	1.6032316603E00	1.5711914758E00	1.1880687818E00	?	5.4259306303E-01	1.8887768007E00	?	1.8897863287E00	1.7792287402E00	1.8884224132E00	1.7785614214E00	1.3585712903E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.0352787300E00	1.0770811889E00	1.1172825807E-01	1.0105429185E-01	3.6168947097E-02	3.0777782026E-02	?	0.0000000000E00	0.0000000000E00	2.8154123401E-02	1.9757865625E00	1.9760595922E00	1.9503832851E00	1.9506016594E00	?	1.9518635397E00	1.9518635397E00	1.9512441693E00	1.4799566588E-01	1.4721986339E-01	1.6415091740E-01	1.8515874712E-01	1.7017331977E-01	1.7714082180E00	1.7743285643E00	1.6007726466E00	1.6114215993E00	1.6032316603E00	1.5711914758E00	1.1880687818E00	?	5.4259306303E-01	1.8887768007E00	?	1.8897863287E00	1.7792287402E00	1.8884224132E00	1.7785614214E00	1.3585712903E00	
Caplet Vola Monte-Carlo Multi-Curve	1.0260808163E00	1.0680899190E00	1.0076138207E-01	8.9570472694E-02	2.9701634960E-02	2.6551585118E-02	?	2.8154123401E-02	2.8154123401E-02	0.0000000000E00	1.9760268930E00	1.9762951216E00	1.9509451217E00	1.9511610833E00	?	1.9524087267E00	1.9524087267E00	1.9517842416E00	1.4934174110E-01	1.5033400326E-01	1.7397239077E-01	1.9623543017E-01	1.8023075994E-01	1.7739795899E00	1.7768730053E00	1.6050116987E00	1.6156035687E00	1.6074373127E00	1.5746642301E00	1.1966753836E00	?	5.3104522865E-01	1.8902072337E00	?	1.8911994029E00	1.7820300066E00	1.8898598280E00	1.7813999797E00	1.3634932755E00	
