	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	8.5208274879E-02	1.7194720788E00	1.7250518252E00	1.8038309054E00	1.8060497786E00	?	1.8163386810E00	1.8163443896E00	1.8008598917E00	2.9737789453E00	2.9738459874E00	2.9663948617E00	2.9664490744E00	?	2.9667234551E00	2.9667235897E00	2.9663883601E00	1.7040851113E00	1.7105998380E00	1.7977076377E00	1.8081752151E00	1.8050539115E00	2.9183773862E00	2.9191440474E00	2.8674595452E00	2.8707144207E00	2.8673460592E00	2.8496005945E00	2.7165198108E00	7.7999999998E01	1.0590794014E00	2.9333121131E00	7.7999999848E01	2.9335517266E00	2.8847908680E00	2.9332226154E00	2.8851126366E00	2.7906178064E00	
Target (LIBOR)	8.5208274879E-02	0.0000000000E00	1.7714318606E00	1.7769399453E00	1.8532854522E00	1.8554691700E00	?	1.8656196760E00	1.8656252841E00	1.8504543577E00	2.9742506799E00	2.9743140158E00	2.9672741054E00	2.9673253344E00	?	2.9675846138E00	2.9675847409E00	2.9672679671E00	1.7578705163E00	1.7643023594E00	1.8487382652E00	1.8590270662E00	1.8557483231E00	2.9218605715E00	2.9225863036E00	2.8736208108E00	2.8767074648E00	2.8735129482E00	2.8566915344E00	2.7301509847E00	7.7999999998E01	1.1284041564E00	2.9360078403E00	7.7999999848E01	2.9362344841E00	2.8901070990E00	2.9359231918E00	2.8904118008E00	2.8006386882E00	
Caplet Vola Analytic Single-Curve	1.7194720788E00	1.7714318606E00	0.0000000000E00	4.5382381730E-02	1.0117894137E-01	1.0254566773E-01	?	1.1726307965E-01	1.1727551328E-01	1.3041160625E-01	2.1492069166E00	2.1497455050E00	2.1256396150E00	2.1258228171E00	?	2.1267448893E00	2.1267453662E00	2.1264273285E00	3.7906457729E-01	3.9346058697E-01	4.7172158605E-01	5.0406856165E-01	4.8569720428E-01	2.0291873512E00	2.0309953456E00	1.9287292487E00	1.9345262866E00	1.9288228504E00	1.8976057486E00	1.6899960608E00	7.7999999998E01	7.3216720354E-01	2.0684830416E00	7.7999999848E01	2.0693448796E00	1.9648054112E00	2.0674657928E00	1.9639187023E00	1.6855032316E00	
Caplet Vola Monte-Carlo Single-Curve	1.7250518252E00	1.7769399453E00	4.5382381730E-02	0.0000000000E00	1.0406965760E-01	1.0452692018E-01	?	1.2648946425E-01	1.2650449136E-01	1.0657611091E-01	2.1094161190E00	2.1095725236E00	2.0840867780E00	2.0843154098E00	?	2.0854546519E00	2.0854552057E00	2.0837391343E00	3.4639166253E-01	3.6096962442E-01	4.3807224696E-01	4.7751824737E-01	4.5216470125E-01	1.9975195927E00	1.9998813237E00	1.8930638078E00	1.8991076074E00	1.8936714463E00	1.8692604463E00	1.6640279953E00	7.7999999998E01	7.3571010572E-01	2.0290142658E00	7.7999999848E01	2.0304274399E00	1.9234006059E00	2.0289556154E00	1.9252337805E00	1.6719454029E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.8038309054E00	1.8532854522E00	1.0117894137E-01	1.0406965760E-01	0.0000000000E00	6.5939280170E-03	?	4.1391624321E-02	4.1406117037E-02	7.0767896810E-02	2.1358246450E00	2.1364244776E00	2.1098991842E00	2.1101060859E00	?	2.1111400323E00	2.1111405630E00	2.1107629646E00	2.9383419250E-01	3.1605847519E-01	3.8757654455E-01	4.3445155021E-01	3.9883720571E-01	1.9957280762E00	1.9976504149E00	1.8893901125E00	1.8954921084E00	1.8894991453E00	1.8533054027E00	1.6404479838E00	7.7999999998E01	8.2575309259E-01	2.0494992295E00	7.7999999848E01	2.0504504113E00	1.9382224700E00	2.0484996419E00	1.9375037766E00	1.6297923253E00	
Caplet Vola Analytic Multi-Curve Ju	1.8060497786E00	1.8554691700E00	1.0254566773E-01	1.0452692018E-01	6.5939280170E-03	0.0000000000E00	?	3.4984543850E-02	3.4998823513E-02	7.7303447918E-02	2.1368241237E00	2.1374652774E00	2.1109304068E00	2.1111383468E00	?	2.1121774931E00	2.1121780265E00	2.1117983067E00	2.8992855900E-01	3.1098737748E-01	3.8247185602E-01	4.2940892325E-01	3.9703441132E-01	1.9987816414E00	2.0007149829E00	1.8918452204E00	1.8979814223E00	1.8919541896E00	1.8564949976E00	1.6410179140E00	7.7999999998E01	8.2724944024E-01	2.0498632601E00	7.7999999848E01	2.0507930503E00	1.9382200827E00	2.0487619905E00	1.9372536248E00	1.6314681900E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.8163386810E00	1.8656196760E00	1.1726307965E-01	1.2648946425E-01	4.1391624321E-02	3.4984543850E-02	?	0.0000000000E00	1.5157324436E-05	1.1318083883E-01	2.1461204413E00	2.1467197206E00	2.1199251833E00	2.1201286571E00	?	2.1211527517E00	2.1211532815E00	2.1208013167E00	2.7927635463E-01	2.9374582238E-01	3.7236209300E-01	4.0561140402E-01	3.8724804879E-01	2.0148416715E00	2.0168328933E00	1.9047585291E00	1.9110745713E00	1.9048670677E00	1.8722937157E00	1.6474049468E00	7.7999999998E01	8.3336637242E-01	2.0565297412E00	7.7999999848E01	2.0574838773E00	1.9420547539E00	2.0554010616E00	1.9410664807E00	1.6415949111E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.8163443896E00	1.8656252841E00	1.1727551328E-01	1.2650449136E-01	4.1406117037E-02	3.4998823513E-02	?	1.5157324436E-05	0.0000000000E00	1.1319555340E-01	2.1461225523E00	2.1467218389E00	2.1199269721E00	2.1201304484E00	?	2.1211545556E00	2.1211550854E00	2.1208031158E00	2.7926897542E-01	2.9373847439E-01	3.7235491826E-01	4.0559892313E-01	3.8724097252E-01	2.0148453320E00	2.0168365790E00	1.9047608397E00	1.9110769572E00	1.9048693788E00	1.8722973913E00	1.6474045480E00	7.7999999998E01	8.3337045542E-01	2.0565294408E00	7.7999999848E01	2.0574835878E00	1.9420531717E00	2.0554007481E00	1.9410648869E00	1.6415960633E00	
Caplet Vola Monte-Carlo Multi-Curve	1.8008598917E00	1.8504543577E00	1.3041160625E-01	1.0657611091E-01	7.0767896810E-02	7.7303447918E-02	?	1.1318083883E-01	1.1319555340E-01	0.0000000000E00	2.1385793518E00	2.1387318433E00	2.1111869740E00	2.1114363136E00	?	2.1126836455E00	2.1126842465E00	2.1106362642E00	2.8034189821E-01	3.0248105154E-01	3.7347185010E-01	4.2021770953E-01	3.8401763147E-01	1.9902038645E00	1.9927164612E00	1.8794773729E00	1.8858619647E00	1.8801263431E00	1.8146929896E00	1.6392707170E00	7.7999999998E01	8.2093644654E-01	2.0521329425E00	7.7999999848E01	2.0537082567E00	1.9384202960E00	2.0521132613E00	1.9408862682E00	1.5980967414E00	
