Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
224.88	238.11	47.15	47.13	43.50	43.50	?	43.47	43.47	43.70	0.10	0.10	0.18	0.18	?	0.18	0.18	0.18	52.81	52.79	49.04	49.02	48.16	0.30	0.30	0.57	0.57	0.56	1.00	2.00	100.75	99.26	1.50	100.75	1.50	3.00	1.50	3.00	0.50	
204.12	216.13	50.03	50.41	46.20	46.20	?	46.12	46.12	45.99	0.14	0.15	0.27	0.27	?	0.27	0.27	0.27	57.62	57.44	53.51	53.46	52.48	0.98	0.98	1.82	1.82	1.79	1.00	6.00	101.51	98.52	1.50	101.51	1.50	3.00	1.50	3.00	1.00	
190.21	201.39	52.47	52.74	48.51	48.50	?	48.37	48.37	48.41	0.18	0.18	0.34	0.34	?	0.34	0.34	0.34	57.76	57.34	53.64	53.56	52.57	1.61	1.60	3.00	3.00	2.94	1.00	10.00	102.27	97.78	1.50	102.27	1.50	3.00	1.50	3.00	1.50	
180.88	191.52	54.51	54.28	50.45	50.44	?	50.26	50.26	50.54	0.22	0.22	0.40	0.40	?	0.40	0.40	0.40	55.61	55.00	51.65	51.52	50.57	2.14	2.12	3.99	3.98	3.91	1.00	14.00	103.05	97.06	1.50	103.05	1.50	3.00	1.50	3.00	2.00	
174.62	184.90	56.19	55.85	52.07	52.06	?	51.80	51.80	51.69	0.25	0.24	0.46	0.46	?	0.46	0.46	0.45	52.33	51.66	48.60	48.42	47.62	2.56	2.53	4.76	4.74	4.67	1.00	18.00	103.84	96.33	1.50	103.84	1.50	3.00	1.50	3.00	2.50	
170.43	180.46	57.55	57.12	53.40	53.38	1.72	53.06	53.06	53.30	0.27	0.27	0.51	0.51	0.02	0.50	0.50	0.51	48.90	48.26	45.41	45.16	44.49	2.88	2.85	5.36	5.34	5.26	1.00	22.00	104.64	95.62	1.50	104.64	1.50	3.00	1.50	3.00	3.00	
167.62	177.48	58.62	57.83	54.47	54.44	5.75	54.05	54.05	53.79	0.29	0.29	0.55	0.55	0.06	0.55	0.55	0.54	45.63	45.02	42.37	42.06	41.46	3.14	3.10	5.84	5.79	5.71	1.00	26.00	105.48	94.90	1.49	105.48	1.49	2.99	1.50	3.00	3.50	
165.74	175.49	59.45	58.56	55.31	55.27	7.39	54.81	54.81	54.20	0.31	0.31	0.59	0.59	0.08	0.58	0.58	0.58	42.55	41.94	39.51	39.14	38.59	3.33	3.29	6.20	6.14	6.05	1.00	30.00	106.35	94.20	1.49	106.35	1.49	2.98	1.50	3.00	4.00	
164.48	174.15	60.06	58.19	55.95	55.90	8.06	55.37	55.37	54.51	0.33	0.32	0.62	0.62	0.09	0.62	0.62	0.61	39.76	39.14	36.93	36.50	36.03	3.48	3.43	6.48	6.40	6.32	1.00	34.00	107.26	93.50	1.48	107.27	1.48	2.97	1.50	3.00	4.50	
193.94	205.35	60.48	58.38	56.42	56.35	8.26	55.76	55.76	54.37	0.35	0.34	0.65	0.65	0.10	0.65	0.65	0.63	60.12	58.74	55.83	55.56	54.58	0.60	0.59	1.12	1.12	1.10	3.50	2.00	108.25	92.80	1.48	108.27	1.48	2.96	1.50	3.00	5.00	
