	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	9.0023865436E-02	9.8233868097E-01	9.8875318216E-01	1.0162379550E00	1.0171037979E00	?	1.0227631841E00	1.0227711615E00	1.0153708396E00	1.5269176120E00	1.5269515649E00	1.5237635631E00	1.5237736594E00	?	1.5238416506E00	1.5238417429E00	1.5237468215E00	1.0256606925E00	1.0333616351E00	1.0595880343E00	1.0692420104E00	1.0634149795E00	1.5012279199E00	1.5016288983E00	1.4758434970E00	1.4773989476E00	1.4761114696E00	1.4754760927E00	1.4030554619E00	?	6.7251683020E-01	1.5156727602E00	?	1.5158002983E00	1.5007283330E00	1.5156264075E00	1.5008514815E00	1.4425414327E00	
Target (LIBOR)	9.0023865436E-02	0.0000000000E00	1.0719818490E00	1.0784133498E00	1.1059217338E00	1.1067922927E00	?	1.1124854622E00	1.1124934754E00	1.1050044128E00	1.6169414429E00	1.6169753961E00	1.6137872968E00	1.6137973938E00	?	1.6138653900E00	1.6138654823E00	1.6137705477E00	1.1153906499E00	1.1231016378E00	1.1493720938E00	1.1590433699E00	1.1531673752E00	1.5912446411E00	1.5916458024E00	1.5658413408E00	1.5673997137E00	1.5661090784E00	1.5654441479E00	1.4928898567E00	?	7.6191524785E-01	1.6056965051E00	?	1.6058240460E00	1.5907516385E00	1.6056501526E00	1.5908748562E00	1.5324607691E00	
Caplet Vola Analytic Single-Curve	9.8233868097E-01	1.0719818490E00	0.0000000000E00	1.1695265717E-02	3.4412604582E-02	3.5351815589E-02	?	4.1826826197E-02	4.1835858339E-02	3.7321692842E-02	5.5692214747E-01	5.5695740258E-01	5.5360154072E-01	5.5361255550E-01	?	5.5368744465E-01	5.5368754458E-01	5.5357578318E-01	8.9747660360E-02	9.4043849080E-02	1.0960927468E-01	1.2091438182E-01	1.1198166184E-01	5.2956957813E-01	5.2998789353E-01	5.0279124761E-01	5.0447994278E-01	5.0301191069E-01	5.0147891894E-01	4.3383335364E-01	?	3.1238901326E-01	5.4567039597E-01	?	5.4580625618E-01	5.3050627471E-01	5.4562236609E-01	5.3066201579E-01	4.6632237403E-01	
Caplet Vola Monte-Carlo Single-Curve	9.8875318216E-01	1.0784133498E00	1.1695265717E-02	0.0000000000E00	2.9028509055E-02	2.9927333765E-02	?	3.6251913913E-02	3.6260715762E-02	3.1574880711E-02	5.5016495060E-01	5.5019935761E-01	5.4684402369E-01	5.4685505124E-01	?	5.4693005832E-01	5.4693015832E-01	5.4681746424E-01	8.4425804795E-02	8.8230923982E-02	1.0314580540E-01	1.1452152414E-01	1.0522118782E-01	5.2282363000E-01	5.2324040921E-01	4.9606101354E-01	4.9775171040E-01	4.9627454763E-01	4.9462067437E-01	4.2752086169E-01	?	3.1875863436E-01	5.3890627464E-01	?	5.3904422868E-01	5.2373705248E-01	5.3886022320E-01	5.2389465229E-01	4.5942625807E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.0162379550E00	1.1059217338E00	3.4412604582E-02	2.9028509055E-02	0.0000000000E00	1.1100681341E-03	?	8.7991430024E-03	8.8087427477E-03	1.7288565865E-02	5.2278913439E-01	5.2282434058E-01	5.1946224047E-01	5.1947330025E-01	?	5.1954854239E-01	5.1954864267E-01	5.1943581036E-01	7.6316489876E-02	7.7905273069E-02	8.6122813092E-02	9.6573272434E-02	8.7795594791E-02	4.9541711149E-01	4.9583469037E-01	4.6864444064E-01	4.7033294406E-01	4.6885968331E-01	4.6714695326E-01	4.0065570198E-01	?	3.4639155553E-01	5.1154215991E-01	?	5.1167844237E-01	4.9637454544E-01	5.1149425688E-01	4.9653256670E-01	4.3195004816E-01	
Caplet Vola Analytic Multi-Curve Ju	1.0171037979E00	1.1067922927E00	3.5351815589E-02	2.9927333765E-02	1.1100681341E-03	0.0000000000E00	?	7.6933576294E-03	7.7029421133E-03	1.7642417787E-02	5.2178490411E-01	5.2182011531E-01	5.1845870261E-01	5.1846975731E-01	?	5.1854496021E-01	5.1854506046E-01	5.1843234034E-01	7.6061011757E-02	7.7555966135E-02	8.5493284614E-02	9.5870840070E-02	8.7185202198E-02	4.9441772178E-01	4.9483528346E-01	4.6765170262E-01	4.6933895160E-01	4.6786755485E-01	4.6618474445E-01	3.9965257991E-01	?	3.4728107801E-01	5.1053730023E-01	?	5.1067352701E-01	4.9536995627E-01	5.1048938248E-01	4.9552773883E-01	4.3101145534E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.0227631841E00	1.1124854622E00	4.1826826197E-02	3.6251913913E-02	8.7991430024E-03	7.6933576294E-03	?	0.0000000000E00	9.6997190318E-06	2.1842972735E-02	5.1509536834E-01	5.1513062378E-01	5.1177490275E-01	5.1178591624E-01	?	5.1186079547E-01	5.1186089539E-01	5.1174916475E-01	7.4808635116E-02	7.5687017513E-02	8.1599297899E-02	9.1399026834E-02	8.3499091925E-02	4.8776385605E-01	4.8818159782E-01	4.6104715039E-01	4.6272511590E-01	4.6126850467E-01	4.5985449220E-01	3.9293521344E-01	?	3.5317150922E-01	5.0384365868E-01	?	5.0397952898E-01	4.8867993045E-01	5.0379562316E-01	4.8883554255E-01	4.2487163559E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.0227711615E00	1.1124934754E00	4.1835858339E-02	3.6260715762E-02	8.8087427477E-03	7.7029421133E-03	?	9.6997190318E-06	0.0000000000E00	2.1848863405E-02	5.1508634183E-01	5.1512159730E-01	5.1176588177E-01	5.1177689521E-01	?	5.1185177414E-01	5.1185187406E-01	5.1174014427E-01	7.4807325814E-02	7.5684803568E-02	8.1594281494E-02	9.1393260632E-02	8.3494195189E-02	4.8775486892E-01	4.8817261053E-01	4.6103821851E-01	4.6271617411E-01	4.6125957739E-01	4.5984579895E-01	3.9292626149E-01	?	3.5317972919E-01	5.0383462768E-01	?	5.0397049758E-01	4.8867090216E-01	5.0378659207E-01	4.8882651245E-01	4.2486313453E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.0153708396E00	1.1050044128E00	3.7321692842E-02	3.1574880711E-02	1.7288565865E-02	1.7642417787E-02	?	2.1842972735E-02	2.1848863405E-02	0.0000000000E00	5.2540478861E-01	5.2543959521E-01	5.2206985103E-01	5.2208098162E-01	?	5.2215687039E-01	5.2215697122E-01	5.2203736206E-01	7.7226062134E-02	7.8682647309E-02	8.7950241383E-02	9.8784614107E-02	8.8778848831E-02	4.9804211512E-01	4.9845706538E-01	4.7126394877E-01	4.7295750608E-01	4.7146309846E-01	4.6867361068E-01	4.0399219266E-01	?	3.4488657347E-01	5.1415347923E-01	?	5.1428694766E-01	4.9895713447E-01	5.1410629386E-01	4.9913296615E-01	4.3320123146E-01	
