	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	7.4283896080E-02	3.6495147258E-01	3.6277615496E-01	4.2296851758E-01	4.4253875366E-01	4.6334991983E-01	5.2113387755E-01	5.2113387755E-01	7.0407274869E-01	2.5728054039E00	2.5736421502E00	2.5502279540E00	2.5526397022E00	2.5652243102E00	2.5578564704E00	2.5578564704E00	2.5527666776E00	4.3102897410E-01	4.1863594331E-01	7.2578843708E-01	7.3102828422E-01	6.7852649947E-01	2.3611831923E00	2.3684642789E00	2.2635195678E00	2.2637506798E00	2.2410777467E00	2.3656364146E00	2.0413556995E00	7.7998440061E01	3.1050798409E-01	2.5081411908E00	7.7998440594E01	2.5088260006E00	2.4178673086E00	2.5065073652E00	2.4167980770E00	2.2289597810E00	
Target (LIBOR)	7.4283896080E-02	0.0000000000E00	3.1909793283E-01	3.1255790248E-01	4.7824841003E-01	4.9943114178E-01	5.2180613491E-01	5.8391457369E-01	5.8391457369E-01	6.2999389012E-01	2.5743032540E00	2.5750941229E00	2.5529566166E00	2.5552373881E00	2.5671389502E00	2.5601708084E00	2.5601708084E00	2.5553575750E00	4.3720724822E-01	4.7778473007E-01	7.8331934774E-01	7.8808806199E-01	7.3449954822E-01	2.3733238505E00	2.3802458587E00	2.2790422413E00	2.2792627212E00	2.2576116678E00	2.3776609932E00	2.0617161580E00	7.7998440061E01	2.6627017688E-01	2.5131452288E00	7.7998440594E01	2.5137938704E00	2.4276047566E00	2.5115981856E00	2.4265890087E00	2.2468155185E00	
Caplet Vola Analytic Single-Curve	3.6495147258E-01	3.1909793283E-01	0.0000000000E00	1.4642084024E-01	2.4948513677E-01	2.6100067597E-01	2.7346962691E-01	3.6337659511E-01	3.6337659511E-01	4.1181245100E-01	2.0943073256E00	2.0957685453E00	2.0732272920E00	2.0760561458E00	2.0886283561E00	2.0808627752E00	2.0808627752E00	2.0763304815E00	3.3625153576E-01	3.7441066112E-01	6.4397430037E-01	6.6075851070E-01	6.0497431555E-01	1.9864465483E00	1.9910564735E00	1.9283500687E00	1.9285336997E00	1.9112935550E00	1.9327615675E00	1.7853077378E00	7.7998440061E01	2.5686509072E-01	2.0501797148E00	7.7998440594E01	2.0506703843E00	1.9807195453E00	2.0471046293E00	1.9786892864E00	1.7853551226E00	
Caplet Vola Monte-Carlo Single-Curve	3.6277615496E-01	3.1255790248E-01	1.4642084024E-01	0.0000000000E00	2.5558742359E-01	2.6771587941E-01	2.8308046388E-01	3.5982596741E-01	3.5982596741E-01	5.0272865110E-01	2.1612293031E00	2.1617872584E00	2.1371307985E00	2.1397305948E00	2.1567613186E00	2.1455239454E00	2.1455239454E00	2.1404729009E00	2.8980374841E-01	3.3878069818E-01	6.0689681577E-01	6.3871695900E-01	5.0724206308E-01	2.0502410752E00	2.0563579127E00	1.9840176730E00	1.9840963461E00	1.9650086580E00	1.9104864849E00	1.8354878689E00	7.7998440061E01	2.6644090043E-01	2.1119409718E00	7.7998440594E01	2.1136261110E00	2.0400161647E00	2.1109316845E00	2.0372089669E00	1.7910094732E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	4.2296851758E-01	4.7824841003E-01	2.4948513677E-01	2.5558742359E-01	0.0000000000E00	1.2434380657E-01	1.8438805464E-01	3.1452216048E-01	3.1452216048E-01	4.7823327916E-01	2.1209584950E00	2.1221539647E00	2.0970298624E00	2.0998321616E00	2.1158018428E00	2.1054914127E00	2.1054914127E00	2.1014845237E00	3.3586675521E-01	3.4012176095E-01	5.9408869868E-01	6.2269627198E-01	5.1269385320E-01	2.0062534802E00	2.0123703788E00	1.9403016754E00	1.9403782004E00	1.9213827669E00	1.9073551731E00	1.7930257040E00	7.7998440061E01	5.1498061631E-01	2.0727154045E00	7.7998440594E01	2.0736072115E00	2.0013043644E00	2.0702766840E00	1.9962594705E00	1.7489418326E00	
Caplet Vola Analytic Multi-Curve Ju	4.4253875366E-01	4.9943114178E-01	2.6100067597E-01	2.6771587941E-01	1.2434380657E-01	0.0000000000E00	1.3575638139E-01	2.6253407078E-01	2.6253407078E-01	5.9433880177E-01	2.0707450686E00	2.0717302653E00	2.0446289166E00	2.0471319992E00	2.0669590925E00	2.0535229390E00	2.0535229390E00	2.0442788599E00	3.5620128339E-01	3.5616478012E-01	4.9051173211E-01	5.2468603863E-01	4.0989295196E-01	1.9476703696E00	1.9541289429E00	1.8785407318E00	1.8786180106E00	1.8587662520E00	1.8336433332E00	1.7259685324E00	7.7998440061E01	5.3621556752E-01	2.0191058100E00	7.7998440594E01	2.0203640505E00	1.9362414618E00	2.0170854906E00	1.9384201399E00	1.6454305322E00	
Caplet Vola Analytic Multi-Curve Ho	4.6334991983E-01	5.2180613491E-01	2.7346962691E-01	2.8308046388E-01	1.8438805464E-01	1.3575638139E-01	0.0000000000E00	1.3101991424E-01	1.3101991424E-01	7.0758480683E-01	2.0918416909E00	2.0936245486E00	2.0646465089E00	2.0680840163E00	2.0851000820E00	2.0743921677E00	2.0743921677E00	2.0692455069E00	3.7920298418E-01	3.7336610343E-01	4.3252063012E-01	4.6466687256E-01	3.9288584282E-01	1.9507244953E00	1.9576840171E00	1.8763849321E00	1.8764677495E00	1.8551794485E00	1.8749524969E00	1.7136088547E00	7.7998440061E01	5.5848644172E-01	2.0366006688E00	7.7998440594E01	2.0373871759E00	1.9532216196E00	2.0329448411E00	1.9478193929E00	1.6988211561E00	
Caplet Vola Analytic Multi-Curve Drift-Freeze	5.2113387755E-01	5.8391457369E-01	3.6337659511E-01	3.5982596741E-01	3.1452216048E-01	2.6253407078E-01	1.3101991424E-01	0.0000000000E00	0.0000000000E00	8.7150616187E-01	2.0846804827E00	2.0867272719E00	2.0550690632E00	2.0590404191E00	2.0766073923E00	2.0657834140E00	2.0657834140E00	2.0594252345E00	4.4014709903E-01	4.3498954814E-01	3.2955648994E-01	3.5192552725E-01	5.4286025198E-01	1.9393041178E00	1.9455814525E00	1.8611276582E00	1.8613734892E00	1.8384464763E00	1.8705621431E00	1.6754785408E00	7.7998440061E01	6.0805206172E-01	2.0227852699E00	7.7998440594E01	2.0234663783E00	1.9266170744E00	2.0184826348E00	1.9237398065E00	1.6758602955E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	5.2113387755E-01	5.8391457369E-01	3.6337659511E-01	3.5982596741E-01	3.1452216048E-01	2.6253407078E-01	1.3101991424E-01	0.0000000000E00	0.0000000000E00	8.7150616187E-01	2.0846804827E00	2.0867272719E00	2.0550690632E00	2.0590404191E00	2.0766073923E00	2.0657834140E00	2.0657834140E00	2.0594252345E00	4.4014709903E-01	4.3498954814E-01	3.2955648994E-01	3.5192552725E-01	5.4286025198E-01	1.9393041178E00	1.9455814525E00	1.8611276582E00	1.8613734892E00	1.8384464763E00	1.8705621431E00	1.6754785408E00	7.7998440061E01	6.0805206172E-01	2.0227852699E00	7.7998440594E01	2.0234663783E00	1.9266170744E00	2.0184826348E00	1.9237398065E00	1.6758602955E00	
Caplet Vola Monte-Carlo Multi-Curve	7.0407274869E-01	6.2999389012E-01	4.1181245100E-01	5.0272865110E-01	4.7823327916E-01	5.9433880177E-01	7.0758480683E-01	8.7150616187E-01	8.7150616187E-01	0.0000000000E00	3.2261270620E00	3.2273634899E00	3.1934726778E00	3.1965957785E00	3.2212911857E00	3.2045521804E00	3.2045521804E00	3.1913749975E00	6.2565740789E-01	6.8567590272E-01	1.0162309502E00	1.0473969823E00	8.8601803046E-01	2.9249424586E00	2.9381535679E00	2.7641208184E00	2.7606541165E00	2.7162212466E00	2.8571032483E00	2.4474009480E00	7.7998440061E01	5.3188142234E-01	3.1599162991E00	7.7998440594E01	3.1615137909E00	3.0465404850E00	3.1574644063E00	3.0574072000E00	2.6256848562E00	
Caplet Value Analytic Single-Curve	2.5728054039E00	2.5743032540E00	2.0943073256E00	2.1612293031E00	2.1209584950E00	2.0707450686E00	2.0918416909E00	2.0846804827E00	2.0846804827E00	3.2261270620E00	0.0000000000E00	9.8666187760E-02	7.3965638579E-01	7.1875664705E-01	3.9859698966E-01	5.7178392627E-01	5.7178392627E-01	9.8706965694E-01	2.3232299043E00	2.3036783857E00	2.3119915156E00	2.3190919817E00	2.8945452312E00	3.5024924069E00	3.4610774581E00	3.6463777240E00	3.4678314498E00	3.6833935700E00	4.5538809488E00	4.8736365009E00	7.7998440061E01	2.2805534928E00	1.3770208807E00	7.7998440594E01	1.3923636539E00	1.6957475917E00	1.3533133295E00	1.6318924770E00	3.6231531881E00	
Caplet Value Monte-Carlo Single-Curve	2.5736421502E00	2.5750941229E00	2.0957685453E00	2.1617872584E00	2.1221539647E00	2.0717302653E00	2.0936245486E00	2.0867272719E00	2.0867272719E00	3.2273634899E00	9.8666187760E-02	0.0000000000E00	7.8213590305E-01	7.6097562145E-01	4.6657231425E-01	6.1744015091E-01	6.1744015091E-01	1.0278271391E00	2.3238415839E00	2.3045830018E00	2.3128448711E00	2.3200546525E00	2.8957411438E00	3.5145736159E00	3.4734218784E00	3.6549602305E00	3.4760001654E00	3.6913090361E00	4.5694066921E00	4.8844664635E00	7.7998440061E01	2.2810031585E00	1.3893638810E00	7.7998440594E01	1.4049600501E00	1.7151470273E00	1.3652328938E00	1.6400089492E00	3.6317194336E00	
Caplet Value Analytic Multi-Curve Fenton-Wilkinson	2.5502279540E00	2.5529566166E00	2.0732272920E00	2.1371307985E00	2.0970298624E00	2.0446289166E00	2.0646465089E00	2.0550690632E00	2.0550690632E00	3.1934726778E00	7.3965638579E-01	7.8213590305E-01	0.0000000000E00	8.7326840925E-02	7.8892535963E-01	2.1643370926E-01	2.1643370926E-01	2.0541884937E-01	2.2974132311E00	2.2813403854E00	2.2760037453E00	2.2833401734E00	2.8582851976E00	3.0181245037E00	2.9652170308E00	3.2982595238E00	3.1297969150E00	3.3619163847E00	4.1377897695E00	4.6668201366E00	7.7998440061E01	2.2672880684E00	1.0592040018E00	7.7998440594E01	1.0692362613E00	1.4240900238E00	1.0444091386E00	1.4096855098E00	3.3848734179E00	
Caplet Value Analytic Multi-Curve Ju	2.5526397022E00	2.5552373881E00	2.0760561458E00	2.1397305948E00	2.0998321616E00	2.0471319992E00	2.0680840163E00	2.0590404191E00	2.0590404191E00	3.1965957785E00	7.1875664705E-01	7.6097562145E-01	8.7326840925E-02	0.0000000000E00	7.8985499159E-01	1.6099920684E-01	1.6099920684E-01	2.3333890612E-01	2.3001861938E00	2.2827404720E00	2.2798634628E00	2.2870273748E00	2.8609867464E00	3.0575620977E00	3.0054541241E00	3.3274171993E00	3.1580405039E00	3.3889902869E00	4.1664379195E00	4.6910473658E00	7.7998440061E01	2.2683998562E00	1.0788644847E00	7.7998440594E01	1.0892326302E00	1.4400622206E00	1.0635188727E00	1.4253775245E00	3.4009183762E00	
Caplet Value Analytic Multi-Curve Ho	2.5652243102E00	2.5671389502E00	2.0886283561E00	2.1567613186E00	2.1158018428E00	2.0669590925E00	2.0851000820E00	2.0766073923E00	2.0766073923E00	3.2212911857E00	3.9859698966E-01	4.6657231425E-01	7.8892535963E-01	7.8985499159E-01	0.0000000000E00	6.6388979719E-01	6.6388979719E-01	8.4666052200E-01	2.3184657120E00	2.3008903121E00	2.3053356805E00	2.3129652191E00	2.8922927176E00	3.4394701276E00	3.3965551824E00	3.6017370273E00	3.4248883548E00	3.6498643018E00	4.5310335632E00	4.8193353268E00	7.7998440061E01	2.2770227925E00	1.2563312116E00	7.7998440594E01	1.2700305082E00	1.6235417763E00	1.2354951781E00	1.5583021503E00	3.6144809759E00	
Caplet Value Analytic Multi-Curve Drift-Freeze	2.5578564704E00	2.5601708084E00	2.0808627752E00	2.1455239454E00	2.1054914127E00	2.0535229390E00	2.0743921677E00	2.0657834140E00	2.0657834140E00	3.2045521804E00	5.7178392627E-01	6.1744015091E-01	2.1643370926E-01	1.6099920684E-01	6.6388979719E-01	0.0000000000E00	0.0000000000E00	4.0437282285E-01	2.3063912908E00	2.2865089730E00	2.2885025038E00	2.2956667443E00	2.8699298740E00	3.1711013994E00	3.1215192035E00	3.4102276316E00	3.2385084379E00	3.4656732361E00	4.2642378099E00	4.7381465693E00	7.7998440061E01	2.2713334345E00	1.1366120072E00	7.7998440594E01	1.1479507890E00	1.4848556592E00	1.1196614859E00	1.4694007651E00	3.4577737411E00	
