	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.7987730221E-02	5.9037439282E-01	6.4345650357E-01	6.7165675821E-01	7.3711214993E-01	8.5538433475E-01	8.8644343056E-01	8.8644343056E-01	7.3436069062E-01	2.0169862083E00	2.0174330445E00	2.0055940425E00	2.0067093794E00	2.0084315860E00	2.0094284120E00	2.0094284120E00	2.0068100024E00	6.7083426031E-01	?	9.5314373455E-01	9.4576707864E-01	?	1.9180775044E00	?	1.8637183554E00	1.8638903158E00	?	1.8780167299E00	1.7100751465E00	?	5.6696349714E-01	1.9910885037E00	?	1.9915573864E00	1.9522275996E00	1.9901759964E00	1.9515554996E00	1.7940853572E00	
Target (LIBOR)	5.7987730221E-02	0.0000000000E00	6.4105517206E-01	6.9362067620E-01	7.2022370365E-01	7.8490536826E-01	9.0055589565E-01	9.3205074590E-01	9.3205074590E-01	7.8125285836E-01	2.0176831742E00	2.0181053347E00	2.0069181302E00	2.0079722049E00	2.0095997541E00	2.0105418200E00	2.0105418200E00	2.0080673126E00	7.2057036286E-01	?	9.9717111686E-01	9.8983909102E-01	?	1.9240860299E00	?	1.8725184716E00	1.8726833310E00	?	1.8860485700E00	1.7262427875E00	?	6.1917690289E-01	1.9932068145E00	?	1.9936501272E00	1.9564453867E00	1.9923440662E00	1.9558091402E00	1.8062736608E00	
Caplet Vola Analytic Single-Curve	5.9037439282E-01	6.4105517206E-01	0.0000000000E00	7.4240650825E-02	9.6458777511E-02	1.6365120888E-01	3.0231978418E-01	3.4352227931E-01	3.4352227931E-01	2.2496765732E-01	1.9797984409E00	1.9805867943E00	1.9594859650E00	1.9614354900E00	1.9644308688E00	1.9663002173E00	1.9663002173E00	1.9616529814E00	1.5348534164E-01	?	4.4076926692E-01	4.3364576625E-01	?	1.8060430722E00	?	1.7131601417E00	1.7133818419E00	?	1.7330912376E00	1.4722993113E00	?	7.7786554434E-02	1.9350109964E00	?	1.9358426910E00	1.8682025476E00	1.9334134093E00	1.8669590717E00	1.5915441718E00	
Caplet Vola Monte-Carlo Single-Curve	6.4345650357E-01	6.9362067620E-01	7.4240650825E-02	0.0000000000E00	8.6935851979E-02	1.1804536333E-01	2.5853555304E-01	2.8658276014E-01	2.8658276014E-01	2.0257427482E-01	1.9781158621E00	1.9789401516E00	1.9565878381E00	1.9586424599E00	1.9618328056E00	1.9637990335E00	1.9637990335E00	1.9588746135E00	1.2254407712E-01	?	3.8281237177E-01	3.7628024368E-01	?	1.7947253785E00	?	1.6971171866E00	1.6973364545E00	?	1.7169213382E00	1.4460838788E00	?	1.0345229434E-01	1.9305020693E00	?	1.9313968416E00	1.8597228419E00	1.9288366084E00	1.8584150935E00	1.5685092630E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	6.7165675821E-01	7.2022370365E-01	9.6458777511E-02	8.6935851979E-02	0.0000000000E00	8.3580317656E-02	2.2203698480E-01	2.7923938226E-01	2.7923938226E-01	1.8682974578E-01	1.9826352084E00	1.9834892342E00	1.9605677723E00	1.9626741372E00	1.9658986707E00	1.9679670268E00	1.9679670268E00	1.9629173574E00	1.5163761370E-01	?	3.8325020426E-01	3.7587562019E-01	?	1.7949296819E00	?	1.6949276322E00	1.6951341815E00	?	1.7135631992E00	1.4429911533E00	?	1.6292523336E-01	1.9345653788E00	?	1.9354733712E00	1.8628085474E00	1.9328364758E00	1.8614513948E00	1.5607638322E00	
Caplet Vola Analytic Multi-Curve Ju	7.3711214993E-01	7.8490536826E-01	1.6365120888E-01	1.1804536333E-01	8.3580317656E-02	0.0000000000E00	1.6251111624E-01	2.0423757788E-01	2.0423757788E-01	1.8635249796E-01	1.9780615650E00	1.9789750567E00	1.9542906258E00	1.9565436817E00	1.9600333291E00	1.9622462770E00	1.9622462770E00	1.9568220298E00	1.5323111929E-01	?	3.0924471167E-01	3.0243187671E-01	?	1.7769556548E00	?	1.6703929206E00	1.6705574342E00	?	1.6880135440E00	1.4063306414E00	?	2.1086812658E-01	1.9262008159E00	?	1.9271752321E00	1.8490772510E00	1.9243551162E00	1.8475940149E00	1.5256170183E00	
Caplet Vola Analytic Multi-Curve Ho	8.5538433475E-01	9.0055589565E-01	3.0231978418E-01	2.5853555304E-01	2.2203698480E-01	1.6251111624E-01	0.0000000000E00	1.4138158659E-01	1.4138158659E-01	2.5568389222E-01	1.9920759479E00	1.9931380797E00	1.9648197318E00	1.9674340586E00	1.9713374287E00	1.9739665614E00	1.9739665614E00	1.9677241356E00	2.7433043116E-01	?	2.5123894280E-01	2.5162200497E-01	?	1.7621176563E00	?	1.6419589923E00	1.6421991622E00	?	1.6673200904E00	1.3452135297E00	?	3.4295172953E-01	1.9331665250E00	?	1.9342833454E00	1.8456403329E00	1.9310287279E00	1.8439965446E00	1.4861944400E00	
Caplet Vola Analytic Multi-Curve Drift-Freeze	8.8644343056E-01	9.3205074590E-01	3.4352227931E-01	2.8658276014E-01	2.7923938226E-01	2.0423757788E-01	1.4138158659E-01	0.0000000000E00	0.0000000000E00	2.9273533406E-01	1.9705954490E00	1.9717053056E00	1.9420644486E00	1.9447979298E00	1.9489996739E00	1.9516223965E00	1.9516223965E00	1.9451029834E00	2.8509522880E-01	?	1.4937568501E-01	1.5948799877E-01	?	1.7308042420E00	?	1.6064724564E00	1.6067027919E00	?	1.6340042246E00	1.2997863235E00	?	3.6221271260E-01	1.9078399269E00	?	1.9090002210E00	1.8152967351E00	1.9056116424E00	1.8135856945E00	1.4486685150E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	8.8644343056E-01	9.3205074590E-01	3.4352227931E-01	2.8658276014E-01	2.7923938226E-01	2.0423757788E-01	1.4138158659E-01	0.0000000000E00	0.0000000000E00	2.9273533406E-01	1.9705954490E00	1.9717053056E00	1.9420644486E00	1.9447979298E00	1.9489996739E00	1.9516223965E00	1.9516223965E00	1.9451029834E00	2.8509522880E-01	?	1.4937568501E-01	1.5948799877E-01	?	1.7308042420E00	?	1.6064724564E00	1.6067027919E00	?	1.6340042246E00	1.2997863235E00	?	3.6221271260E-01	1.9078399269E00	?	1.9090002210E00	1.8152967351E00	1.9056116424E00	1.8135856945E00	1.4486685150E00	
Caplet Vola Monte-Carlo Multi-Curve	7.3436069062E-01	7.8125285836E-01	2.2496765732E-01	2.0257427482E-01	1.8682974578E-01	1.8635249796E-01	2.5568389222E-01	2.9273533406E-01	2.9273533406E-01	0.0000000000E00	2.0161239797E00	2.0170306363E00	1.9925515310E00	1.9948051470E00	1.9982579210E00	2.0004634563E00	2.0004634563E00	1.9946838008E00	2.4759216620E-01	?	3.9188124891E-01	3.9127930533E-01	?	1.8128603411E00	?	1.7054673464E00	1.7059866890E00	?	1.7363349802E00	1.4384384390E00	?	2.6025348803E-01	1.9647844652E00	?	1.9658002092E00	1.8874286940E00	1.9629576306E00	1.8869234068E00	1.5743765450E00	
