	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	8.5208274879E-02	1.2491216630E00	1.2778516650E00	1.4620028405E00	1.5017758107E00	1.9717533728E00	1.6075634033E00	1.6075634033E00	1.4938798342E00	2.9706876293E00	2.9710228891E00	2.9610407781E00	2.9618693034E00	2.9655386339E00	2.9639954470E00	2.9639954470E00	2.9619574396E00	1.2403896797E00	?	1.6029488748E00	1.5989586232E00	?	2.8913543741E00	?	2.8465429048E00	2.8469316091E00	?	2.8496005945E00	2.7165198108E00	?	1.0590794014E00	2.9339048860E00	?	2.9342279472E00	2.8855988701E00	2.9332226154E00	2.8851126366E00	2.7906178064E00	
Target (LIBOR)	8.5208274879E-02	0.0000000000E00	1.3117720990E00	1.3407683040E00	1.5183932600E00	1.5580707806E00	2.0117698306E00	1.6628642755E00	1.6628642755E00	1.5502949651E00	2.9713302444E00	2.9716470005E00	2.9622144769E00	2.9629975326E00	2.9664645130E00	2.9650068637E00	2.9650068637E00	2.9630808372E00	1.3054073522E00	?	1.6597471530E00	1.6557719386E00	?	2.8962703249E00	?	2.8537801389E00	2.8541490388E00	?	2.8566915344E00	2.7301509847E00	?	1.1284041564E00	2.9365684897E00	?	2.9368740663E00	2.8908725132E00	2.9359231918E00	2.8904118008E00	2.8006386882E00	
Caplet Vola Analytic Single-Curve	1.2491216630E00	1.3117720990E00	0.0000000000E00	1.4642083993E-01	2.4951063854E-01	2.6092344049E-01	8.5796303072E-01	3.5954991323E-01	3.5954991323E-01	4.1419092546E-01	2.0943073256E00	2.0957685453E00	2.0732273036E00	2.0760429193E00	2.0785768257E00	2.0807588780E00	2.0807588780E00	2.0763183914E00	3.3625153576E-01	?	6.4068757089E-01	6.5937591563E-01	?	1.9864465483E00	?	1.9278083497E00	1.9283395842E00	?	1.9327615675E00	1.7853077378E00	?	2.5686509072E-01	2.0501797148E00	?	2.0506703842E00	1.9807599924E00	2.0471046293E00	1.9786892864E00	1.7853551226E00	
Caplet Vola Monte-Carlo Single-Curve	1.2778516650E00	1.3407683040E00	1.4642083993E-01	0.0000000000E00	2.5561373890E-01	2.6763496428E-01	8.8606135137E-01	3.5601941570E-01	3.5601941570E-01	5.0515518185E-01	2.1612292938E00	2.1617872491E00	2.1371308018E00	2.1397188652E00	2.1429541095E00	2.1454117983E00	2.1454117983E00	2.1404635666E00	2.8980374795E-01	?	6.0349284129E-01	6.3779361854E-01	?	2.0502410668E00	?	1.9834195738E00	1.9838924405E00	?	1.9104864772E00	1.8354878621E00	?	2.6644089987E-01	2.1119409628E00	?	2.1136261019E00	2.0400576894E00	2.1109316755E00	2.0372089584E00	1.7910094662E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.4620028405E00	1.5183932600E00	2.4951063854E-01	2.5561373890E-01	0.0000000000E00	1.2377420203E-01	6.0860564364E-01	3.1071839404E-01	3.1071839404E-01	4.8068649708E-01	2.1209609954E00	2.1221564670E00	2.0970323333E00	2.0998219075E00	2.1029087465E00	2.1053807093E00	2.1053807093E00	2.1014719875E00	3.3589356272E-01	?	5.9068763691E-01	6.2127093344E-01	?	2.0062557375E00	?	1.9397086447E00	1.9401771105E00	?	1.9073572688E00	1.7930275291E00	?	5.1500616255E-01	2.0727178183E00	?	2.0736096269E00	2.0013391026E00	2.0702790939E00	1.9962617521E00	1.7489436576E00	
Caplet Vola Analytic Multi-Curve Ju	1.5017758107E00	1.5580707806E00	2.6092344049E-01	2.6763496428E-01	1.2377420203E-01	0.0000000000E00	6.3188398938E-01	2.5913319667E-01	2.5913319667E-01	5.9635731731E-01	2.0707919828E00	2.0717768446E00	2.0446846682E00	2.0471756796E00	2.0508470957E00	2.0534567892E00	2.0534567892E00	2.0443886920E00	3.5601046609E-01	?	4.8739149560E-01	5.2405074235E-01	?	1.9478745397E00	?	1.8781394605E00	1.8786258742E00	?	1.8339204835E00	1.7262181624E00	?	5.3609398537E-01	2.0191323183E00	?	2.0204277995E00	1.9364150395E00	2.0171503284E00	1.9385103839E00	1.6458986211E00	
Caplet Vola Analytic Multi-Curve Ho	1.9717533728E00	2.0117698306E00	8.5796303072E-01	8.8606135137E-01	6.0860564364E-01	6.3188398938E-01	0.0000000000E00	6.7077837681E-01	6.7077837681E-01	7.5789568366E-01	2.1573221456E00	2.1592244334E00	2.1281327836E00	2.1317905667E00	2.1354127110E00	2.1384395081E00	2.1384395081E00	2.1330113495E00	9.8664092151E-01	?	7.7533734027E-01	7.7103027418E-01	?	2.0020152586E00	?	1.9214228680E00	1.9219857463E00	?	1.9159613827E00	1.7476744869E00	?	1.1473348110E00	2.0979790702E00	?	2.0988271180E00	2.0083287917E00	2.0940839745E00	2.0028923912E00	1.7322747903E00	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.6075634033E00	1.6628642755E00	3.5954991323E-01	3.5601941570E-01	3.1071839404E-01	2.5913319667E-01	6.7077837681E-01	0.0000000000E00	0.0000000000E00	8.6924981558E-01	2.0848023135E00	2.0868415898E00	2.0552984029E00	2.0592368514E00	2.0627752747E00	2.0658286363E00	2.0658286363E00	2.0596219035E00	4.3639184870E-01	?	3.2955648994E-01	3.5381029216E-01	?	1.9398903359E00	?	1.8612357982E00	1.8619418738E00	?	1.8713295478E00	1.6767991928E00	?	6.0435626743E-01	2.0231303767E00	?	2.0238091148E00	1.9273497937E00	2.0188431482E00	1.9244272940E00	1.6771634297E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.6075634033E00	1.6628642755E00	3.5954991323E-01	3.5601941570E-01	3.1071839404E-01	2.5913319667E-01	6.7077837681E-01	0.0000000000E00	0.0000000000E00	8.6924981558E-01	2.0848023135E00	2.0868415898E00	2.0552984029E00	2.0592368514E00	2.0627752747E00	2.0658286363E00	2.0658286363E00	2.0596219035E00	4.3639184870E-01	?	3.2955648994E-01	3.5381029216E-01	?	1.9398903359E00	?	1.8612357982E00	1.8619418738E00	?	1.8713295478E00	1.6767991928E00	?	6.0435626743E-01	2.0231303767E00	?	2.0238091148E00	1.9273497937E00	2.0188431482E00	1.9244272940E00	1.6771634297E00	
Caplet Vola Monte-Carlo Multi-Curve	1.4938798342E00	1.5502949651E00	4.1419092546E-01	5.0515518185E-01	4.8068649708E-01	5.9635731731E-01	7.5789568366E-01	8.6924981558E-01	8.6924981558E-01	0.0000000000E00	3.2292892643E00	3.2305255592E00	3.1966385416E00	3.1997471332E00	3.2043966367E00	3.2075671370E00	3.2075671370E00	3.1945179735E00	6.2249776715E-01	?	1.0081580468E00	1.0423528530E00	?	2.9281424333E00	?	2.7658717974E00	2.7635526545E00	?	2.8602708164E00	2.4505562752E00	?	5.2950870428E-01	3.1630822199E00	?	3.1646793959E00	3.0497411745E00	3.1606305212E00	3.0605781504E00	2.6288547288E00	
