	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	8.8712230371E-02	1.0476804604E00	1.0490857479E00	1.1214639119E00	1.1473725205E00	?	1.1825365400E00	1.1825365400E00	1.1439872270E00	1.5049711183E00	1.5049785693E00	1.5026452341E00	1.5029950929E00	?	1.5034713729E00	1.5034713729E00	1.5029467903E00	1.0859019634E00	1.0895050118E00	1.2073898296E00	1.2101136045E00	1.1878294215E00	1.4821876467E00	1.4824016098E00	1.4704469963E00	1.4710859962E00	1.4682522444E00	1.4449027881E00	1.3752874035E00	2.6742471629E62	6.4386969892E-01	1.4930956835E00	2.6807034963E68	1.4932137897E00	1.4781501193E00	1.4931079163E00	1.4781079163E00	1.4081079163E00	
Target (LIBOR)	8.8712230371E-02	0.0000000000E00	1.1363926908E00	1.1377979783E00	1.2101761423E00	1.2360847509E00	?	1.2712487704E00	1.2712487704E00	1.2326994573E00	1.5936833487E00	1.5936907997E00	1.5913574644E00	1.5917073232E00	?	1.5921836033E00	1.5921836033E00	1.5916590207E00	1.1746141938E00	1.1782172422E00	1.2961020600E00	1.2988258349E00	1.2765416519E00	1.5708998771E00	1.5711138402E00	1.5591592266E00	1.5597982265E00	1.5569644748E00	1.5336150185E00	1.4639996339E00	2.6742471629E62	7.3258192929E-01	1.5818079139E00	2.6807034963E68	1.5819260200E00	1.5668623497E00	1.5818201467E00	1.5668201467E00	1.4968201467E00	
Caplet Vola Analytic Single-Curve	1.0476804604E00	1.1363926908E00	0.0000000000E00	5.0038028741E-03	7.3783451464E-02	9.9692060085E-02	?	1.3485607958E-01	1.3485607958E-01	9.6306766510E-02	4.5729065786E-01	4.5729810888E-01	4.5496477362E-01	4.5531463243E-01	?	4.5579091248E-01	4.5579091248E-01	4.5526632985E-01	6.1290056231E-02	6.2191877673E-02	1.5970936919E-01	1.6243314405E-01	1.4014896108E-01	4.3450718629E-01	4.3472114938E-01	4.2276653582E-01	4.2340553571E-01	4.2057178396E-01	3.9722232767E-01	3.2760694305E-01	2.6742471629E62	4.0381076152E-01	4.4541522304E-01	2.6807034963E68	4.4553332923E-01	4.3046965890E-01	4.4542745587E-01	4.3042745587E-01	3.6042745587E-01	
Caplet Vola Monte-Carlo Single-Curve	1.0490857479E00	1.1377979783E00	5.0038028741E-03	0.0000000000E00	7.2378164011E-02	9.8286772632E-02	?	1.3345079213E-01	1.3345079213E-01	9.4901479057E-02	4.5588537040E-01	4.5589282143E-01	4.5355948617E-01	4.5390934498E-01	?	4.5438562503E-01	4.5438562503E-01	4.5386104240E-01	5.9912860046E-02	6.0340313647E-02	1.5830408174E-01	1.6102785660E-01	1.3874367363E-01	4.3310189883E-01	4.3331586193E-01	4.2136124837E-01	4.2200024826E-01	4.1916649651E-01	3.9581704021E-01	3.2620165560E-01	2.6742471629E62	4.0521604898E-01	4.4400993559E-01	2.6807034963E68	4.4412804178E-01	4.2906437145E-01	4.4402216842E-01	4.2902216842E-01	3.5902216842E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.1214639119E00	1.2101761423E00	7.3783451464E-02	7.2378164011E-02	0.0000000000E00	2.5908608621E-02	?	6.1072628116E-02	6.1072628116E-02	2.2587245719E-02	3.8350720639E-01	3.8351465742E-01	3.8118132216E-01	3.8153118097E-01	?	3.8200746102E-01	3.8200746102E-01	3.8148287839E-01	6.5835688166E-02	6.4782310191E-02	9.2385709906E-02	9.5072136155E-02	7.3699798859E-02	3.6072373482E-01	3.6093769792E-01	3.4898308436E-01	3.4962208425E-01	3.4678833250E-01	3.2343887620E-01	2.5382349159E-01	2.6742471629E62	4.7759421299E-01	3.7163177158E-01	2.6807034963E68	3.7174987777E-01	3.5668620743E-01	3.7164400441E-01	3.5664400441E-01	2.8664400441E-01	
Caplet Vola Analytic Multi-Curve Ju	1.1473725205E00	1.2360847509E00	9.9692060085E-02	9.8286772632E-02	2.5908608621E-02	0.0000000000E00	?	3.5164019495E-02	3.5164019495E-02	5.1811285380E-03	3.5759859777E-01	3.5760604880E-01	3.5527271354E-01	3.5562257235E-01	?	3.5609885240E-01	3.5609885240E-01	3.5557426977E-01	7.7103063814E-02	7.5535955533E-02	6.6631058515E-02	6.9317484764E-02	5.5107111215E-02	3.3481512620E-01	3.3502908930E-01	3.2307447573E-01	3.2371347563E-01	3.2087972387E-01	2.9753026758E-01	2.2791488297E-01	2.6742471629E62	5.0350282161E-01	3.4572316296E-01	2.6807034963E68	3.4584126915E-01	3.3077759881E-01	3.4573539579E-01	3.3073539579E-01	2.6073539579E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.1825365400E00	1.2712487704E00	1.3485607958E-01	1.3345079213E-01	6.1072628116E-02	3.5164019495E-02	?	0.0000000000E00	0.0000000000E00	3.8549313070E-02	3.2243457828E-01	3.2244202930E-01	3.2010869404E-01	3.2045855285E-01	?	3.2093483290E-01	3.2093483290E-01	3.2041025027E-01	9.9899572170E-02	9.7639165604E-02	4.2909821392E-02	4.5664791994E-02	4.7272167780E-02	2.9965110671E-01	2.9986506980E-01	2.8791045624E-01	2.8854945613E-01	2.8571570438E-01	2.6236624809E-01	1.9275086347E-01	2.6742471629E62	5.3866684110E-01	3.1055914346E-01	2.6807034963E68	3.1067724965E-01	2.9561357932E-01	3.1057137629E-01	2.9557137629E-01	2.2557137629E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.1825365400E00	1.2712487704E00	1.3485607958E-01	1.3345079213E-01	6.1072628116E-02	3.5164019495E-02	?	0.0000000000E00	0.0000000000E00	3.8549313070E-02	3.2243457828E-01	3.2244202930E-01	3.2010869404E-01	3.2045855285E-01	?	3.2093483290E-01	3.2093483290E-01	3.2041025027E-01	9.9899572170E-02	9.7639165604E-02	4.2909821392E-02	4.5664791994E-02	4.7272167780E-02	2.9965110671E-01	2.9986506980E-01	2.8791045624E-01	2.8854945613E-01	2.8571570438E-01	2.6236624809E-01	1.9275086347E-01	2.6742471629E62	5.3866684110E-01	3.1055914346E-01	2.6807034963E68	3.1067724965E-01	2.9561357932E-01	3.1057137629E-01	2.9557137629E-01	2.2557137629E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.1439872270E00	1.2326994573E00	9.6306766510E-02	9.4901479057E-02	2.2587245719E-02	5.1811285380E-03	?	3.8549313070E-02	3.8549313070E-02	0.0000000000E00	3.6098389135E-01	3.6099134237E-01	3.5865800711E-01	3.5900786592E-01	?	3.5948414597E-01	3.5948414597E-01	3.5895956334E-01	7.4684625843E-02	7.3397864181E-02	6.9930000780E-02	7.2616427029E-02	5.6846283127E-02	3.3820041978E-01	3.3841438287E-01	3.2645976931E-01	3.2709876920E-01	3.2426501745E-01	3.0091556116E-01	2.3130017654E-01	2.6742471629E62	5.0011752803E-01	3.4910845653E-01	2.6807034963E68	3.4922656272E-01	3.3416289239E-01	3.4912068936E-01	3.3412068936E-01	2.6412068936E-01	
