	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	8.8712230371E-02	9.4888820405E-01	9.5545013461E-01	1.0208959404E00	1.0627029373E00	?	1.1112053201E00	1.1112053201E00	1.0539502354E00	1.5044496884E00	1.5044836206E00	1.5014843264E00	1.5019778444E00	?	1.5025788818E00	1.5025788818E00	1.5018714875E00	9.9669121006E-01	1.0041991929E00	1.1424907538E00	1.1456169093E00	1.1119002737E00	1.4771660053E00	1.4775696047E00	1.4625951575E00	1.4633593024E00	1.4592652607E00	1.4449027881E00	1.3752874035E00	2.7261461245E168	6.4386969892E-01	1.4931537118E00	1.5516287669E167	1.4932850991E00	1.4781769049E00	1.4931079163E00	1.4781079163E00	1.4081079163E00	
Target (LIBOR)	8.8712230371E-02	0.0000000000E00	1.0376004344E00	1.0441623650E00	1.1096081707E00	1.1514151677E00	?	1.1999175505E00	1.1999175505E00	1.1426624657E00	1.5931619188E00	1.5931958510E00	1.5901965567E00	1.5906900748E00	?	1.5912911122E00	1.5912911122E00	1.5905837179E00	1.0854034404E00	1.0929114232E00	1.2312029841E00	1.2343291397E00	1.2006125041E00	1.5658782357E00	1.5662818351E00	1.5513073878E00	1.5520715328E00	1.5479774911E00	1.5336150185E00	1.4639996339E00	2.7261461245E168	7.3258192929E-01	1.5818659422E00	1.5516287669E167	1.5819973294E00	1.5668891352E00	1.5818201467E00	1.5668201467E00	1.4968201467E00	
Caplet Vola Analytic Single-Curve	9.4888820405E-01	1.0376004344E00	0.0000000000E00	8.9225052272E-03	7.2007736322E-02	1.1381473325E-01	?	1.6231711604E-01	1.6231711604E-01	1.0506203132E-01	5.5556148437E-01	5.5559541653E-01	5.5259612231E-01	5.5308964037E-01	?	5.5369067779E-01	5.5369067779E-01	5.5298328349E-01	6.9857279541E-02	7.3037128170E-02	1.9360254971E-01	1.9672870526E-01	1.6301206965E-01	5.2827780125E-01	5.2868140068E-01	5.1370695341E-01	5.1447109833E-01	5.1037705667E-01	4.9601458405E-01	4.2639919944E-01	2.7261461245E168	3.0501850513E-01	5.4426550779E-01	1.5516287669E167	5.4439689500E-01	5.2928870082E-01	5.4421971226E-01	5.2921971226E-01	4.5921971226E-01	
Caplet Vola Monte-Carlo Single-Curve	9.5545013461E-01	1.0441623650E00	8.9225052272E-03	0.0000000000E00	6.5445805766E-02	1.0725280269E-01	?	1.5575518548E-01	1.5575518548E-01	9.8500100766E-02	5.4899955382E-01	5.4903348597E-01	5.4603419176E-01	5.4652770982E-01	?	5.4712874724E-01	5.4712874724E-01	5.4642135293E-01	6.6691296401E-02	6.7886299819E-02	1.8704061915E-01	1.9016677470E-01	1.5645013909E-01	5.2171587069E-01	5.2211947013E-01	5.0714502285E-01	5.0790916777E-01	5.0381512611E-01	4.8945265350E-01	4.1983726888E-01	2.7261461245E168	3.1158043569E-01	5.3770357723E-01	1.5516287669E167	5.3783496445E-01	5.2272677027E-01	5.3765778170E-01	5.2265778170E-01	4.5265778170E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.0208959404E00	1.1096081707E00	7.2007736322E-02	6.5445805766E-02	0.0000000000E00	4.1806996928E-02	?	9.0309379713E-02	9.0309379713E-02	3.3188255623E-02	4.8355374805E-01	4.8358768020E-01	4.8058838599E-01	4.8108190405E-01	?	4.8168294147E-01	4.8168294147E-01	4.8097554717E-01	7.1982161851E-02	6.9234159885E-02	1.2725285955E-01	1.3034098486E-01	9.7760263852E-02	4.5627006493E-01	4.5667366436E-01	4.4169921709E-01	4.4246336201E-01	4.3836932035E-01	4.2400684773E-01	3.5439146312E-01	2.7261461245E168	3.7702624146E-01	4.7225777146E-01	1.5516287669E167	4.7238915868E-01	4.5728096450E-01	4.7221197594E-01	4.5721197594E-01	3.8721197594E-01	
Caplet Vola Analytic Multi-Curve Ju	1.0627029373E00	1.1514151677E00	1.1381473325E-01	1.0725280269E-01	4.1806996928E-02	0.0000000000E00	?	4.8502382785E-02	4.8502382785E-02	1.0461824281E-02	4.4174675112E-01	4.4178068328E-01	4.3878138906E-01	4.3927490712E-01	?	4.3987594454E-01	4.3987594454E-01	4.3916855024E-01	8.4493171280E-02	8.0450932261E-02	8.5611963390E-02	8.8700088698E-02	6.4809442371E-02	4.1446306800E-01	4.1486666743E-01	3.9989222016E-01	4.0065636508E-01	3.9656232342E-01	3.8219985080E-01	3.1258446619E-01	2.7261461245E168	4.1883323839E-01	4.3045077453E-01	1.5516287669E167	4.3058216175E-01	4.1547396757E-01	4.3040497901E-01	4.1540497901E-01	3.4540497901E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.1112053201E00	1.1999175505E00	1.6231711604E-01	1.5575518548E-01	9.0309379713E-02	4.8502382785E-02	?	0.0000000000E00	0.0000000000E00	5.7255084713E-02	3.9324436834E-01	3.9327830049E-01	3.9027900628E-01	3.9077252434E-01	?	3.9137356176E-01	3.9137356176E-01	3.9066616746E-01	1.1707173496E-01	1.1103929441E-01	4.9077926468E-02	5.2525886535E-02	5.5631516616E-02	3.6596068521E-01	3.6636428465E-01	3.5138983738E-01	3.5215398229E-01	3.4805994063E-01	3.3369746802E-01	2.6408208340E-01	2.7261461245E168	4.6733562117E-01	3.8194839175E-01	1.5516287669E167	3.8207977897E-01	3.6697158479E-01	3.8190259622E-01	3.6690259622E-01	2.9690259622E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.1112053201E00	1.1999175505E00	1.6231711604E-01	1.5575518548E-01	9.0309379713E-02	4.8502382785E-02	?	0.0000000000E00	0.0000000000E00	5.7255084713E-02	3.9324436834E-01	3.9327830049E-01	3.9027900628E-01	3.9077252434E-01	?	3.9137356176E-01	3.9137356176E-01	3.9066616746E-01	1.1707173496E-01	1.1103929441E-01	4.9077926468E-02	5.2525886535E-02	5.5631516616E-02	3.6596068521E-01	3.6636428465E-01	3.5138983738E-01	3.5215398229E-01	3.4805994063E-01	3.3369746802E-01	2.6408208340E-01	2.7261461245E168	4.6733562117E-01	3.8194839175E-01	1.5516287669E167	3.8207977897E-01	3.6697158479E-01	3.8190259622E-01	3.6690259622E-01	2.9690259622E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.0539502354E00	1.1426624657E00	1.0506203132E-01	9.8500100766E-02	3.3188255623E-02	1.0461824281E-02	?	5.7255084713E-02	5.7255084713E-02	0.0000000000E00	4.5049945305E-01	4.5053338521E-01	4.4753409099E-01	4.4802760905E-01	?	4.4862864647E-01	4.4862864647E-01	4.4792125217E-01	8.0834492303E-02	7.7419814610E-02	9.4236258935E-02	9.7324384243E-02	7.0917119019E-02	4.2321576993E-01	4.2361936936E-01	4.0864492209E-01	4.0940906701E-01	4.0531502535E-01	3.9095255273E-01	3.2133716812E-01	2.7261461245E168	4.1008053646E-01	4.3920347646E-01	1.5516287669E167	4.3933486368E-01	4.2422666950E-01	4.3915768094E-01	4.2415768094E-01	3.5415768094E-01	
Caplet Value Analytic Single-Curve	1.5044496884E00	1.5931619188E00	5.5556148437E-01	5.4899955382E-01	4.8355374805E-01	4.4174675112E-01	?	3.9324436834E-01	3.9324436834E-01	4.5049945305E-01	0.0000000000E00	4.5665567198E-05	2.9653620621E-03	2.4718440019E-03	?	1.8708065820E-03	1.8708065820E-03	2.5782008839E-03	5.0775847837E-01	5.0025049555E-01	3.6195893467E-01	3.5883277911E-01	3.9254941472E-01	2.7283683125E-02	2.6880083690E-02	4.1854530964E-02	4.1090386044E-02	4.5184427705E-02	5.9546900321E-02	1.2916228494E-01	2.7261461245E168	8.6057998951E-01	1.1295976589E-02	1.5516287669E167	1.1164589371E-02	2.6272783551E-02	1.1341772116E-02	2.6341772116E-02	9.6341772116E-02	
Caplet Value Monte-Carlo Single-Curve	1.5044836206E00	1.5931958510E00	5.5559541653E-01	5.4903348597E-01	4.8358768020E-01	4.4178068328E-01	?	3.9327830049E-01	3.9327830049E-01	4.5053338521E-01	4.5665567198E-05	0.0000000000E00	2.9992942145E-03	2.5057761543E-03	?	1.9047387345E-03	1.9047387345E-03	2.6121330363E-03	5.0779241052E-01	5.0028442771E-01	3.6199286682E-01	3.5886671127E-01	3.9258334688E-01	2.7317615277E-02	2.6914015842E-02	4.1888463116E-02	4.1124318197E-02	4.5218359858E-02	5.9580832474E-02	1.2919621709E-01	2.7261461245E168	8.6061392166E-01	1.1329908742E-02	1.5516287669E167	1.1198521524E-02	2.6306715704E-02	1.1375704269E-02	2.6375704269E-02	9.6375704269E-02	
Caplet Value Analytic Multi-Curve Fenton-Wilkinson	1.5014843264E00	1.5901965567E00	5.5259612231E-01	5.4603419176E-01	4.8058838599E-01	4.3878138906E-01	?	3.9027900628E-01	3.9027900628E-01	4.4753409099E-01	2.9653620621E-03	2.9992942145E-03	0.0000000000E00	4.9351806019E-04	?	1.0945554801E-03	1.0945554801E-03	3.8771561212E-04	5.0479311631E-01	4.9728513349E-01	3.5899357261E-01	3.5586741705E-01	3.8958405266E-01	2.4320084280E-02	2.3933876181E-02	3.8889168902E-02	3.8125023982E-02	4.2219065643E-02	5.6581538259E-02	1.2619692287E-01	2.7261461245E168	8.5761462745E-01	8.3306145273E-03	1.5516287669E167	8.1992273091E-03	2.3307421489E-02	8.3764100542E-03	2.3376410054E-02	9.3376410054E-02	
Caplet Value Analytic Multi-Curve Ju	1.5019778444E00	1.5906900748E00	5.5308964037E-01	5.4652770982E-01	4.8108190405E-01	4.3927490712E-01	?	3.9077252434E-01	3.9077252434E-01	4.4802760905E-01	2.4718440019E-03	2.5057761543E-03	4.9351806019E-04	0.0000000000E00	?	6.0103741986E-04	6.0103741986E-04	1.2737599909E-04	5.0528663437E-01	4.9777865155E-01	3.5948709067E-01	3.5636093511E-01	3.9007757072E-01	2.4811839123E-02	2.4408239688E-02	3.9382686962E-02	3.8618542042E-02	4.2712583703E-02	5.7075056320E-02	1.2669044093E-01	2.7261461245E168	8.5810814551E-01	8.8241325875E-03	1.5516287669E167	8.6927453693E-03	2.3800939549E-02	8.8699281144E-03	2.3869928114E-02	9.3869928114E-02	
Caplet Value Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Value Analytic Multi-Curve Drift-Freeze	1.5025788818E00	1.5912911122E00	5.5369067779E-01	5.4712874724E-01	4.8168294147E-01	4.3987594454E-01	?	3.9137356176E-01	3.9137356176E-01	4.4862864647E-01	1.8708065820E-03	1.9047387345E-03	1.0945554801E-03	6.0103741986E-04	?	0.0000000000E00	0.0000000000E00	7.0739430183E-04	5.0588767179E-01	4.9837968897E-01	3.6008812809E-01	3.5696197253E-01	3.9067860814E-01	2.5412876543E-02	2.5009277108E-02	3.9983724382E-02	3.9219579462E-02	4.3313621123E-02	5.7676093739E-02	1.2729147835E-01	2.7261461245E168	8.5870918293E-01	9.4251700074E-03	1.5516287669E167	9.2937827891E-03	2.4401976969E-02	9.4709655342E-03	2.4470965534E-02	9.4470965534E-02	
Caplet Value Analytic Multi-Curve Integrated-Expectation	1.5025788818E00	1.5912911122E00	5.5369067779E-01	5.4712874724E-01	4.8168294147E-01	4.3987594454E-01	?	3.9137356176E-01	3.9137356176E-01	4.4862864647E-01	1.8708065820E-03	1.9047387345E-03	1.0945554801E-03	6.0103741986E-04	?	0.0000000000E00	0.0000000000E00	7.0739430183E-04	5.0588767179E-01	4.9837968897E-01	3.6008812809E-01	3.5696197253E-01	3.9067860814E-01	2.5412876543E-02	2.5009277108E-02	3.9983724382E-02	3.9219579462E-02	4.3313621123E-02	5.7676093739E-02	1.2729147835E-01	2.7261461245E168	8.5870918293E-01	9.4251700074E-03	1.5516287669E167	9.2937827891E-03	2.4401976969E-02	9.4709655342E-03	2.4470965534E-02	9.4470965534E-02	
Caplet Value Monte-Carlo Multi-Curve	1.5018714875E00	1.5905837179E00	5.5298328349E-01	5.4642135293E-01	4.8097554717E-01	4.3916855024E-01	?	3.9066616746E-01	3.9066616746E-01	4.4792125217E-01	2.5782008839E-03	2.6121330363E-03	3.8771561212E-04	1.2737599909E-04	?	7.0739430183E-04	7.0739430183E-04	0.0000000000E00	5.0518027748E-01	4.9767229467E-01	3.5938073378E-01	3.5625457823E-01	3.8997121384E-01	2.4705482241E-02	2.4301882806E-02	3.9276330080E-02	3.8512185161E-02	4.2606226821E-02	5.6968699438E-02	1.2658408405E-01	2.7261461245E168	8.5800178863E-01	8.7177757055E-03	1.5516287669E167	8.5863884873E-03	2.3694582667E-02	8.7635712324E-03	2.3763571232E-02	9.3763571232E-02	
Swaption Vola Analytic Single-Curve	9.9669121006E-01	1.0854034404E00	6.9857279541E-02	6.6691296401E-02	7.1982161851E-02	8.4493171280E-02	?	1.1707173496E-01	1.1707173496E-01	8.0834492303E-02	5.0775847837E-01	5.0779241052E-01	5.0479311631E-01	5.0528663437E-01	?	5.0588767179E-01	5.0588767179E-01	5.0518027748E-01	0.0000000000E00	8.1199713352E-03	1.4579954370E-01	1.4892569925E-01	1.1520906364E-01	4.8047479524E-01	4.8087839468E-01	4.6590394740E-01	4.6666809232E-01	4.6257405066E-01	4.4821157805E-01	3.7859619343E-01	2.7261461245E168	3.5282151114E-01	4.9646250178E-01	1.5516287669E167	4.9659388900E-01	4.8148569482E-01	4.9641670625E-01	4.8141670625E-01	4.1141670625E-01	
Swaption Vola Monte-Carlo Single-Curve	1.0041991929E00	1.0929114232E00	7.3037128170E-02	6.7886299819E-02	6.9234159885E-02	8.0450932261E-02	?	1.1103929441E-01	1.1103929441E-01	7.7419814610E-02	5.0025049555E-01	5.0028442771E-01	4.9728513349E-01	4.9777865155E-01	?	4.9837968897E-01	4.9837968897E-01	4.9767229467E-01	8.1199713352E-03	0.0000000000E00	1.3829156089E-01	1.4141771644E-01	1.0770108083E-01	4.7296681243E-01	4.7337041186E-01	4.5839596459E-01	4.5916010951E-01	4.5506606785E-01	4.4070359523E-01	3.7108821062E-01	2.7261461245E168	3.6032949396E-01	4.8895451896E-01	1.5516287669E167	4.8908590618E-01	4.7397771200E-01	4.8890872344E-01	4.7390872344E-01	4.0390872344E-01	
Swaption Vola Analytic Multi-Curve Drift-Freeze	1.1424907538E00	1.2312029841E00	1.9360254971E-01	1.8704061915E-01	1.2725285955E-01	8.5611963390E-02	?	4.9077926468E-02	4.9077926468E-02	9.4236258935E-02	3.6195893467E-01	3.6199286682E-01	3.5899357261E-01	3.5948709067E-01	?	3.6008812809E-01	3.6008812809E-01	3.5938073378E-01	1.4579954370E-01	1.3829156089E-01	0.0000000000E00	4.3455077692E-03	3.0590480057E-02	3.3467525154E-01	3.3507885098E-01	3.2010440370E-01	3.2086854862E-01	3.1677450696E-01	3.0241203435E-01	2.3620524887E-01	2.7261461245E168	4.9862105484E-01	3.5066295808E-01	1.5516287669E167	3.5079434530E-01	3.3568615112E-01	3.5061716255E-01	3.3561716255E-01	2.6561716255E-01	
Swaption Vola Analytic Multi-Curve Integrated-Expectation	1.1456169093E00	1.2343291397E00	1.9672870526E-01	1.9016677470E-01	1.3034098486E-01	8.8700088698E-02	?	5.2525886535E-02	5.2525886535E-02	9.7324384243E-02	3.5883277911E-01	3.5886671127E-01	3.5586741705E-01	3.5636093511E-01	?	3.5696197253E-01	3.5696197253E-01	3.5625457823E-01	1.4892569925E-01	1.4141771644E-01	4.3455077692E-03	0.0000000000E00	3.3716635610E-02	3.3154909599E-01	3.3195269542E-01	3.1697824815E-01	3.1774239307E-01	3.1364835141E-01	2.9928587879E-01	2.3390202981E-01	2.7261461245E168	5.0174721039E-01	3.4753680253E-01	1.5516287669E167	3.4766818974E-01	3.3255999556E-01	3.4749100700E-01	3.3249100700E-01	2.6249100700E-01	
Swaption Vola Monte-Carlo Multi-Curve	1.1119002737E00	1.2006125041E00	1.6301206965E-01	1.5645013909E-01	9.7760263852E-02	6.4809442371E-02	?	5.5631516616E-02	5.5631516616E-02	7.0917119019E-02	3.9254941472E-01	3.9258334688E-01	3.8958405266E-01	3.9007757072E-01	?	3.9067860814E-01	3.9067860814E-01	3.8997121384E-01	1.1520906364E-01	1.0770108083E-01	3.0590480057E-02	3.3716635610E-02	0.0000000000E00	3.6526573160E-01	3.6566933103E-01	3.5069488376E-01	3.5145902868E-01	3.4736498702E-01	3.3300251440E-01	2.6623546215E-01	2.7261461245E168	4.6803057478E-01	3.8125343814E-01	1.5516287669E167	3.8138482535E-01	3.6627663117E-01	3.8120764261E-01	3.6620764261E-01	2.9620764261E-01	
Swaption Value Analytic Single-Curve	1.4771660053E00	1.5658782357E00	5.2827780125E-01	5.2171587069E-01	4.5627006493E-01	4.1446306800E-01	?	3.6596068521E-01	3.6596068521E-01	4.2321576993E-01	2.7283683125E-02	2.7317615277E-02	2.4320084280E-02	2.4811839123E-02	?	2.5412876543E-02	2.5412876543E-02	2.4705482241E-02	4.8047479524E-01	4.7296681243E-01	3.3467525154E-01	3.3154909599E-01	3.6526573160E-01	0.0000000000E00	4.4042826711E-04	1.4570847839E-02	1.3806702920E-02	1.7900744581E-02	4.1852791012E-02	1.0187860181E-01	2.7261461245E168	8.3329630638E-01	1.9078618501E-02	1.5516287669E167	1.9174661867E-02	1.4134070790E-02	1.9050103161E-02	1.4186208454E-02	6.9219294356E-02	
