	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.7142857143E-02	8.4968410420E-01	8.6456033122E-01	9.4792302658E-01	1.0200477476E00	?	1.1117899588E00	1.1117899588E00	1.0055640901E00	1.9896991902E00	1.9898403994E00	1.9811159209E00	1.9825191595E00	?	1.9843415045E00	1.9843415045E00	1.9822343101E00	9.2240073622E-01	9.3755960513E-01	1.1679779064E00	1.1713046551E00	1.1066151355E00	1.9134677989E00	1.9148371528E00	1.8738347834E00	1.8754956096E00	1.8638653119E00	1.8391023904E00	1.6762308204E00	2.0000000000E00	5.4281261050E-01	1.9608418503E00	2.0000000000E00	1.9612053790E00	1.9222113175E00	1.9606068622E00	1.9219820672E00	1.7512604745E00	
Target (LIBOR)	5.7142857143E-02	0.0000000000E00	8.9595159240E-01	9.1045824434E-01	9.9163737090E-01	1.0617191163E00	?	1.1506572562E00	1.1506572562E00	1.0476571415E00	1.9902700654E00	1.9904034676E00	1.9821603574E00	1.9834863080E00	?	1.9852082040E00	1.9852082040E00	1.9832171517E00	9.6680387048E-01	9.8155579000E-01	1.2050146143E00	1.2082302871E00	1.1456467072E00	1.9181768053E00	1.9194731736E00	1.8806347991E00	1.8822088324E00	1.8711847915E00	1.8477008051E00	1.6928367471E00	2.0000000000E00	5.9533893221E-01	1.9629971786E00	2.0000000000E00	1.9633408833E00	1.9264534514E00	1.9627750031E00	1.9262364680E00	1.7642649395E00	
Caplet Vola Analytic Single-Curve	8.4968410420E-01	8.9595159240E-01	0.0000000000E00	2.1207635404E-02	1.2300757857E-01	2.1748909013E-01	?	3.4314575051E-01	3.4314575051E-01	1.9822046258E-01	1.9745784581E00	1.9749256480E00	1.9535423770E00	1.9569724065E00	?	1.9614321617E00	1.9614321617E00	1.9562758444E00	1.2735313579E-01	1.3720536892E-01	4.2332105312E-01	4.2814792281E-01	3.3588755559E-01	1.7922719888E00	1.7954590003E00	1.7013654135E00	1.7051237885E00	1.6788972135E00	1.6237647430E00	1.2835905189E00	2.0000000000E00	3.4686691840E-01	1.9043762176E00	2.0000000000E00	1.9052514113E00	1.8126753818E00	1.9038106084E00	1.8121387808E00	1.4356415574E00	
Caplet Vola Monte-Carlo Single-Curve	8.6456033122E-01	9.1045824434E-01	2.1207635404E-02	0.0000000000E00	1.0484345969E-01	1.9946385081E-01	?	3.2543161782E-01	3.2543161782E-01	1.8016028201E-01	1.9741139704E00	1.9744674632E00	1.9526981045E00	1.9561897771E00	?	1.9607298457E00	1.9607298457E00	1.9554806877E00	1.1916612803E-01	1.2309984738E-01	4.0588093534E-01	4.1072618104E-01	3.1815152202E-01	1.7886536271E00	1.7918931059E00	1.6962903883E00	1.7001074586E00	1.6734740454E00	1.6175072422E00	1.2728106317E00	2.0000000000E00	3.6451377547E-01	1.9026604491E00	2.0000000000E00	1.9035509583E00	1.8093945586E00	1.9020849457E00	1.8088490307E00	1.4267501710E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	9.4792302658E-01	9.9163737090E-01	1.2300757857E-01	1.0484345969E-01	0.0000000000E00	9.5117677760E-02	?	2.2248592843E-01	2.2248592843E-01	7.5811717922E-02	1.9712704185E00	1.9716624652E00	1.9475331014E00	1.9514013501E00	?	1.9564321804E00	1.9564321804E00	1.9506157252E00	1.3846141404E-01	1.3270607897E-01	3.1454324656E-01	3.1944350436E-01	2.2810762122E-01	1.7666337721E00	1.7701902944E00	1.6654969869E00	1.6696664863E00	1.6405922137E00	1.5796343783E00	1.2082770682E00	2.0000000000E00	4.6491533118E-01	1.8921807552E00	2.0000000000E00	1.8931645132E00	1.7894155567E00	1.8915450142E00	1.7888160174E00	1.3732616945E00	
Caplet Vola Analytic Multi-Curve Ju	1.0200477476E00	1.0617191163E00	2.1748909013E-01	1.9946385081E-01	9.5117677760E-02	0.0000000000E00	?	1.2804568742E-01	1.2804568742E-01	2.7975208837E-02	1.9684239233E00	1.9688545090E00	1.9423688695E00	1.9466127144E00	?	1.9521332492E00	1.9521332492E00	1.9457507412E00	1.6694230970E-01	1.5721979953E-01	2.2211303305E-01	2.2707537353E-01	1.5298980525E-01	1.7448149421E00	1.7486817988E00	1.6351382251E00	1.6396489376E00	1.6082147407E00	1.5424556353E00	1.1460889643E00	2.0000000000E00	5.5390931072E-01	1.8817315112E00	2.0000000000E00	1.8828077389E00	1.7695964427E00	1.8810360409E00	1.7689439183E00	1.3212912664E00	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.1117899588E00	1.1506572562E00	3.4314575051E-01	3.2543161782E-01	2.2248592843E-01	1.2804568742E-01	?	0.0000000000E00	0.0000000000E00	1.4743231958E-01	1.9641429040E00	1.9646313473E00	1.9346135635E00	1.9394197185E00	?	1.9456738095E00	1.9456738095E00	1.9384434210E00	2.5896922890E-01	2.4269415251E-01	1.2559450895E-01	1.3451115148E-01	1.4007792110E-01	1.7124144645E00	1.7167351525E00	1.5903356340E00	1.5953385738E00	1.5605058292E00	1.4878755875E00	1.0568156638E00	2.0000000000E00	6.7007363794E-01	1.8660935145E00	2.0000000000E00	1.8673071814E00	1.7401240832E00	1.8653092767E00	1.7393938608E00	1.2459445638E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.1117899588E00	1.1506572562E00	3.4314575051E-01	3.2543161782E-01	2.2248592843E-01	1.2804568742E-01	?	0.0000000000E00	0.0000000000E00	1.4743231958E-01	1.9641429040E00	1.9646313473E00	1.9346135635E00	1.9394197185E00	?	1.9456738095E00	1.9456738095E00	1.9384434210E00	2.5896922890E-01	2.4269415251E-01	1.2559450895E-01	1.3451115148E-01	1.4007792110E-01	1.7124144645E00	1.7167351525E00	1.5903356340E00	1.5953385738E00	1.5605058292E00	1.4878755875E00	1.0568156638E00	2.0000000000E00	6.7007363794E-01	1.8660935145E00	2.0000000000E00	1.8673071814E00	1.7401240832E00	1.8653092767E00	1.7393938608E00	1.2459445638E00	
Caplet Vola Monte-Carlo Multi-Curve	1.0055640901E00	1.0476571415E00	1.9822046258E-01	1.8016028201E-01	7.5811717922E-02	2.7975208837E-02	?	1.4743231958E-01	1.4743231958E-01	0.0000000000E00	1.9690283310E00	1.9694507382E00	1.9434649003E00	1.9476291077E00	?	1.9530457924E00	1.9530457924E00	1.9467833236E00	1.6090039079E-01	1.5378148448E-01	2.4142082073E-01	2.4637286180E-01	1.6969428287E-01	1.7494292657E00	1.7532308084E00	1.6415459196E00	1.6459851298E00	1.6150451930E00	1.5502896546E00	1.1590985493E00	2.0000000000E00	5.3587618896E-01	1.8839467980E00	2.0000000000E00	1.8850034641E00	1.7737897291E00	1.8832639628E00	1.7731483658E00	1.3321981807E00	
Caplet Value Analytic Single-Curve	1.9896991902E00	1.9902700654E00	1.9745784581E00	1.9741139704E00	1.9712704185E00	1.9684239233E00	?	1.9641429040E00	1.9641429040E00	1.9690283310E00	0.0000000000E00	1.5915549116E-02	5.9016632483E-01	5.1857070858E-01	?	4.1406210202E-01	4.1406210202E-01	5.3368224137E-01	1.9721872831E00	1.9716479754E00	1.9610605350E00	1.9608650907E00	1.9644075102E00	1.5817719473E00	1.5756276924E00	1.7061938995E00	1.7024480683E00	1.7268938869E00	1.7678821047E00	1.8860773897E00	2.0000000000E00	1.9820593614E00	1.1716984944E00	2.0000000000E00	1.1654953787E00	1.5392578053E00	1.1756599987E00	1.5404798993E00	1.8500887001E00	
