	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	9.0023865436E-02	9.3449000326E-01	9.4487220862E-01	1.0115752197E00	1.0537669400E00	?	1.1058729491E00	1.1058729491E00	1.0450184338E00	1.5266898357E00	1.5267423302E00	1.5236328429E00	1.5241243171E00	?	1.5247535083E00	1.5247535083E00	1.5240188817E00	9.8225289464E-01	9.9288803673E-01	1.1373038688E00	1.1400267073E00	1.1056808753E00	1.4989620444E00	1.4994917284E00	1.4841321667E00	1.4847991162E00	1.4806922983E00	1.4754760927E00	1.4030554619E00	?	6.7251683020E-01	1.5157145222E00	?	1.5158505777E00	1.5009255472E00	1.5156264075E00	1.5008514815E00	1.4425414327E00	
Target (LIBOR)	9.0023865436E-02	0.0000000000E00	1.0240247501E00	1.0344475341E00	1.1009841931E00	1.1434374430E00	?	1.1957188192E00	1.1957188192E00	1.1346277418E00	1.6167136631E00	1.6167661584E00	1.6136565468E00	1.6141480524E00	?	1.6147772754E00	1.6147772754E00	1.6140426091E00	1.0719025258E00	1.0825616734E00	1.2271836294E00	1.2298960748E00	1.1954027467E00	1.5889775154E00	1.5895074604E00	1.5741374347E00	1.5748057505E00	1.5706937448E00	1.5654441479E00	1.4928898567E00	?	7.6191524785E-01	1.6057382688E00	?	1.6058743271E00	1.5909489382E00	1.6056501526E00	1.5908748562E00	1.5324607691E00	
Caplet Vola Analytic Single-Curve	9.3449000326E-01	1.0240247501E00	0.0000000000E00	1.6483813144E-02	7.9431354958E-02	1.2062147072E-01	?	1.7706811715E-01	1.7706811715E-01	1.1255764645E-01	6.0614184831E-01	6.0619683628E-01	6.0288585346E-01	6.0341765516E-01	?	6.0409308974E-01	6.0409308974E-01	6.0330286321E-01	9.5594624100E-02	1.0141769176E-01	2.2047336081E-01	2.2443493821E-01	1.9079191535E-01	5.7663305706E-01	5.7718660982E-01	5.6089731717E-01	5.6161936241E-01	5.5711014390E-01	5.5058481572E-01	4.8261656207E-01	?	2.6417199512E-01	5.9516514744E-01	?	5.9530965473E-01	5.8019047126E-01	5.9507233220E-01	5.8010602330E-01	5.1524623597E-01	
Caplet Vola Monte-Carlo Single-Curve	9.4487220862E-01	1.0344475341E00	1.6483813144E-02	0.0000000000E00	7.1091697624E-02	1.1026005798E-01	?	1.6619728080E-01	1.6619728080E-01	1.0159872777E-01	5.9495950769E-01	5.9501330662E-01	5.9170473288E-01	5.9223619462E-01	?	5.9291124263E-01	5.9291124263E-01	5.9211967062E-01	8.7023856432E-02	9.1888611532E-02	2.0888984565E-01	2.1286603170E-01	1.7932485158E-01	5.6550410523E-01	5.6605528028E-01	5.4979599147E-01	5.5051483524E-01	5.4600708091E-01	5.3936683699E-01	4.7204764473E-01	?	2.7455349597E-01	5.8397388632E-01	?	5.8412093936E-01	5.6899365984E-01	5.8388382151E-01	5.6891302990E-01	5.0404600370E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.0115752197E00	1.1009841931E00	7.9431354958E-02	7.1091697624E-02	0.0000000000E00	5.2749592333E-02	?	1.1237437043E-01	1.1237437043E-01	4.4316771815E-02	5.3661829315E-01	5.3667350820E-01	5.3329955754E-01	5.3384579018E-01	?	5.3453633690E-01	5.3453633690E-01	5.3372696034E-01	9.1968331460E-02	9.0072765129E-02	1.5916080289E-01	1.6353273561E-01	1.3001100957E-01	5.0683087714E-01	5.0738655014E-01	4.9090873998E-01	4.9164598420E-01	4.8698220220E-01	4.7891840743E-01	4.1586872189E-01	?	3.4176884010E-01	5.2572364442E-01	?	5.2587210650E-01	5.1078888545E-01	5.2563043617E-01	5.1070114974E-01	4.4250141071E-01	
Caplet Vola Analytic Multi-Curve Ju	1.0537669400E00	1.1434374430E00	1.2062147072E-01	1.1026005798E-01	5.2749592333E-02	0.0000000000E00	?	5.9922370911E-02	5.9922370911E-02	2.0879567931E-02	4.8691602474E-01	4.8697117486E-01	4.8362705544E-01	4.8416603732E-01	?	4.8484942034E-01	4.8484942034E-01	4.8404961570E-01	1.0443131270E-01	9.7104879571E-02	1.1163024802E-01	1.1644875851E-01	9.1106281408E-02	4.5731568987E-01	4.5786742063E-01	4.4154790268E-01	4.4226503941E-01	4.3771359942E-01	4.3055552061E-01	3.6656354488E-01	?	3.8373661524E-01	4.7597290926E-01	?	4.7611890139E-01	4.6100863124E-01	4.7587973218E-01	4.6092165494E-01	3.9496611821E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	1.1058729491E00	1.1957188192E00	1.7706811715E-01	1.6619728080E-01	1.1237437043E-01	5.9922370911E-02	?	0.0000000000E00	0.0000000000E00	7.3169408146E-02	4.2907396743E-01	4.2912895424E-01	4.2581894530E-01	4.2635047110E-01	?	4.2702564420E-01	4.2702564420E-01	4.2623575797E-01	1.4489149962E-01	1.3505264746E-01	6.6576077725E-02	7.2070397886E-02	7.1365296759E-02	3.9968339274E-01	4.0023304612E-01	3.8410192945E-01	3.8479949004E-01	3.8037299903E-01	3.7446853585E-01	3.1007426466E-01	?	4.3725385914E-01	4.1809739327E-01	?	4.1824195193E-01	4.0312369675E-01	4.1800454838E-01	4.0303932464E-01	3.3996754320E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	1.1058729491E00	1.1957188192E00	1.7706811715E-01	1.6619728080E-01	1.1237437043E-01	5.9922370911E-02	?	0.0000000000E00	0.0000000000E00	7.3169408146E-02	4.2907396743E-01	4.2912895424E-01	4.2581894530E-01	4.2635047110E-01	?	4.2702564420E-01	4.2702564420E-01	4.2623575797E-01	1.4489149962E-01	1.3505264746E-01	6.6576077725E-02	7.2070397886E-02	7.1365296759E-02	3.9968339274E-01	4.0023304612E-01	3.8410192945E-01	3.8479949004E-01	3.8037299903E-01	3.7446853585E-01	3.1007426466E-01	?	4.3725385914E-01	4.1809739327E-01	?	4.1824195193E-01	4.0312369675E-01	4.1800454838E-01	4.0303932464E-01	3.3996754320E-01	
Caplet Vola Monte-Carlo Multi-Curve	1.0450184338E00	1.1346277418E00	1.1255764645E-01	1.0159872777E-01	4.4316771815E-02	2.0879567931E-02	?	7.3169408146E-02	7.3169408146E-02	0.0000000000E00	4.9766548965E-01	4.9771967180E-01	4.9436941433E-01	4.9491077073E-01	?	4.9559565412E-01	4.9559565412E-01	4.9478689121E-01	1.0120832861E-01	9.5352787352E-02	1.2259674165E-01	1.2742605376E-01	1.0026356391E-01	4.6792151132E-01	4.6848011537E-01	4.5206525109E-01	4.5279793570E-01	4.4819548242E-01	4.4129208028E-01	3.7717120485E-01	?	3.7529270173E-01	4.8674310121E-01	?	4.8689258756E-01	4.7178542920E-01	4.8665241264E-01	4.7171483441E-01	4.0546393847E-01	
