	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	5.7142857143E-02	1.7201329678E-01	1.8170391414E-01	2.4315606393E-01	2.9966289432E-01	3.3511645785E-01	4.3389656922E-01	4.3389656922E-01	2.8142825355E-01	1.9773948950E00	1.9778049744E00	1.9581720148E00	1.9611247170E00	1.9692021222E00	1.9653254871E00	1.9653254871E00	1.9605878652E00	2.4503117245E-01	2.6009722850E-01	5.1342133313E-01	5.1581913368E-01	4.2723554121E-01	1.8120401455E00	1.8155882973E00	1.7278637029E00	1.7307929236E00	1.7056832041E00	1.6786412714E00	1.3795891253E00	2.0000000000E00	1.7725598508E-01	1.9194956457E00	2.0000000000E00	1.9202900381E00	1.8413363192E00	1.9187562695E00	1.8407471136E00	1.5142792931E00	
Target (LIBOR)	5.7142857143E-02	0.0000000000E00	1.8971978782E-01	2.0132417256E-01	2.7260024410E-01	3.5476755617E-01	3.9039036874E-01	4.8801445781E-01	4.8801445781E-01	3.3721536880E-01	1.9786440293E00	1.9790315675E00	1.9604728286E00	1.9632646202E00	1.9709006683E00	1.9672360701E00	1.9672360701E00	1.9627570418E00	2.7494963269E-01	2.9060839514E-01	5.6640980630E-01	5.6877080704E-01	4.7569490801E-01	1.8220177274E00	1.8253861581E00	1.7420072584E00	1.7447946628E00	1.7208932232E00	1.6951338201E00	1.4089635427E00	2.0000000000E00	1.3443919384E-01	1.9238830022E00	2.0000000000E00	1.9246349340E00	1.8498200222E00	1.9231831311E00	1.8492610850E00	1.5381480678E00	
Caplet Vola Analytic Single-Curve	1.7201329678E-01	1.8971978782E-01	0.0000000000E00	2.7594674335E-02	1.1050438610E-01	2.0633589805E-01	2.4277425525E-01	3.4314575051E-01	3.4314575051E-01	1.8841842636E-01	1.9751726429E00	1.9756227891E00	1.9540818255E00	1.9573201472E00	1.9661813070E00	1.9619280786E00	1.9619280786E00	1.9567313297E00	1.2482481449E-01	1.3819259337E-01	4.2429537016E-01	4.2674694439E-01	3.2890885271E-01	1.7944025528E00	1.7982660329E00	1.7029427710E00	1.7061190890E00	1.6789060419E00	1.6496364290E00	1.3285196572E00	2.0000000000E00	2.7038596326E-01	1.9117078135E00	2.0000000000E00	1.9125773398E00	1.8263225440E00	1.9108985375E00	1.8256801142E00	1.4725666209E00	
Caplet Vola Monte-Carlo Single-Curve	1.8170391414E-01	2.0132417256E-01	2.7594674335E-02	0.0000000000E00	8.5672813767E-02	1.8115230776E-01	2.1768898794E-01	3.1841901565E-01	3.1841901565E-01	1.6319270236E-01	1.9745374471E00	1.9749990376E00	1.9529134230E00	1.9562332328E00	1.9653180793E00	1.9609573552E00	1.9609573552E00	1.9556295882E00	1.1393843030E-01	1.1867263559E-01	3.9995271028E-01	4.0241719989E-01	3.0412342523E-01	1.7893874797E00	1.7933400676E00	1.6958755609E00	1.6991213058E00	1.6713177393E00	1.6414238283E00	1.3141944200E00	2.0000000000E00	2.9529966582E-01	1.9094858729E00	2.0000000000E00	1.9103767801E00	1.8220495695E00	1.9086567063E00	1.8213920718E00	1.4608166514E00	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	2.4315606393E-01	2.7260024410E-01	1.1050438610E-01	8.5672813767E-02	0.0000000000E00	9.6380907738E-02	1.3316298061E-01	2.3486785948E-01	2.3486785948E-01	7.9149456246E-02	1.9722887778E00	1.9727908536E00	1.9487796860E00	1.9523874318E00	1.9622629523E00	1.9575222075E00	1.9575222075E00	1.9517313920E00	1.3372218093E-01	1.2801972272E-01	3.2550784325E-01	3.2795842999E-01	2.3227094505E-01	1.7717268070E00	1.7759912418E00	1.6710542366E00	1.6745415578E00	1.6446848019E00	1.6126241897E00	1.2644218443E00	2.0000000000E00	3.7806630419E-01	1.9016344969E00	2.0000000000E00	1.9026007579E00	1.8069882367E00	1.9007352330E00	1.8062779105E00	1.4198224103E00	
Caplet Vola Analytic Multi-Curve Ju	2.9966289432E-01	3.5476755617E-01	2.0633589805E-01	1.8115230776E-01	9.6380907738E-02	0.0000000000E00	3.6900471434E-02	1.3927513682E-01	1.3927513682E-01	3.5659140175E-02	1.9695041132E00	1.9700562616E00	1.9436661261E00	1.9476292730E00	1.9584813358E00	1.9532711253E00	1.9532711253E00	1.9469085525E00	1.5663897935E-01	1.4384935749E-01	2.3209675954E-01	2.3457884855E-01	1.5368325170E-01	1.7500560721E00	1.7546990145E00	1.6407366569E00	1.6445142663E00	1.6121936007E00	1.5775410791E00	1.2047453484E00	2.0000000000E00	4.7016420717E-01	1.8919430135E00	2.0000000000E00	1.8930018648E00	1.7884772561E00	1.8909576256E00	1.7877026042E00	1.3703214933E00	
Caplet Vola Analytic Multi-Curve Ho	3.3511645785E-01	3.9039036874E-01	2.4277425525E-01	2.1768898794E-01	1.3316298061E-01	3.6900471434E-02	0.0000000000E00	1.0250636859E-01	1.0250636859E-01	5.6034756998E-02	1.9683667146E00	1.9689392953E00	1.9415792365E00	1.9456871763E00	1.9569372830E00	1.9515356804E00	1.9515356804E00	1.9449401016E00	1.7945598779E-01	1.6445131054E-01	1.9663711721E-01	1.9912898736E-01	1.3959087387E-01	1.7412674469E00	1.7460625912E00	1.6284849153E00	1.6323783421E00	1.5990756634E00	1.5633926649E00	1.1809700814E00	2.0000000000E00	5.0487487460E-01	1.8879944594E00	2.0000000000E00	1.8890909000E00	1.7809607012E00	1.8869741098E00	1.7801601191E00	1.3504931148E00	
Caplet Vola Analytic Multi-Curve Drift-Freeze	4.3389656922E-01	4.8801445781E-01	3.4314575051E-01	3.1841901565E-01	2.3486785948E-01	1.3927513682E-01	1.0250636859E-01	0.0000000000E00	0.0000000000E00	1.5726938650E-01	1.9649788527E00	1.9656122242E00	1.9353692131E00	1.9399071622E00	1.9523400528E00	1.9463696090E00	1.9463696090E00	1.9390818108E00	2.5711329775E-01	2.3547357059E-01	1.2292811484E-01	1.3151245716E-01	1.3987410792E-01	1.7153025985E00	1.7205430102E00	1.5924348645E00	1.5966640953E00	1.5605175237E00	1.5218586915E00	1.1121212146E00	2.0000000000E00	5.9962318501E-01	1.8762672752E00	2.0000000000E00	1.8774748974E00	1.7587223383E00	1.8751435238E00	1.7578456814E00	1.2927261045E00	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	4.3389656922E-01	4.8801445781E-01	3.4314575051E-01	3.1841901565E-01	2.3486785948E-01	1.3927513682E-01	1.0250636859E-01	0.0000000000E00	0.0000000000E00	1.5726938650E-01	1.9649788527E00	1.9656122242E00	1.9353692131E00	1.9399071622E00	1.9523400528E00	1.9463696090E00	1.9463696090E00	1.9390818108E00	2.5711329775E-01	2.3547357059E-01	1.2292811484E-01	1.3151245716E-01	1.3987410792E-01	1.7153025985E00	1.7205430102E00	1.5924348645E00	1.5966640953E00	1.5605175237E00	1.5218586915E00	1.1121212146E00	2.0000000000E00	5.9962318501E-01	1.8762672752E00	2.0000000000E00	1.8774748974E00	1.7587223383E00	1.8751435238E00	1.7578456814E00	1.2927261045E00	
Caplet Vola Monte-Carlo Multi-Curve	2.8142825355E-01	3.3721536880E-01	1.8841842636E-01	1.6319270236E-01	7.9149456246E-02	3.5659140175E-02	5.6034756998E-02	1.5726938650E-01	1.5726938650E-01	0.0000000000E00	1.9700468435E00	1.9705892382E00	1.9446622805E00	1.9485562611E00	1.9592182213E00	1.9540994109E00	1.9540994109E00	1.9478481291E00	1.5779465781E-01	1.4768279366E-01	2.5011423509E-01	2.5259171030E-01	1.7371479703E-01	1.7542625095E00	1.7588323385E00	1.6466095131E00	1.6503313010E00	1.6184841540E00	1.5843290436E00	1.2162109791E00	2.0000000000E00	4.5303435183E-01	1.8938291666E00	2.0000000000E00	1.8948700347E00	1.7920729354E00	1.8928605053E00	1.7913107265E00	1.3798618589E00	
