Component1	Component2	Covariance
0	0	0.0
0	1	0.0
0	2	0.0
0	3	0.0
0	4	0.0
0	5	0.0
0	6	0.0
0	7	0.0
0	8	0.0
0	9	0.0
0	10	0.0
0	11	0.0
0	12	0.0
0	13	0.0
0	14	0.0
0	15	0.0
0	16	0.0
0	17	0.0
0	18	0.0
0	19	0.0
0	20	0.0
0	21	0.0
0	22	0.0
0	23	0.0
0	24	0.0
0	25	0.0
0	26	0.0
0	27	0.0
0	28	0.0
0	29	0.0
0	30	0.0
0	31	0.0
0	32	0.0
0	33	0.0
0	34	0.0
0	35	0.0
0	36	0.0
0	37	0.0
0	38	0.0
0	39	0.0
0	40	0.0
0	41	0.0
0	42	0.0
0	43	0.0
0	44	0.0
0	45	0.0
0	46	0.0
0	47	0.0
0	48	0.0
0	49	0.0
0	50	0.0
0	51	0.0
0	52	0.0
0	53	0.0
0	54	0.0
0	55	0.0
0	56	0.0
0	57	0.0
0	58	0.0
0	59	0.0
0	60	0.0
0	61	0.0
0	62	0.0
0	63	0.0
0	64	0.0
0	65	0.0
0	66	0.0
0	67	0.0
0	68	0.0
0	69	0.0
0	70	0.0
0	71	0.0
0	72	0.0
0	73	0.0
0	74	0.0
0	75	0.0
0	76	0.0
0	77	0.0
0	78	0.0
0	79	0.0
1	0	0.0
1	1	0.3265565030234913
1	2	0.3580364466977029
1	3	0.37913600470959624
1	4	0.3873599302550494
1	5	0.3802861847027438
1	6	0.35838883861145415
1	7	0.3265191797288538
1	8	0.29182410953885424
1	9	0.2602274309241188
1	10	0.23472373058925677
1	11	0.21565119873376656
1	12	0.20165590025915592
1	13	0.19078418058269264
1	14	0.1815305204042784
1	15	0.17327548329597695
1	16	0.16582282009299174
1	17	0.1586620173168498
1	18	0.15064757402763054
1	19	0.14038254171140882
1	20	0.12732579907498476
1	21	0.11274329613503745
1	22	0.0991131729322032
1	23	0.08849905022970216
1	24	0.08161745995818347
1	25	0.07784648539803724
1	26	0.07574367565608404
1	27	0.07409020605228618
1	28	0.07263441011799655
1	29	0.07143676124910739
1	30	0.06965722652319387
1	31	0.06534359697062606
1	32	0.057813602658605794
1	33	0.050079419675937285
1	34	0.045812917821979895
1	35	0.04540013089157666
1	36	0.0450398511862239
1	37	0.04403631678773274
1	38	0.04456302811856554
1	39	0.027286118675516887
1	40	0.0
1	41	0.0
1	42	0.0
1	43	0.0
1	44	0.0
1	45	0.0
1	46	0.0
1	47	0.0
1	48	0.0
1	49	0.0
1	50	0.0
1	51	0.0
1	52	0.0
1	53	0.0
1	54	0.0
1	55	0.0
1	56	0.0
1	57	0.0
1	58	0.0
1	59	0.0
1	60	0.0
1	61	0.0
1	62	0.0
1	63	0.0
1	64	0.0
1	65	0.0
1	66	0.0
1	67	0.0
1	68	0.0
1	69	0.0
1	70	0.0
1	71	0.0
1	72	0.0
1	73	0.0
1	74	0.0
1	75	0.0
1	76	0.0
1	77	0.0
1	78	0.0
1	79	0.0
2	0	0.0
2	1	0.35803644669770296
2	2	0.39374658810441776
2	3	0.4190107720505554
2	4	0.43102447236882
2	5	0.4268108216212602
2	6	0.4063387412389658
2	7	0.3743562140927918
2	8	0.3383368553759436
2	9	0.30465043188758134
2	10	0.2765681475383485
2	11	0.2544696959457225
2	12	0.23693362787411712
2	13	0.22205582976046673
2	14	0.20864910900466593
2	15	0.19657860133452892
2	16	0.18604096534800943
2	17	0.17667784735682737
2	18	0.16726802058785453
2	19	0.1561842161102146
2	20	0.14259941446852423
2	21	0.12756249062705677
2	22	0.11346218854073149
2	23	0.10232967900882287
2	24	0.09479941999031462
2	25	0.09009412481128579
2	26	0.08667027891987213
2	27	0.08346373494712352
2	28	0.0805970198175753
2	29	0.07844180792863438
2	30	0.07624156570462155
2	31	0.07189060275635678
2	32	0.06442847961218065
2	33	0.05673502098321791
2	34	0.05247254461816605
2	35	0.05173202593218263
2	36	0.05022154874808627
2	37	0.04796775242747123
2	38	0.04834576902868009
2	39	0.03084104026993695
2	40	0.0
2	41	0.0
2	42	0.0
2	43	0.0
2	44	0.0
2	45	0.0
2	46	0.0
2	47	0.0
2	48	0.0
2	49	0.0
2	50	0.0
2	51	0.0
2	52	0.0
2	53	0.0
2	54	0.0
2	55	0.0
2	56	0.0
2	57	0.0
2	58	0.0
2	59	0.0
2	60	0.0
2	61	0.0
2	62	0.0
2	63	0.0
2	64	0.0
2	65	0.0
2	66	0.0
2	67	0.0
2	68	0.0
2	69	0.0
2	70	0.0
2	71	0.0
2	72	0.0
2	73	0.0
2	74	0.0
2	75	0.0
2	76	0.0
2	77	0.0
2	78	0.0
2	79	0.0
3	0	0.0
3	1	0.37913600470959624
3	2	0.4190107720505554
3	3	0.4494483752280217
3	4	0.4673646854581143
3	5	0.4690573398742833
3	6	0.45354578596433676
3	7	0.42487313543924804
3	8	0.3903278396994176
3	9	0.3564388991862519
3	10	0.3266483832448366
3	11	0.3013683690222037
3	12	0.2791892490373514
3	13	0.25848557351647367
3	14	0.23878280036442673
3	15	0.2208720583394522
3	16	0.2056779237669277
3	17	0.19317588408537792
3	18	0.1821344002169158
3	19	0.1706615629534753
3	20	0.157478062771597
3	21	0.14312265161852716
3	22	0.12958237559949332
3	23	0.11862977066151055
3	24	0.11068302940204387
3	25	0.10474434655706545
3	26	0.09922205450561197
3	27	0.09344133476435076
3	28	0.08822225292233098
3	29	0.0844967787645654
3	30	0.08174337645020056
3	31	0.07776325752203855
3	32	0.07115537425854189
3	33	0.06428267375414184
3	34	0.06045675792754295
3	35	0.059198818350466
3	36	0.05566135494078057
3	37	0.05124654031318853
3	38	0.05133772180328811
3	39	0.03496250299259969
3	40	0.0
3	41	0.0
3	42	0.0
3	43	0.0
3	44	0.0
3	45	0.0
3	46	0.0
3	47	0.0
3	48	0.0
3	49	0.0
3	50	0.0
3	51	0.0
3	52	0.0
3	53	0.0
3	54	0.0
3	55	0.0
3	56	0.0
3	57	0.0
3	58	0.0
3	59	0.0
3	60	0.0
3	61	0.0
3	62	0.0
3	63	0.0
3	64	0.0
3	65	0.0
3	66	0.0
3	67	0.0
3	68	0.0
3	69	0.0
3	70	0.0
3	71	0.0
3	72	0.0
3	73	0.0
3	74	0.0
3	75	0.0
3	76	0.0
3	77	0.0
3	78	0.0
3	79	0.0
4	0	0.0
4	1	0.38735993025504944
4	2	0.43102447236882
4	3	0.4673646854581144
4	4	0.4930736436550301
4	5	0.5035958337937614
4	6	0.4965911833153041
4	7	0.47479651162456954
4	8	0.4447714182839699
4	9	0.4128793552643725
4	10	0.3826025702783638
4	11	0.35436469644419677
4	12	0.3268362652204409
4	13	0.29887570708218225
4	14	0.2710778402608924
4	15	0.24556522448770876
4	16	0.2243061493436383
4	17	0.20779059991651178
4	18	0.19485398983276142
4	19	0.1833287000473548
4	20	0.17135171425384604
4	21	0.15869732834437544
4	22	0.14666697292300554
4	23	0.13656239128896852
4	24	0.12845870598289952
4	25	0.12107738293312316
4	26	0.11282387010332982
4	27	0.10361438723948492
4	28	0.09524393315170275
4	29	0.08942052502882472
4	30	0.08599493427541816
4	31	0.08274058726120997
4	32	0.07768551893405391
4	33	0.07233572513733638
4	34	0.06934241653585106
4	35	0.06741906166058126
4	36	0.06112102617032206
4	37	0.053781074686731885
4	38	0.053469311379771775
4	39	0.03945451209422616
4	40	0.0
4	41	0.0
4	42	0.0
4	43	0.0
4	44	0.0
4	45	0.0
4	46	0.0
4	47	0.0
4	48	0.0
4	49	0.0
4	50	0.0
4	51	0.0
4	52	0.0
4	53	0.0
4	54	0.0
4	55	0.0
4	56	0.0
4	57	0.0
4	58	0.0
4	59	0.0
4	60	0.0
