Time	F	S	L	N	E(L/N)
0.0	0.014999999999999998	0.014888337468982629	0.029999999999999995	1.0075	0.029999999999999995
0.5	0.015031654118589444	0.014927773653331236	0.030071504974007086	1.015066312424374	0.03005149809305368
1.0	0.015054418955293226	0.014895796144787218	0.030062146545188833	1.0227265634949494	0.029991264036187498
1.5	0.015159794078160012	0.014911165634561933	0.03018357568480476	1.030522458525124	0.030016593778595602
2.0	0.01530948576143438	0.014994341450892037	0.030418087412185366	1.038514564322426	0.030092481979861425
2.5	0.0154883420141953	0.01497665626965906	0.03058002337846515	1.0467845579797752	0.0300189431959329
3.0	0.015900314707361567	0.014994612815568676	0.031012598916091344	1.055486864103987	0.03007547737499372
3.5	0.01633429793151361	0.015007541055841223	0.03146132131397076	1.0648823669207443	0.029994801882809514
4.0	0.017050664737385132	0.015007162253931715	0.03218117226154994	1.0755332790130625	0.029930931750302585
4.5	0.018202529548890057	0.01507584921688832	0.0334108349466873	1.0893769458404865	0.02990696583816279
5.0	0.0202689285628803	0.015047977667607959	0.03546128172619868	1.1242380787171593	0.029768147213948905
5.5	0.025707291597699574	0.015126091652968727	0.041002288732654595	1.8101255778518086	0.0297640804043735
6.0	0.03838021192891423	0.015068801429096437	0.05369658977087146	77.7026596820927	0.029674938885970472
6.5	0.08013573663911934	0.015100492537066409	0.09566219194778565	40013.53377031484	0.02969873873726747
7.0	0.2890150202776468	0.014849162327013825	0.3048737189263008	1.5757733355919734E8	0.02946987136683218
7.5	1.1853944393823903	0.014584551657679998	1.2029950047683997	2.8035681954559497E12	0.029234086645355373
8.0	9.873616213238064	0.014587680570807964	9.90129172825379	3.1221606908712294E17	0.02924945196889455
8.5	85.42040256650992	0.014566673158104556	85.51623839601062	3.0030688484496958E23	0.029218377081934213
9.0	854.3500746012681	0.014907160730593599	854.8557806395055	1.4828987187086573E30	0.02963811450845862
9.5	10080.904374782122	0.015289977855444076	10084.862156538946	7.001638990695783E37	0.030161110332226827
10.0	141345.4878072799	0.01602571074879729	141365.6284490336	3.163837498733881E47	0.03088126486583166
10.5	661138.6545300927	0.016557587874821835	661243.356806385	8.890236675395721E57	0.03137659181468306
11.0	2574126.628580847	0.016208545907760327	2574648.958306201	8.726918177721713E68	0.031008479884605814
11.5	1.2410063110744182E7	0.016090795839192044	1.241341364624572E7	4.148341773124689E80	0.030801493287954125
12.0	9.03800096593672E7	0.016270932174908978	9.041684109497195E7	1.233084591053816E93	0.030977381793086005
12.5	4.4467629400126225E8	0.01595862939622631	4.4493693940176076E8	1.558391758713293E106	0.030744442402928826
13.0	1.3932372186823974E9	0.015632019794494974	1.3948293338139818E9	2.6471190390409604E119	0.03027476175240918
13.5	2.482753928879746E9	0.015531029593563388	2.48750870015772E9	4.344469633777892E132	0.03009469550239459
14.0	8.390533851220476E9	0.015503605429931535	8.408360031253327E9	5.096408455943829E145	0.030265190063057338
14.5	5.659570949318364E10	0.015416710523505121	5.665358337414407E10	8.022515018902909E158	0.030227667750183523
15.0	5.2284001847899023E11	0.015259108354337062	5.234472105169316E11	8.050259159428809E172	0.030125380795868514
15.5	1.815477129340076E12	0.014665482068948006	1.8172572908901565E12	6.367167776990127E187	0.029625033749667646
16.0	2.4566399872568906E12	0.013899802383873793	2.4588014057126787E12	2.130705657956471E203	0.028721765168585253
16.5	3.0926984748149624E12	0.014097857228448642	3.104002155148121E12	3.894319467307712E219	0.028938851305734075
17.0	1.6797415140217098E13	0.013979826886797959	1.6896680954908125E13	2.1474426414808585E236	0.029085662957544178
17.5	7.820553875953411E13	0.01455838209371401	8.026972018727953E13	7.521069145426829E253	0.029734685752456257
18.0	2.9307657624875637E13	0.01498341069055779	3.065259260373655E13	1.9404395076691812E270	0.02975385919886814
18.5	3.222541639115488E12	0.014681721651657884	3.236344907851376E12	2.429497052361847E285	0.02959681347203744
19.0	2.360946650756734E13	0.013840952254242207	2.36248385897295E13	3.041655638628335E300	0.028864246010976185
19.5	2.301485224380775E8	0.013557278870551009	2.3028962969168022E8	Infinity	0.02834694893508779
