	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	4.3501934934E-02	1.3780211303E-01	1.4276026459E-01	1.9671480307E-01	2.1614726642E-01	2.2522889688E-01	2.6353717303E-01	2.6353717303E-01	2.1413474381E-01	7.3544289242E-01	7.3554316079E-01	7.3193050655E-01	7.3243500926E-01	7.3404115294E-01	7.3321723493E-01	7.3321723493E-01	7.3235259311E-01	1.8047701210E-01	1.8782200001E-01	3.0649482789E-01	3.0895876059E-01	2.8329635314E-01	7.0330916693E-01	7.0420287798E-01	6.8616491393E-01	6.8664226417E-01	6.8180118465E-01	6.8881403242E-01	6.0924728847E-01	1.7463392478E126	1.6320430528E-01	7.2505976107E-01	1.5404267857E124	7.2520053993E-01	7.1031351756E-01	7.2486436343E-01	7.1020968005E-01	6.5752318686E-01	
Target (LIBOR)	4.3501934934E-02	0.0000000000E00	1.5679751693E-01	1.6743052173E-01	2.2514454230E-01	2.5191059426E-01	2.6354923903E-01	3.0464490174E-01	3.0464490174E-01	2.4855990623E-01	7.7894472599E-01	7.7904499759E-01	7.7543198899E-01	7.7593655396E-01	7.7754296827E-01	7.7671888422E-01	7.7671888422E-01	7.7585412639E-01	2.0901416403E-01	2.1934213009E-01	3.4772760418E-01	3.4995254251E-01	3.2143699335E-01	7.4678889356E-01	7.4768356979E-01	7.2961506156E-01	7.3009556960E-01	7.2523691110E-01	7.3217878221E-01	6.5234981453E-01	1.7463392478E126	1.3423844992E-01	7.6856132612E-01	1.5404267857E124	7.6870211180E-01	7.5381394605E-01	7.6836592193E-01	7.5371004826E-01	7.0075483205E-01	
Caplet Vola Analytic Single-Curve	1.3780211303E-01	1.5679751693E-01	0.0000000000E00	3.1223233555E-02	7.9717694513E-02	1.2815615632E-01	1.5188931029E-01	2.0771411629E-01	2.0771411629E-01	1.2499421641E-01	7.0486120040E-01	7.0496379820E-01	7.0107546575E-01	7.0161425770E-01	7.0347198148E-01	7.0246850286E-01	7.0246850286E-01	7.0152945318E-01	1.0747495793E-01	1.1822338987E-01	2.5751492141E-01	2.5922931800E-01	2.1588009017E-01	6.7121886548E-01	6.7213309142E-01	6.5295136979E-01	6.5344346706E-01	6.4788112791E-01	6.4917568839E-01	5.8076897919E-01	1.7463392478E126	1.6991052901E-01	6.9440594480E-01	1.5404267857E124	6.9455671499E-01	6.7935598999E-01	6.9420445253E-01	6.7922961567E-01	6.1356845215E-01	
Caplet Vola Monte-Carlo Single-Curve	1.4276026459E-01	1.6743052173E-01	3.1223233555E-02	0.0000000000E00	6.6905810623E-02	1.0687166624E-01	1.2966592225E-01	1.8439769217E-01	1.8439769217E-01	1.0278872752E-01	6.8079262550E-01	6.8089275301E-01	6.7701491391E-01	6.7755129249E-01	6.7940777454E-01	6.7840379006E-01	6.7840379006E-01	6.7746286987E-01	9.1484115243E-02	9.8634795393E-02	2.3321381795E-01	2.3505181954E-01	1.9290030927E-01	6.4728561004E-01	6.4819329234E-01	6.2909740328E-01	6.2958543588E-01	6.2404885235E-01	6.2522792783E-01	5.5752839330E-01	1.7463392478E126	1.9111232214E-01	6.7032241247E-01	1.5404267857E124	6.7047850688E-01	6.5526558691E-01	6.7012664268E-01	6.5514975252E-01	5.8974644772E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	1.9671480307E-01	2.2514454230E-01	7.9717694513E-02	6.6905810623E-02	0.0000000000E00	6.1698917038E-02	8.9114103448E-02	1.4682468244E-01	1.4682468244E-01	6.3155152985E-02	6.3897547574E-01	6.3907909945E-01	6.3512252891E-01	6.3567169326E-01	6.3759426737E-01	6.3654411415E-01	6.3654411415E-01	6.3558498398E-01	1.0216349386E-01	1.0218661765E-01	1.9974476119E-01	2.0168388134E-01	1.5808100851E-01	6.0500721350E-01	6.0592972329E-01	5.8650477250E-01	5.8700127861E-01	5.8126181401E-01	5.8123092038E-01	5.1685313814E-01	1.7463392478E126	2.4867543029E-01	6.2860807833E-01	1.5404267857E124	6.2876263077E-01	6.1359957879E-01	6.2840416104E-01	6.1346868106E-01	5.4455589631E-01	
Caplet Vola Analytic Multi-Curve Ju	2.1614726642E-01	2.5191059426E-01	1.2815615632E-01	1.0687166624E-01	6.1698917038E-02	0.0000000000E00	2.9109613212E-02	8.6001631099E-02	8.6001631099E-02	4.0830717802E-02	5.7979801301E-01	5.7990084773E-01	5.7596709236E-01	5.7651121856E-01	5.7841761189E-01	5.7737810859E-01	5.7737810859E-01	5.7642704043E-01	1.0958211081E-01	9.6915838136E-02	1.4180873412E-01	1.4448547177E-01	1.0870760080E-01	5.4604159241E-01	5.4695231601E-01	5.2769835669E-01	5.2817736916E-01	5.2253357579E-01	5.2262714139E-01	4.5853686691E-01	1.7463392478E126	2.9563957680E-01	5.6938320353E-01	1.5404267857E124	5.6953498099E-01	5.5434588494E-01	5.6918082494E-01	5.5421312092E-01	4.8645712256E-01	
Caplet Vola Analytic Multi-Curve Ho	2.2522889688E-01	2.6354923903E-01	1.5188931029E-01	1.2966592225E-01	8.9114103448E-02	2.9109613212E-02	0.0000000000E00	5.7941801690E-02	5.7941801690E-02	5.3715821597E-02	5.5368988587E-01	5.5379292814E-01	5.4987890603E-01	5.5042156144E-01	5.5230238833E-01	5.5128253051E-01	5.5128253051E-01	5.5033614311E-01	1.2444031741E-01	1.0879709199E-01	1.1832669058E-01	1.2189469155E-01	9.5593783442E-02	5.1998487049E-01	5.2089913897E-01	5.0172098425E-01	5.0220120727E-01	4.9663249110E-01	4.9769026545E-01	4.3214506471E-01	1.7463392478E126	3.1741658969E-01	5.4326145817E-01	1.5404267857E124	5.4341359685E-01	5.2821942921E-01	5.4305891035E-01	5.2809124508E-01	4.6202414929E-01	
Caplet Vola Analytic Multi-Curve Drift-Freeze	2.6353717303E-01	3.0464490174E-01	2.0771411629E-01	1.8439769217E-01	1.4682468244E-01	8.6001631099E-02	5.7941801690E-02	0.0000000000E00	0.0000000000E00	1.0302722299E-01	4.9714730723E-01	4.9724989926E-01	4.9336254775E-01	4.9390115824E-01	4.9575808251E-01	4.9475509167E-01	4.9475509167E-01	4.9381640917E-01	1.6676723150E-01	1.4751371049E-01	7.4408398511E-02	8.0178823949E-02	8.4043710060E-02	4.6364216268E-01	4.6455005461E-01	4.4555657484E-01	4.4602429583E-01	4.4056873900E-01	4.4225279211E-01	3.7670602962E-01	1.7463392478E126	3.6954208857E-01	4.8669208543E-01	1.5404267857E124	4.8684291590E-01	4.7164277078E-01	4.8649055370E-01	4.7151641665E-01	4.0730412009E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	2.6353717303E-01	3.0464490174E-01	2.0771411629E-01	1.8439769217E-01	1.4682468244E-01	8.6001631099E-02	5.7941801690E-02	0.0000000000E00	0.0000000000E00	1.0302722299E-01	4.9714730723E-01	4.9724989926E-01	4.9336254775E-01	4.9390115824E-01	4.9575808251E-01	4.9475509167E-01	4.9475509167E-01	4.9381640917E-01	1.6676723150E-01	1.4751371049E-01	7.4408398511E-02	8.0178823949E-02	8.4043710060E-02	4.6364216268E-01	4.6455005461E-01	4.4555657484E-01	4.4602429583E-01	4.4056873900E-01	4.4225279211E-01	3.7670602962E-01	1.7463392478E126	3.6954208857E-01	4.8669208543E-01	1.5404267857E124	4.8684291590E-01	4.7164277078E-01	4.8649055370E-01	4.7151641665E-01	4.0730412009E-01	
Caplet Vola Monte-Carlo Multi-Curve	2.1413474381E-01	2.4855990623E-01	1.2499421641E-01	1.0278872752E-01	6.3155152985E-02	4.0830717802E-02	5.3715821597E-02	1.0302722299E-01	1.0302722299E-01	0.0000000000E00	5.9076096928E-01	5.9086175077E-01	5.8693412475E-01	5.8748033352E-01	5.8937785996E-01	5.8834556488E-01	5.8834556488E-01	5.8737080555E-01	1.1501575958E-01	1.0593303138E-01	1.5715202991E-01	1.6031706238E-01	1.2597278395E-01	5.5668609854E-01	5.5761507582E-01	5.3818373318E-01	5.3869872698E-01	5.3298318037E-01	5.3465913076E-01	4.6864904609E-01	1.7463392478E126	2.9027665429E-01	5.8038694425E-01	1.5404267857E124	5.8054802124E-01	5.6534921335E-01	5.8019014158E-01	5.6527803200E-01	4.9841966225E-01	
