Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
224.88	238.11	67.15	67.07	48.80	48.70	?	47.48	47.48	48.87	0.14	0.14	0.20	0.20	?	0.20	0.20	0.20	72.92	72.76	51.94	51.93	53.36	0.42	0.42	0.60	0.60	0.61	1.00	2.00	100.75	99.26	1.50	100.75	1.50	3.01	1.50	3.00	0.50	
204.12	216.13	70.00	70.46	52.42	51.99	35.91	49.50	49.50	51.53	0.20	0.20	0.30	0.30	0.21	0.29	0.29	0.30	77.25	76.56	55.02	55.01	56.72	1.30	1.29	1.87	1.87	1.93	1.00	6.00	101.51	98.52	1.50	101.51	1.50	3.00	1.50	3.00	1.00	
190.21	201.39	72.43	72.66	55.91	54.90	45.78	51.21	51.21	54.74	0.25	0.25	0.39	0.38	0.32	0.36	0.36	0.38	76.66	75.42	54.60	54.56	56.29	2.12	2.08	3.05	3.05	3.14	1.00	10.00	102.28	97.78	1.50	102.28	1.50	3.00	1.50	3.00	1.50	
180.88	191.52	74.45	73.60	59.19	57.35	50.71	52.64	52.64	57.82	0.29	0.29	0.47	0.46	0.40	0.42	0.42	0.46	73.80	72.20	52.57	52.47	53.95	2.82	2.76	4.06	4.05	4.16	1.00	14.00	103.06	97.06	1.50	103.06	1.50	3.01	1.50	3.00	2.00	
174.62	184.90	76.12	74.76	62.17	59.35	53.92	53.82	53.82	59.45	0.32	0.32	0.54	0.52	0.47	0.47	0.47	0.52	69.80	68.11	49.71	49.55	50.85	3.38	3.30	4.87	4.85	4.98	1.00	18.00	103.87	96.33	1.49	103.87	1.49	3.00	1.50	3.00	2.50	
170.43	180.46	77.47	75.61	64.81	60.95	56.23	54.78	54.78	61.72	0.35	0.35	0.61	0.57	0.53	0.52	0.52	0.58	65.71	64.11	46.80	46.56	47.71	3.85	3.76	5.53	5.50	5.63	1.00	22.00	104.73	95.62	1.49	104.73	1.49	3.01	1.50	3.00	3.00	
167.62	177.48	78.54	75.65	67.09	62.21	57.96	55.54	55.54	62.83	0.38	0.37	0.66	0.62	0.58	0.56	0.56	0.63	61.85	60.35	44.05	43.73	44.75	4.22	4.13	6.07	6.02	6.16	1.00	26.00	105.65	94.90	1.48	105.66	1.48	3.00	1.50	3.00	3.50	
165.74	175.49	79.37	76.08	68.99	63.19	59.28	56.12	56.12	63.76	0.40	0.39	0.71	0.66	0.63	0.60	0.60	0.67	58.20	56.72	41.46	41.05	41.94	4.53	4.42	6.50	6.44	6.57	1.00	30.00	106.71	94.20	1.47	106.77	1.47	2.99	1.50	3.00	4.00	
164.48	174.15	79.98	74.56	70.56	63.97	60.27	56.56	56.56	64.64	0.42	0.40	0.76	0.70	0.66	0.63	0.63	0.71	54.87	?	39.08	38.61	?	4.78	?	6.85	6.77	?	1.00	34.00	108.27	93.50	1.45	108.48	1.45	2.98	1.50	3.00	4.50	
193.94	205.35	80.41	74.47	71.81	64.59	61.02	56.86	56.86	64.59	0.44	0.41	0.80	0.73	0.70	0.66	0.66	0.73	80.17	76.26	57.10	57.00	63.44	0.77	0.74	1.15	1.14	1.26	3.50	2.00	115.08	92.80	1.45	116.28	1.44	2.96	1.50	3.00	5.00	
