	Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time
Target (OIS)	0.0000000000E00	9.0023865436E-02	7.4490705670E-01	7.8271209949E-01	8.2039401281E-01	8.7401815354E-01	?	9.7106677201E-01	9.7106677201E-01	8.7005325286E-01	1.5259314390E00	1.5260783199E00	1.5219363199E00	1.5223940769E00	?	1.5233320456E00	1.5233320456E00	1.5223720794E00	8.0999555762E-01	?	1.0144109950E00	1.0120329993E00	?	1.4906072147E00	?	1.4708807560E00	1.4711094755E00	?	1.4754760927E00	1.4030554619E00	?	6.7251683020E-01	1.5159275078E00	?	1.5160866043E00	1.5010204004E00	1.5156264075E00	1.5008514815E00	1.4425414327E00	
Target (LIBOR)	9.0023865436E-02	0.0000000000E00	8.3363653088E-01	8.7176874913E-01	9.0871299497E-01	9.6287124481E-01	?	1.0607024491E00	1.0607024491E00	9.5856313824E-01	1.6159552572E00	1.6161021405E00	1.6119599701E00	1.6124177437E00	?	1.6133557678E00	1.6133557678E00	1.6123957456E00	8.9908615858E-01	?	1.1041281069E00	1.1016663718E00	?	1.5806171444E00	?	1.5608724503E00	1.5611026871E00	?	1.5654441479E00	1.4928898567E00	?	7.6191524785E-01	1.6059512583E00	?	1.6061103564E00	1.5910437972E00	1.6056501526E00	1.5908748562E00	1.5324607691E00	
Caplet Vola Analytic Single-Curve	7.4490705670E-01	8.3363653088E-01	0.0000000000E00	5.1434541240E-02	7.9747465233E-02	1.3044876669E-01	?	2.3681361030E-01	2.3681361030E-01	1.4947061190E-01	8.0385815763E-01	8.0401085313E-01	7.9962639430E-01	8.0010025563E-01	?	8.0110410999E-01	8.0110410999E-01	8.0008921200E-01	1.1954944663E-01	?	2.9337642971E-01	2.9199039184E-01	?	7.6633736597E-01	?	7.4532723862E-01	7.4554852323E-01	?	7.4811672440E-01	6.7943280519E-01	?	8.7537963978E-02	7.9386578674E-01	?	7.9403282897E-01	7.7877408179E-01	7.9355100443E-01	7.7857049140E-01	7.1232182790E-01	
Caplet Vola Monte-Carlo Single-Curve	7.8271209949E-01	8.7176874913E-01	5.1434541240E-02	0.0000000000E00	6.7215304908E-02	9.6630498959E-02	?	1.9652494312E-01	1.9652494312E-01	1.1889015451E-01	7.6197453228E-01	7.6212285020E-01	7.5775837567E-01	7.5822756852E-01	?	7.5922820142E-01	7.5922820142E-01	7.5821146976E-01	9.6150619855E-02	?	2.5196292799E-01	2.5097930364E-01	?	7.2464921829E-01	?	7.0375986357E-01	7.0397812398E-01	?	7.0639801051E-01	6.3851271649E-01	?	1.1690698031E-01	7.5195871932E-01	?	7.5213149763E-01	7.3686026889E-01	7.5165393527E-01	7.3667307904E-01	6.7079197842E-01	
Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	8.2039401281E-01	9.0871299497E-01	7.9747465233E-02	6.7215304908E-02	0.0000000000E00	6.4183432221E-02	?	1.7944641178E-01	1.7944641178E-01	1.0154554303E-01	7.4149710348E-01	7.4165128393E-01	7.3719879158E-01	7.3767719484E-01	?	7.3870054785E-01	7.3870054785E-01	7.3766778183E-01	1.1348294269E-01	?	2.3913369174E-01	2.3773192200E-01	?	7.0361766086E-01	?	6.8233158450E-01	6.8254596696E-01	?	6.8385863355E-01	6.1843734962E-01	?	1.6607119628E-01	7.3159155642E-01	?	7.3176284196E-01	7.1654160684E-01	7.3127317719E-01	7.1633121317E-01	6.4705442441E-01	
Caplet Vola Analytic Multi-Curve Ju	8.7401815354E-01	9.6287124481E-01	1.3044876669E-01	9.6630498959E-02	6.4183432221E-02	0.0000000000E00	?	1.1860190228E-01	1.1860190228E-01	8.8564680734E-02	6.8026604948E-01	6.8041834999E-01	6.7597794953E-01	6.7645127573E-01	?	6.7747276785E-01	6.7747276785E-01	6.7644635664E-01	1.1353560211E-01	?	1.7881332903E-01	1.7797045915E-01	?	6.4260140928E-01	?	6.2144593333E-01	6.2164068076E-01	?	6.2237905011E-01	5.5862142968E-01	?	2.0789102727E-01	6.7032401821E-01	?	6.7049302132E-01	6.5525850651E-01	6.7000936529E-01	6.5504107279E-01	5.8573946947E-01	
Caplet Vola Analytic Multi-Curve Ho	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	?	
Caplet Vola Analytic Multi-Curve Drift-Freeze	9.7106677201E-01	1.0607024491E00	2.3681361030E-01	1.9652494312E-01	1.7944641178E-01	1.1860190228E-01	?	0.0000000000E00	0.0000000000E00	1.5030332449E-01	5.6704474548E-01	5.6719743453E-01	5.6281388004E-01	5.6328767921E-01	?	5.6429120476E-01	5.6429120476E-01	5.6327668798E-01	1.8730832147E-01	?	8.2619839066E-02	8.8793167211E-02	?	5.2967651660E-01	?	5.0887512213E-01	5.0907336933E-01	?	5.1197226112E-01	4.4564263481E-01	?	3.0056084642E-01	5.5705238436E-01	?	5.5721947941E-01	5.4196136268E-01	5.5673754212E-01	5.4175750111E-01	4.7671096367E-01	
Caplet Vola Analytic Multi-Curve Integrated-Expectation	9.7106677201E-01	1.0607024491E00	2.3681361030E-01	1.9652494312E-01	1.7944641178E-01	1.1860190228E-01	?	0.0000000000E00	0.0000000000E00	1.5030332449E-01	5.6704474548E-01	5.6719743453E-01	5.6281388004E-01	5.6328767921E-01	?	5.6429120476E-01	5.6429120476E-01	5.6327668798E-01	1.8730832147E-01	?	8.2619839066E-02	8.8793167211E-02	?	5.2967651660E-01	?	5.0887512213E-01	5.0907336933E-01	?	5.1197226112E-01	4.4564263481E-01	?	3.0056084642E-01	5.5705238436E-01	?	5.5721947941E-01	5.4196136268E-01	5.5673754212E-01	5.4175750111E-01	4.7671096367E-01	
Caplet Vola Monte-Carlo Multi-Curve	8.7005325286E-01	9.5856313824E-01	1.4947061190E-01	1.1889015451E-01	1.0154554303E-01	8.8564680734E-02	?	1.5030332449E-01	1.5030332449E-01	0.0000000000E00	6.9206411830E-01	6.9221293027E-01	6.8781135787E-01	6.8828701263E-01	?	6.8929930644E-01	6.8929930644E-01	6.8819896878E-01	1.4808111456E-01	?	2.0757484034E-01	2.0919281204E-01	?	6.5379624049E-01	?	6.3239434847E-01	6.3268242020E-01	?	6.3703929778E-01	5.6856568110E-01	?	2.1884522782E-01	6.8222262398E-01	?	6.8240949138E-01	6.6711388424E-01	6.8191773241E-01	6.6710336866E-01	6.0064061819E-01	
